run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,inc_cas_loop,0,41049.6,38930.0,0.8,100,,
1,1,0,warm,inc_cas_loop,1,41805.0,39642.9,2.9,100,,
1,1,0,warm,inc_cas_loop,2,41681.2,39534.2,2.5,100,,
1,1,0,warm,inc_cas_loop,3,40634.2,38542.9,1.7,100,,
1,1,0,warm,inc_cas_loop,4,40779.6,38682.5,2.5,100,,
1,1,0,warm,inc_cas_loop,5,40587.5,38497.1,1.2,100,,
1,1,0,warm,inc_cas_loop,6,40551.2,38462.1,3.3,100,,
1,1,0,warm,inc_cas_loop,7,40662.1,38569.2,4.6,100,,
1,1,0,warm,inc_cas_loop,8,40459.6,38370.8,2.5,100,,
1,1,0,warm,inc_cas_loop,9,40509.2,38423.7,4.6,100,,
1,1,0,warm,inc_cas_loop,10,40508.3,38420.0,1.2,100,,
1,1,0,warm,inc_cas_loop,11,40954.2,38845.8,2.1,100,,
1,1,0,warm,inc_cas_loop,12,40373.3,38291.2,0.8,100,,
1,1,0,warm,inc_cas_loop,13,40412.5,38336.7,2.5,100,,
1,1,0,warm,inc_cas_loop,14,40748.3,38647.5,2.9,100,,
1,1,0,warm,inc_cas_loop,15,41355.8,39211.2,2.9,100,,
1,1,0,warm,inc_cas_loop,16,41322.1,39192.9,1.7,100,,
1,1,0,warm,inc_cas_loop,17,40747.9,38656.2,1.2,100,,
1,1,0,warm,inc_cas_loop,18,41370.4,39242.5,2.5,100,,
1,1,0,warm,inc_cas_loop,19,40682.1,38582.1,2.1,100,,
1,1,0,warm,inc_fetch_add,0,36040.4,33939.6,2.9,100,,
1,1,0,warm,inc_fetch_add,1,36140.0,34045.4,0.0,100,,
1,1,0,warm,inc_fetch_add,2,36005.0,33922.5,1.2,100,,
1,1,0,warm,inc_fetch_add,3,36041.7,33946.7,1.2,100,,
1,1,0,warm,inc_fetch_add,4,36456.7,34347.5,3.3,100,,
1,1,0,warm,inc_fetch_add,5,36985.8,34848.8,2.1,100,,
1,1,0,warm,inc_fetch_add,6,38039.2,35834.6,2.9,100,,
1,1,0,warm,inc_fetch_add,7,36155.8,34056.2,2.1,100,,
1,1,0,warm,inc_fetch_add,8,36235.0,34123.3,2.1,100,,
1,1,0,warm,inc_fetch_add,9,37032.5,34885.0,5.8,100,,
1,1,0,warm,inc_fetch_add,10,36848.3,34704.2,2.9,100,,
1,1,0,warm,inc_fetch_add,11,36660.8,34533.7,2.1,100,,
