run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,acc_atomic_seqcst,0,22514.2,20413.8,1.7,100,,
1,1,0,warm,acc_atomic_seqcst,1,22582.5,20479.2,1.2,100,,
1,1,0,warm,acc_atomic_seqcst,2,22875.4,20748.3,2.5,100,,
1,1,0,warm,acc_atomic_seqcst,3,22886.7,20752.1,2.5,100,,
1,1,0,warm,acc_atomic_seqcst,4,22527.5,20438.7,2.9,100,,
1,1,0,warm,acc_atomic_seqcst,5,22525.8,20432.5,2.5,100,,
1,1,0,warm,acc_atomic_seqcst,6,22532.1,20430.0,2.1,100,,
1,1,0,warm,acc_atomic_seqcst,7,23126.7,20955.0,1.2,100,,
1,1,0,warm,acc_atomic_seqcst,8,22977.9,20827.9,2.9,100,,
1,1,0,warm,acc_atomic_seqcst,9,23012.9,20864.6,2.1,100,,
1,1,0,warm,acc_atomic_seqcst,10,23187.9,21025.4,1.2,100,,
1,1,0,warm,acc_atomic_seqcst,11,22605.8,20504.2,2.1,100,,
1,1,0,warm,acc_atomic_seqcst,12,22601.2,20498.8,2.5,100,,
1,1,0,warm,acc_atomic_seqcst,13,22958.8,20826.2,7.1,100,,
1,1,0,warm,acc_atomic_seqcst,14,22806.7,20686.2,1.7,100,,
1,1,0,warm,acc_atomic_seqcst,15,22570.4,20471.2,1.2,100,,
1,1,0,warm,acc_atomic_seqcst,16,22594.2,20496.2,2.5,100,,
1,1,0,warm,acc_atomic_seqcst,17,22509.6,20416.7,2.1,100,,
1,1,0,warm,acc_atomic_seqcst,18,22528.3,20433.3,1.2,100,,
1,1,0,warm,acc_atomic_seqcst,19,22513.8,20413.8,1.7,100,,
1,1,0,warm,acc_plain,0,22527.5,20419.6,2.1,100,,
1,1,0,warm,acc_plain,1,22607.9,20492.1,2.9,100,,
1,1,0,warm,acc_plain,2,22943.7,20802.5,1.7,100,,
1,1,0,warm,acc_plain,3,22900.8,20764.6,1.2,100,,
1,1,0,warm,acc_plain,4,23072.5,20920.8,2.1,100,,
1,1,0,warm,acc_plain,5,23942.9,21720.8,2.1,100,,
1,1,0,warm,acc_plain,6,22815.4,20678.8,1.7,100,,
1,1,0,warm,acc_plain,7,22871.7,20688.7,7.1,100,,
1,1,0,warm,acc_plain,8,23538.7,21301.2,3.3,100,,
1,1,0,warm,acc_plain,9,22971.7,20821.7,1.2,100,,
1,1,0,warm,acc_plain,10,22566.2,20459.2,2.5,100,,
1,1,0,warm,acc_plain,11,22585.4,20486.7,1.7,100,,
1,1,0,warm,acc_plain,12,23334.2,21165.8,4.6,100,,
1,1,0,warm,acc_plain,13,22833.8,20692.9,0.0,100,,
1,1,0,warm,acc_plain,14,22636.2,20520.0,2.5,100,,
1,1,0,warm,acc_plain,15,22603.8,20493.8,1.7,100,,
1,1,0,warm,acc_plain,16,23167.5,20736.7,2.5,100,,
1,1,0,warm,acc_plain,17,22623.3,20517.1,2.1,100,,
1,1,0,warm,acc_plain,18,22511.7,20417.9,1.7,100,,
1,1,0,warm,acc_plain,19,22587.9,20482.1,3.3,100,,
1,1,0,warm,acc_atomic_relaxed,0,22513.3,20401.2,1.2,100,,
1,1,0,warm,acc_atomic_relaxed,1,22592.1,20484.2,2.1,100,,
1,1,0,warm,acc_atomic_relaxed,2,22619.6,20518.3,2.5,100,,
1,1,0,warm,acc_atomic_relaxed,3,23344.2,21108.8,3.3,100,,
1,1,0,warm,acc_atomic_relaxed,4,22615.0,20509.6,5.0,100,,
1,1,0,warm,acc_atomic_relaxed,5,22504.2,20410.4,1.7,100,,
1,1,0,warm,acc_atomic_relaxed,6,22511.2,20411.7,0.8,100,,
1,1,0,warm,acc_atomic_relaxed,7,22507.1,20410.0,1.7,100,,
1,1,0,warm,acc_atomic_relaxed,8,22730.4,20621.7,2.1,100,,
1,1,0,warm,acc_atomic_relaxed,9,23383.8,21192.5,0.8,100,,
1,1,0,warm,acc_atomic_relaxed,10,22750.4,20625.4,2.9,100,,
1,1,0,warm,acc_atomic_relaxed,11,22627.5,20520.4,1.7,100,,
1,1,0,warm,acc_atomic_relaxed,12,22615.0,20505.4,3.3,100,,
1,1,0,warm,acc_atomic_relaxed,13,23113.8,20855.8,4.2,100,,
1,1,0,warm,acc_atomic_relaxed,14,22680.8,20574.6,0.8,100,,
1,1,0,warm,acc_atomic_relaxed,15,22532.1,20429.6,4.6,100,,
1,1,0,warm,acc_atomic_relaxed,16,22570.0,20473.8,0.8,100,,
1,1,0,warm,acc_atomic_relaxed,17,22517.1,20426.2,2.9,100,,
1,1,0,warm,acc_atomic_relaxed,18,22561.7,20464.6,5.0,100,,
1,1,0,warm,acc_atomic_relaxed,19,22531.7,20431.2,2.9,100,,
1,1,0,cold,acc_atomic_seqcst,0,27788.3,20583.8,1.2,100,,
1,1,0,cold,acc_atomic_seqcst,1,28013.8,20803.8,1.2,100,,
1,1,0,cold,acc_atomic_seqcst,2,28052.5,20845.8,0.8,100,,
1,1,0,cold,acc_atomic_seqcst,3,28378.8,21098.3,0.8,100,,
1,1,0,cold,acc_atomic_seqcst,4,27582.9,20505.4,2.5,100,,
1,1,0,cold,acc_atomic_seqcst,5,27588.3,20510.0,1.7,100,,
1,1,0,cold,acc_atomic_seqcst,6,29205.0,21735.0,7.5,100,,
1,1,0,cold,acc_atomic_seqcst,7,27850.8,20735.0,2.9,100,,
1,1,0,cold,acc_atomic_seqcst,8,29356.7,21882.9,2.5,100,,
1,1,0,cold,acc_atomic_seqcst,9,28355.8,21054.6,0.8,100,,
1,1,0,cold,acc_atomic_seqcst,10,27557.5,20478.8,1.7,100,,
1,1,0,cold,acc_atomic_seqcst,11,27580.4,20498.3,1.7,100,,
1,1,0,cold,acc_atomic_seqcst,12,28035.0,20833.3,4.2,100,,
1,1,0,cold,acc_atomic_seqcst,13,27609.6,20503.3,1.2,100,,
1,1,0,cold,acc_atomic_seqcst,14,28114.6,20891.2,0.4,100,,
1,1,0,cold,acc_atomic_seqcst,15,28749.2,21340.8,3.7,100,,
1,1,0,cold,acc_atomic_seqcst,16,27927.5,20761.7,2.5,100,,
1,1,0,cold,acc_atomic_seqcst,17,28642.1,21175.0,4.6,100,,
1,1,0,cold,acc_atomic_seqcst,18,27640.0,20539.6,1.7,100,,
1,1,0,cold,acc_atomic_seqcst,19,28357.1,21065.4,2.9,100,,
1,1,0,cold,acc_plain,0,27727.9,20536.7,2.9,100,,
1,1,0,cold,acc_plain,1,27487.5,20408.8,3.7,100,,
1,1,0,cold,acc_plain,2,27952.9,20790.8,2.1,100,,
1,1,0,cold,acc_plain,3,28023.8,20824.2,1.2,100,,
1,1,0,cold,acc_plain,4,28455.0,21143.3,1.7,100,,
1,1,0,cold,acc_plain,5,28060.8,20857.9,2.5,100,,
1,1,0,cold,acc_plain,6,27477.1,20428.3,0.8,100,,
1,1,0,cold,acc_plain,7,27885.0,20734.2,1.2,100,,
1,1,0,cold,acc_plain,8,28266.2,21013.7,0.8,100,,
1,1,0,cold,acc_plain,9,28862.5,21515.0,4.2,100,,
1,1,0,cold,acc_plain,10,27665.8,20534.2,1.2,100,,
1,1,0,cold,acc_plain,11,28087.1,20861.7,2.5,100,,
1,1,0,cold,acc_plain,12,27639.6,20540.8,2.9,100,,
1,1,0,cold,acc_plain,13,27469.6,20412.5,2.9,100,,
1,1,0,cold,acc_plain,14,27777.5,20648.3,3.7,100,,
1,1,0,cold,acc_plain,15,28382.5,21087.5,2.9,100,,
1,1,0,cold,acc_plain,16,27619.2,20548.3,1.7,100,,
1,1,0,cold,acc_plain,17,27592.1,20522.5,2.9,100,,
1,1,0,cold,acc_plain,18,28148.8,20926.7,9.6,100,,
1,1,0,cold,acc_plain,19,27638.8,20528.8,1.2,100,,
1,1,0,cold,acc_atomic_relaxed,0,27589.2,20453.3,2.5,100,,
1,1,0,cold,acc_atomic_relaxed,1,27532.9,20436.2,2.1,100,,
1,1,0,cold,acc_atomic_relaxed,2,27463.3,20415.4,2.9,100,,
1,1,0,cold,acc_atomic_relaxed,3,27493.3,20429.6,2.5,100,,
1,1,0,cold,acc_atomic_relaxed,4,28398.3,21101.7,2.1,100,,
1,1,0,cold,acc_atomic_relaxed,5,27568.7,20488.8,1.2,100,,
1,1,0,cold,acc_atomic_relaxed,6,27542.5,20463.8,1.2,100,,
1,1,0,cold,acc_atomic_relaxed,7,28225.4,20975.4,1.7,100,,
