run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ctz_intrinsic,0,2087.9,0.4,0.4,100,,
1,1,0,warm,ctz_intrinsic,1,2081.2,1.2,1.7,100,,
1,1,0,warm,ctz_intrinsic,2,2078.3,0.4,1.2,100,,
1,1,0,warm,ctz_intrinsic,3,2077.5,0.4,2.9,100,,
1,1,0,warm,ctz_intrinsic,4,2140.0,0.8,2.1,100,,
1,1,0,warm,ctz_intrinsic,5,2155.8,0.0,1.7,100,,
1,1,0,warm,ctz_intrinsic,6,2160.4,0.0,2.5,100,,
1,1,0,warm,ctz_intrinsic,7,2152.9,0.0,1.2,100,,
1,1,0,warm,ctz_intrinsic,8,2152.5,0.4,5.0,100,,
1,1,0,warm,ctz_intrinsic,9,2156.7,0.0,2.5,100,,
1,1,0,warm,ctz_intrinsic,10,2178.3,0.4,0.8,100,,
1,1,0,warm,ctz_intrinsic,11,2155.0,0.4,2.1,100,,
1,1,0,warm,ctz_intrinsic,12,2193.3,0.0,0.8,100,,
1,1,0,warm,ctz_intrinsic,13,2181.7,0.4,1.7,100,,
1,1,0,warm,ctz_intrinsic,14,2155.0,0.4,2.5,100,,
1,1,0,warm,ctz_intrinsic,15,2150.4,0.0,2.5,100,,
1,1,0,warm,ctz_intrinsic,16,2155.8,0.4,2.1,100,,
1,1,0,warm,ctz_intrinsic,17,2162.5,0.0,2.1,100,,
1,1,0,warm,ctz_intrinsic,18,2157.1,0.0,1.2,100,,
1,1,0,warm,ctz_intrinsic,19,2152.9,0.0,2.5,100,,
1,1,0,warm,ctz_loop,0,2093.3,1.2,2.1,100,,
1,1,0,warm,ctz_loop,1,2079.6,1.2,0.8,100,,
1,1,0,warm,ctz_loop,2,2077.5,2.1,3.7,100,,
1,1,0,warm,ctz_loop,3,2087.5,0.4,0.0,100,,
1,1,0,warm,ctz_loop,4,2084.6,0.4,0.8,100,,
1,1,0,warm,ctz_loop,5,2083.8,0.4,2.1,100,,
1,1,0,warm,ctz_loop,6,2082.9,0.0,2.9,100,,
1,1,0,warm,ctz_loop,7,2084.6,0.0,1.7,100,,
1,1,0,warm,ctz_loop,8,2115.0,0.8,2.1,100,,
1,1,0,warm,ctz_loop,9,2149.6,0.0,1.2,100,,
