run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,bc_iter,0,7524.6,5314.6,1.2,100,,
1,1,0,warm,bc_iter,1,7679.2,5425.0,1.2,100,,
1,1,0,warm,bc_iter,2,7574.6,5353.8,1.7,100,,
1,1,0,warm,bc_iter,3,7408.3,5238.8,1.7,100,,
1,1,0,warm,bc_iter,4,7235.0,5114.2,2.1,100,,
1,1,0,warm,bc_iter,5,7312.5,5177.5,0.4,100,,
1,1,0,warm,bc_iter,6,7406.2,5242.9,2.5,100,,
1,1,0,warm,bc_iter,7,7522.1,5300.0,2.5,100,,
1,1,0,warm,bc_iter,8,7401.7,5224.6,0.4,100,,
1,1,0,warm,bc_iter,9,7155.8,5057.1,1.7,100,,
1,1,0,warm,bc_iter,10,7565.4,5348.3,2.1,100,,
1,1,0,warm,bc_iter,11,7467.9,5290.8,1.7,100,,
1,1,0,warm,bc_iter,12,7407.1,5242.1,2.1,100,,
1,1,0,warm,bc_iter,13,7255.4,5132.5,2.1,100,,
1,1,0,warm,bc_iter,14,7194.6,5088.3,2.9,100,,
1,1,0,warm,bc_iter,15,7489.2,5246.2,5.0,100,,
1,1,0,warm,bc_iter,16,7363.7,5214.2,0.4,100,,
1,1,0,warm,bc_iter,17,7607.1,5335.8,4.2,100,,
1,1,0,warm,bc_iter,18,7508.8,5306.2,1.7,100,,
1,1,0,warm,bc_iter,19,7477.9,5284.2,1.2,100,,
1,1,0,warm,bc_unchecked,0,7159.6,5062.5,3.7,100,,
1,1,0,warm,bc_unchecked,1,7163.3,5063.8,0.8,100,,
1,1,0,warm,bc_unchecked,2,7157.5,5064.2,2.1,100,,
1,1,0,warm,bc_unchecked,3,7241.2,5125.8,2.9,100,,
1,1,0,warm,bc_unchecked,4,7161.2,5065.0,0.4,100,,
1,1,0,warm,bc_unchecked,5,7152.5,5070.8,2.5,100,,
1,1,0,warm,bc_unchecked,6,7179.2,5090.4,1.2,100,,
1,1,0,warm,bc_unchecked,7,7186.2,5082.1,1.2,100,,
1,1,0,warm,bc_unchecked,8,7160.4,5061.7,2.5,100,,
1,1,0,warm,bc_unchecked,9,7206.2,5097.5,2.1,100,,
1,1,0,warm,bc_unchecked,10,7158.8,5064.6,2.9,100,,
1,1,0,warm,bc_unchecked,11,7380.4,5230.0,1.2,100,,
1,1,0,warm,bc_unchecked,12,7670.8,5426.2,2.1,100,,
1,1,0,warm,bc_unchecked,13,7690.4,5442.9,2.5,100,,
1,1,0,warm,bc_unchecked,14,7637.9,5405.8,0.4,100,,
1,1,0,warm,bc_unchecked,15,7155.8,5058.3,1.7,100,,
1,1,0,warm,bc_unchecked,16,7157.5,5065.0,0.4,100,,
1,1,0,warm,bc_unchecked,17,7541.2,5335.0,1.2,100,,
1,1,0,warm,bc_unchecked,18,7681.2,5425.8,2.1,100,,
1,1,0,warm,bc_unchecked,19,7916.2,5651.7,1.7,100,,
1,1,0,warm,bc_index,0,8280.8,5852.1,1.7,100,,
1,1,0,warm,bc_index,1,8277.5,5853.8,0.8,100,,
1,1,0,warm,bc_index,2,8273.3,5848.8,1.7,100,,
1,1,0,warm,bc_index,3,8277.1,5852.1,2.1,100,,
1,1,0,warm,bc_index,4,8272.5,5852.1,1.7,100,,
1,1,0,warm,bc_index,5,8292.9,5885.0,2.5,100,,
1,1,0,warm,bc_index,6,7835.0,5539.6,1.2,100,,
1,1,0,warm,bc_index,7,7426.2,5250.0,2.1,100,,
1,1,0,warm,bc_index,8,7254.2,5126.2,1.7,100,,
1,1,0,warm,bc_index,9,7293.8,5160.0,2.1,100,,
1,1,0,warm,bc_index,10,8280.0,5855.4,1.2,100,,
1,1,0,warm,bc_index,11,8271.2,5861.7,1.2,100,,
1,1,0,warm,bc_index,12,7979.2,5647.1,1.7,100,,
1,1,0,warm,bc_index,13,7679.6,5428.7,2.5,100,,
1,1,0,warm,bc_index,14,7671.7,5434.6,2.1,100,,
1,1,0,warm,bc_index,15,7673.7,5426.7,2.9,100,,
1,1,0,warm,bc_index,16,7672.5,5427.1,2.5,100,,
1,1,0,warm,bc_index,17,7188.3,5083.8,1.7,100,,
1,1,0,warm,bc_index,18,7174.6,5075.0,2.1,100,,
1,1,0,warm,bc_index,19,7160.0,5062.9,2.5,100,,
1,1,0,cold,bc_iter,0,8491.2,5067.5,0.4,100,,
1,1,0,cold,bc_iter,1,8484.2,5062.1,1.7,100,,
1,1,0,cold,bc_iter,2,8460.8,5060.8,3.7,100,,
1,1,0,cold,bc_iter,3,8466.7,5067.1,2.5,100,,
1,1,0,cold,bc_iter,4,9715.8,5815.4,1.7,100,,
1,1,0,cold,bc_iter,5,9799.2,5879.6,2.5,100,,
1,1,0,cold,bc_iter,6,9777.9,5859.6,2.5,100,,
1,1,0,cold,bc_iter,7,9782.9,5856.2,2.9,100,,
1,1,0,cold,bc_iter,8,9490.0,5675.4,2.5,100,,
1,1,0,cold,bc_iter,9,8789.6,5260.4,2.5,100,,
1,1,0,cold,bc_iter,10,8867.9,5311.7,2.5,100,,
1,1,0,cold,bc_iter,11,8753.8,5245.4,2.9,100,,
1,1,0,cold,bc_iter,12,8673.7,5191.2,0.4,100,,
1,1,0,cold,bc_iter,13,8466.2,5060.8,2.5,100,,
1,1,0,cold,bc_iter,14,8871.7,5312.9,0.4,100,,
1,1,0,cold,bc_iter,15,8808.3,5269.2,2.1,100,,
1,1,0,cold,bc_iter,16,8619.6,5167.5,2.9,100,,
1,1,0,cold,bc_iter,17,8497.1,5085.0,2.1,100,,
1,1,0,cold,bc_iter,18,8522.1,5095.8,2.1,100,,
1,1,0,cold,bc_iter,19,8467.5,5066.2,2.1,100,,
1,1,0,cold,bc_unchecked,0,8522.1,5089.6,2.1,100,,
1,1,0,cold,bc_unchecked,1,8560.4,5105.8,3.7,100,,
1,1,0,cold,bc_unchecked,2,8516.7,5086.7,2.5,100,,
1,1,0,cold,bc_unchecked,3,8930.8,5349.2,1.7,100,,
1,1,0,cold,bc_unchecked,4,9441.7,5650.4,2.9,100,,
1,1,0,cold,bc_unchecked,5,9793.3,5859.2,1.2,100,,
1,1,0,cold,bc_unchecked,6,9452.9,5664.2,0.8,100,,
1,1,0,cold,bc_unchecked,7,9072.9,5433.3,1.2,100,,
1,1,0,cold,bc_unchecked,8,9077.5,5426.7,1.2,100,,
1,1,0,cold,bc_unchecked,9,9066.2,5431.7,1.2,100,,
1,1,0,cold,bc_unchecked,10,9075.8,5432.1,1.7,100,,
1,1,0,cold,bc_unchecked,11,9065.8,5433.8,1.7,100,,
1,1,0,cold,bc_unchecked,12,8651.7,5177.9,2.1,100,,
1,1,0,cold,bc_unchecked,13,8778.3,5255.4,0.8,100,,
1,1,0,cold,bc_unchecked,14,8880.4,5298.8,2.5,100,,
1,1,0,cold,bc_unchecked,15,8763.3,5240.4,3.3,100,,
1,1,0,cold,bc_unchecked,16,8675.0,5183.8,2.9,100,,
1,1,0,cold,bc_unchecked,17,8460.4,5072.1,0.8,100,,
1,1,0,cold,bc_unchecked,18,8487.1,5082.9,2.5,100,,
1,1,0,cold,bc_unchecked,19,8528.8,5110.0,1.7,100,,
1,1,0,cold,bc_index,0,8462.9,5064.2,2.5,100,,
1,1,0,cold,bc_index,1,8461.2,5065.4,2.5,100,,
1,1,0,cold,bc_index,2,8468.8,5066.2,2.1,100,,
1,1,0,cold,bc_index,3,8459.2,5072.9,2.1,100,,
1,1,0,cold,bc_index,4,8772.9,5257.1,3.3,100,,
1,1,0,cold,bc_index,5,9826.2,5905.8,1.2,100,,
1,1,0,cold,bc_index,6,8595.8,5147.5,2.1,100,,
1,1,0,cold,bc_index,7,8533.3,5105.4,0.8,100,,
1,1,0,cold,bc_index,8,8632.1,5157.1,1.2,100,,
1,1,0,cold,bc_index,9,8517.1,5087.1,2.9,100,,
1,1,0,cold,bc_index,10,8492.9,5075.4,1.2,100,,
1,1,0,cold,bc_index,11,8467.5,5076.2,2.1,100,,
1,1,0,cold,bc_index,12,8462.5,5062.1,1.2,100,,
1,1,0,cold,bc_index,13,8468.8,5064.2,1.7,100,,
1,1,0,cold,bc_index,14,8589.6,5145.0,4.2,100,,
1,1,0,cold,bc_index,15,8964.6,5358.8,1.2,100,,
1,1,0,cold,bc_index,16,8930.8,5335.8,0.8,100,,
1,1,0,cold,bc_index,17,9082.9,5434.6,2.1,100,,
1,1,0,cold,bc_index,18,8945.8,5315.0,2.1,100,,
1,1,0,cold,bc_index,19,8760.8,5248.3,1.2,100,,
1,2,0,warm,bc_unchecked,0,7454.2,5262.5,2.9,100,,
1,2,0,warm,bc_unchecked,1,7506.2,5306.7,3.7,100,,
1,2,0,warm,bc_unchecked,2,7188.8,5083.8,2.9,100,,
1,2,0,warm,bc_unchecked,3,7222.9,5108.3,4.2,100,,
