run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,branch_cmov,0,11689.2,8785.8,4.6,100,,
1,1,0,warm,branch_cmov,1,12013.7,9207.9,2.5,100,,
1,1,0,warm,branch_cmov,2,11480.0,8685.8,1.7,100,,
1,1,0,warm,branch_cmov,3,11755.8,8779.6,6.7,100,,
1,1,0,warm,branch_cmov,4,11501.2,8695.4,1.7,100,,
1,1,0,warm,branch_cmov,5,11453.3,8670.8,3.7,100,,
1,1,0,warm,branch_cmov,6,11458.7,8670.8,3.7,100,,
1,1,0,warm,branch_cmov,7,11453.7,8662.9,1.7,100,,
1,1,0,warm,branch_cmov,8,11450.0,8657.1,4.6,100,,
1,1,0,warm,branch_cmov,9,11454.6,8662.9,2.5,100,,
1,1,0,warm,branch_cmov,10,11482.5,8670.8,2.5,100,,
1,1,0,warm,branch_cmov,11,11467.1,8674.6,2.5,100,,
1,1,0,warm,branch_cmov,12,11472.9,8685.4,2.9,100,,
1,1,0,warm,branch_cmov,13,11479.2,8663.3,2.1,100,,
1,1,0,warm,branch_cmov,14,11442.9,8660.8,3.3,100,,
1,1,0,warm,branch_cmov,15,11456.2,8662.5,2.9,100,,
1,1,0,warm,branch_cmov,16,11472.9,8678.8,1.7,100,,
1,1,0,warm,branch_cmov,17,11481.2,8676.7,0.4,100,,
1,1,0,warm,branch_cmov,18,11872.5,9087.1,2.9,100,,
1,1,0,warm,branch_cmov,19,11455.4,8661.7,1.2,100,,
1,1,0,warm,branch_if,0,11473.8,8668.3,1.7,100,,
1,1,0,warm,branch_if,1,11491.7,8698.3,1.7,100,,
1,1,0,warm,branch_if,2,11853.8,8962.1,5.4,100,,
1,1,0,warm,branch_if,3,12500.8,9216.7,10.0,100,,
1,1,0,warm,branch_if,4,12075.4,9031.2,5.4,100,,
1,1,0,warm,branch_if,5,11441.2,8661.2,2.1,100,,
1,1,0,warm,branch_if,6,11447.9,8658.8,1.7,100,,
1,1,0,warm,branch_if,7,11441.2,8653.3,2.5,100,,
1,1,0,warm,branch_if,8,11460.4,8665.8,2.5,100,,
1,1,0,warm,branch_if,9,11464.2,8667.1,3.3,100,,
1,1,0,warm,branch_if,10,11469.6,8670.4,4.2,100,,
1,1,0,warm,branch_if,11,11477.9,8667.5,1.7,100,,
1,1,0,warm,branch_if,12,11448.3,8667.9,2.1,100,,
1,1,0,warm,branch_if,13,13185.8,9649.6,16.2,100,,
1,1,0,warm,branch_if,14,11665.8,8881.2,1.7,100,,
1,1,0,warm,branch_if,15,11475.4,8666.7,2.9,100,,
1,1,0,warm,branch_if,16,11751.7,8786.2,6.7,100,,
1,1,0,warm,branch_if,17,11450.8,8656.2,1.2,100,,
1,1,0,warm,branch_if,18,11467.1,8682.5,2.5,100,,
1,1,0,warm,branch_if,19,11562.5,8765.8,3.7,100,,
1,1,0,cold,branch_cmov,0,13304.6,8743.3,3.7,100,,
1,1,0,cold,branch_cmov,1,13271.7,8727.9,3.3,100,,
1,1,0,cold,branch_cmov,2,13265.8,8721.7,3.3,100,,
1,1,0,cold,branch_cmov,3,13263.3,8713.3,2.5,100,,
1,1,0,cold,branch_cmov,4,13891.2,8885.8,10.8,100,,
1,1,0,cold,branch_cmov,5,13332.9,8773.3,2.9,100,,
1,1,0,cold,branch_cmov,6,13266.7,8722.5,3.3,100,,
1,1,0,cold,branch_cmov,7,13432.9,8882.1,3.7,100,,
1,1,0,cold,branch_cmov,8,13280.0,8721.7,1.7,100,,
1,1,0,cold,branch_cmov,9,13260.8,8726.2,2.1,100,,
1,1,0,cold,branch_cmov,10,13252.1,8713.8,1.7,100,,
1,1,0,cold,branch_cmov,11,13289.2,8753.8,2.9,100,,
1,1,0,cold,branch_cmov,12,13249.2,8721.7,2.5,100,,
1,1,0,cold,branch_cmov,13,13255.4,8717.1,1.2,100,,
1,1,0,cold,branch_cmov,14,13247.9,8715.0,2.9,100,,
1,1,0,cold,branch_cmov,15,15071.2,9436.7,9.2,100,,
1,1,0,cold,branch_cmov,16,13253.3,8717.9,2.5,100,,
1,1,0,cold,branch_cmov,17,13272.9,8725.8,2.1,100,,
1,1,0,cold,branch_cmov,18,13246.7,8724.2,1.7,100,,
1,1,0,cold,branch_cmov,19,13248.8,8717.5,0.4,100,,
1,1,0,cold,branch_if,0,14397.1,9205.0,7.9,100,,
1,1,0,cold,branch_if,1,13284.2,8720.4,2.1,100,,
1,1,0,cold,branch_if,2,13577.5,8993.8,3.7,100,,
1,1,0,cold,branch_if,3,13272.9,8718.3,3.3,100,,
1,1,0,cold,branch_if,4,13277.5,8716.7,1.7,100,,
1,1,0,cold,branch_if,5,13295.0,8731.7,3.7,100,,
1,1,0,cold,branch_if,6,13573.3,8828.3,4.2,100,,
1,1,0,cold,branch_if,7,13254.6,8711.7,3.7,100,,
1,1,0,cold,branch_if,8,15161.7,9622.9,7.9,100,,
1,1,0,cold,branch_if,9,15130.4,9571.7,5.0,100,,
1,1,0,cold,branch_if,10,13282.5,8714.2,3.3,100,,
1,1,0,cold,branch_if,11,13275.0,8723.8,3.3,100,,
1,1,0,cold,branch_if,12,13262.9,8728.8,1.2,100,,
1,1,0,cold,branch_if,13,13267.9,8720.0,2.1,100,,
1,1,0,cold,branch_if,14,13271.7,8730.4,1.7,100,,
1,1,0,cold,branch_if,15,13879.2,8963.8,8.8,100,,
1,1,0,cold,branch_if,16,13265.0,8723.3,5.8,100,,
1,1,0,cold,branch_if,17,13346.7,8796.2,2.5,100,,
1,1,0,cold,branch_if,18,13315.8,8729.6,2.9,100,,
1,1,0,cold,branch_if,19,13303.8,8760.4,1.7,100,,
1,2,0,warm,branch_if,0,14410.8,10190.4,16.2,100,,
1,2,0,warm,branch_if,1,11673.8,8811.2,3.7,100,,
1,2,0,warm,branch_if,2,11769.2,8795.8,6.7,100,,
1,2,0,warm,branch_if,3,11477.5,8653.8,3.7,100,,
1,2,0,warm,branch_if,4,11472.5,8655.8,3.3,100,,
1,2,0,warm,branch_if,5,11457.5,8669.2,1.7,100,,
1,2,0,warm,branch_if,6,11462.1,8670.4,2.5,100,,
1,2,0,warm,branch_if,7,11445.8,8652.1,4.2,100,,
1,2,0,warm,branch_if,8,11461.7,8665.8,1.2,100,,
1,2,0,warm,branch_if,9,11452.1,8658.8,2.5,100,,
1,2,0,warm,branch_if,10,11470.0,8669.2,1.2,100,,
1,2,0,warm,branch_if,11,11484.2,8686.2,2.1,100,,
1,2,0,warm,branch_if,12,11446.7,8664.2,5.0,100,,
1,2,0,warm,branch_if,13,11459.2,8657.1,2.1,100,,
1,2,0,warm,branch_if,14,11457.1,8670.4,3.7,100,,
1,2,0,warm,branch_if,15,11452.9,8652.9,1.7,100,,
1,2,0,warm,branch_if,16,11585.8,8790.8,3.7,100,,
1,2,0,warm,branch_if,17,11519.2,8648.3,1.7,100,,
1,2,0,warm,branch_if,18,11445.0,8657.9,3.3,100,,
1,2,0,warm,branch_if,19,11449.6,8655.8,3.3,100,,
1,2,0,warm,branch_cmov,0,11474.2,8662.1,1.7,100,,
1,2,0,warm,branch_cmov,1,11497.9,8690.0,4.2,100,,
1,2,0,warm,branch_cmov,2,11448.7,8646.7,2.9,100,,
1,2,0,warm,branch_cmov,3,11449.6,8640.0,4.2,100,,
1,2,0,warm,branch_cmov,4,11456.7,8647.5,3.3,100,,
1,2,0,warm,branch_cmov,5,12028.3,9102.1,2.5,100,,
1,2,0,warm,branch_cmov,6,12807.9,9747.9,5.0,100,,
1,2,0,warm,branch_cmov,7,12502.1,9440.8,3.7,100,,
1,2,0,warm,branch_cmov,8,13196.7,9984.2,9.6,100,,
1,2,0,warm,branch_cmov,9,14452.9,10208.7,5.8,100,,
1,2,0,warm,branch_cmov,10,12532.1,9473.8,2.5,100,,
1,2,0,warm,branch_cmov,11,12544.2,9490.8,3.7,100,,
1,2,0,warm,branch_cmov,12,12515.0,9471.7,2.1,100,,
1,2,0,warm,branch_cmov,13,12546.7,9492.9,1.7,100,,
1,2,0,warm,branch_cmov,14,12620.4,9544.6,7.5,100,,
1,2,0,warm,branch_cmov,15,13918.8,10841.7,6.2,100,,
1,2,0,warm,branch_cmov,16,12613.3,9552.9,0.8,100,,
1,2,0,warm,branch_cmov,17,12536.2,9467.9,1.7,100,,
1,2,0,warm,branch_cmov,18,12709.2,9526.7,1.2,100,,
1,2,0,warm,branch_cmov,19,12592.5,9527.1,2.9,100,,
1,2,0,cold,branch_if,0,14740.8,9722.9,1.2,100,,
1,2,0,cold,branch_if,1,14590.0,9564.2,1.2,100,,
1,2,0,cold,branch_if,2,14516.7,9539.6,3.7,100,,
1,2,0,cold,branch_if,3,14592.5,9584.6,2.5,100,,
1,2,0,cold,branch_if,4,14504.2,9531.7,2.1,100,,
1,2,0,cold,branch_if,5,14485.0,9542.5,2.9,100,,
1,2,0,cold,branch_if,6,14491.2,9536.7,2.5,100,,
1,2,0,cold,branch_if,7,14512.5,9562.9,3.3,100,,
1,2,0,cold,branch_if,8,14657.1,9540.8,2.1,100,,
1,2,0,cold,branch_if,9,14553.3,9571.7,3.7,100,,
1,2,0,cold,branch_if,10,19035.0,12433.3,22.9,100,,
1,2,0,cold,branch_if,11,16871.7,11013.3,9.6,100,,
1,2,0,cold,branch_if,12,19115.4,13722.5,10.0,100,,
1,2,0,cold,branch_if,13,15249.2,9815.0,7.5,100,,
1,2,0,cold,branch_if,14,14593.3,9590.8,1.2,100,,
1,2,0,cold,branch_if,15,15373.3,10280.0,11.2,100,,
1,2,0,cold,branch_if,16,15040.4,10027.5,6.2,100,,
1,2,0,cold,branch_if,17,17470.8,10605.4,13.8,100,,
1,2,0,cold,branch_if,18,18084.6,11431.7,12.1,100,,
1,2,0,cold,branch_if,19,15027.1,9921.7,7.1,100,,
1,2,0,cold,branch_cmov,0,16156.7,9841.7,5.8,100,,
1,2,0,cold,branch_cmov,1,15645.0,9743.3,8.3,100,,
