run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,layout_aos,0,38989.6,3.7,2.9,100,,
1,1,0,warm,layout_aos,1,3409.2,3.7,3.7,100,,
1,1,0,warm,layout_aos,2,3410.0,2.9,2.1,100,,
1,1,0,warm,layout_aos,3,3414.6,2.5,2.9,100,,
1,1,0,warm,layout_aos,4,3429.6,3.3,2.9,100,,
1,1,0,warm,layout_aos,5,3415.0,2.9,2.5,100,,
1,1,0,warm,layout_aos,6,3427.9,2.1,2.5,100,,
1,1,0,warm,layout_aos,7,4768.8,2.9,2.9,100,,
1,1,0,warm,layout_aos,8,3079.2,3.3,4.2,100,,
1,1,0,warm,layout_aos,9,3473.8,3.3,5.0,100,,
1,1,0,warm,layout_aos,10,5158.3,2.5,5.0,100,,
1,1,0,warm,layout_aos,11,4220.4,4.2,3.7,100,,
1,1,0,warm,layout_aos,12,3066.7,2.5,2.9,100,,
1,1,0,warm,layout_aos,13,3742.9,1.2,2.9,100,,
1,1,0,warm,layout_aos,14,4172.5,5.8,4.2,100,,
1,1,0,warm,layout_aos,15,4163.3,3.3,5.8,100,,
1,1,0,warm,layout_aos,16,3450.8,3.7,3.7,100,,
1,1,0,warm,layout_aos,17,3295.0,2.5,2.9,100,,
1,1,0,warm,layout_aos,18,4157.1,2.1,4.6,100,,
1,1,0,warm,layout_aos,19,3596.7,1.7,4.6,100,,
1,1,0,warm,layout_soa,0,3077.5,5.0,2.1,100,,
1,1,0,warm,layout_soa,1,3060.0,2.1,3.7,100,,
1,1,0,warm,layout_soa,2,3067.1,2.1,2.9,100,,
1,1,0,warm,layout_soa,3,3072.9,2.1,2.1,100,,
1,1,0,warm,layout_soa,4,3075.4,2.5,2.1,100,,
1,1,0,warm,layout_soa,5,3075.0,1.7,1.2,100,,
1,1,0,warm,layout_soa,6,3081.2,2.1,0.8,100,,
1,1,0,warm,layout_soa,7,3062.1,3.3,2.1,100,,
1,1,0,warm,layout_soa,8,3069.2,1.2,4.2,100,,
1,1,0,warm,layout_soa,9,3066.2,3.3,2.9,100,,
1,1,0,warm,layout_soa,10,3073.3,3.3,3.3,100,,
1,1,0,warm,layout_soa,11,3067.9,1.7,2.9,100,,
1,1,0,warm,layout_soa,12,3072.9,2.1,4.2,100,,
1,1,0,warm,layout_soa,13,3068.8,0.8,2.1,100,,
1,1,0,warm,layout_soa,14,3071.2,2.1,3.7,100,,
1,1,0,warm,layout_soa,15,3068.8,3.3,2.5,100,,
1,1,0,warm,layout_soa,16,7434.2,2.9,6.2,100,,
1,1,0,warm,layout_soa,17,3954.2,4.6,2.9,100,,
1,1,0,warm,layout_soa,18,3592.5,2.9,4.6,100,,
1,1,0,warm,layout_soa,19,3057.5,2.9,2.5,100,,
1,1,0,cold,layout_aos,0,4295.8,3.7,2.5,100,,
1,1,0,cold,layout_aos,1,4290.4,2.9,2.5,100,,
1,1,0,cold,layout_aos,2,4236.7,3.7,1.2,100,,
1,1,0,cold,layout_aos,3,5036.2,1.7,5.4,100,,
1,1,0,cold,layout_aos,4,4253.3,2.9,2.9,100,,
1,1,0,cold,layout_aos,5,5307.1,1.7,4.6,100,,
1,1,0,cold,layout_aos,6,4225.8,2.1,2.1,100,,
1,1,0,cold,layout_aos,7,4207.9,4.6,2.1,100,,
1,1,0,cold,layout_aos,8,4197.5,3.7,4.2,100,,
1,1,0,cold,layout_aos,9,4945.0,3.3,1.2,100,,
1,1,0,cold,layout_aos,10,7259.6,5.4,7.5,100,,
