run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,dispatch_runtime,0,3394.2,1163.3,2.1,100,,
1,1,0,warm,dispatch_runtime,1,3199.2,1111.2,3.3,100,,
1,1,0,warm,dispatch_runtime,2,3183.3,1109.6,2.5,100,,
1,1,0,warm,dispatch_runtime,3,3190.4,1110.0,1.7,100,,
1,1,0,warm,dispatch_runtime,4,3295.8,1131.7,1.2,100,,
1,1,0,warm,dispatch_runtime,5,3204.6,1112.9,2.1,100,,
1,1,0,warm,dispatch_runtime,6,3192.1,1109.6,1.2,100,,
1,1,0,warm,dispatch_runtime,7,3193.3,1116.2,2.1,100,,
1,1,0,warm,dispatch_runtime,8,3190.0,1114.2,1.2,100,,
1,1,0,warm,dispatch_runtime,9,3230.8,1115.8,1.2,100,,
1,1,0,warm,dispatch_runtime,10,3260.8,1147.9,1.7,100,,
1,1,0,warm,dispatch_runtime,11,3482.9,1224.6,3.7,100,,
1,1,0,warm,dispatch_runtime,12,3312.9,1132.9,0.8,100,,
1,1,0,warm,dispatch_runtime,13,3313.8,1160.8,0.8,100,,
1,1,0,warm,dispatch_runtime,14,3277.1,1145.4,1.7,100,,
1,1,0,warm,dispatch_runtime,15,3323.7,1161.2,1.7,100,,
1,1,0,warm,dispatch_runtime,16,3302.1,1154.2,2.1,100,,
1,1,0,warm,dispatch_runtime,17,3340.8,1164.2,1.2,100,,
1,1,0,warm,dispatch_runtime,18,3293.7,1152.1,2.5,100,,
1,1,0,warm,dispatch_runtime,19,3336.2,1162.5,2.1,100,,
1,1,0,warm,dispatch_direct,0,2801.7,658.8,1.7,100,,
1,1,0,warm,dispatch_direct,1,2795.4,653.7,1.7,100,,
1,1,0,warm,dispatch_direct,2,2817.9,661.7,1.7,100,,
1,1,0,warm,dispatch_direct,3,2814.2,660.0,2.1,100,,
1,1,0,warm,dispatch_direct,4,2841.7,668.3,1.7,100,,
1,1,0,warm,dispatch_direct,5,2840.4,660.4,1.7,100,,
1,1,0,warm,dispatch_direct,6,2795.8,653.7,2.1,100,,
1,1,0,warm,dispatch_direct,7,2802.5,658.8,3.3,100,,
1,1,0,warm,dispatch_direct,8,2796.2,657.1,1.7,100,,
1,1,0,warm,dispatch_direct,9,2795.8,662.5,3.3,100,,
1,1,0,warm,dispatch_direct,10,2795.0,666.2,2.5,100,,
1,1,0,warm,dispatch_direct,11,2792.1,652.9,3.7,100,,
1,1,0,warm,dispatch_direct,12,2704.2,632.1,1.2,100,,
1,1,0,warm,dispatch_direct,13,2695.4,630.4,3.7,100,,
1,1,0,warm,dispatch_direct,14,2830.4,643.7,1.7,100,,
1,1,0,warm,dispatch_direct,15,2744.2,647.9,2.9,100,,
1,1,0,warm,dispatch_direct,16,2704.6,638.8,1.2,100,,
1,1,0,warm,dispatch_direct,17,2756.7,679.2,2.1,100,,
1,1,0,warm,dispatch_direct,18,2724.2,639.6,2.1,100,,
1,1,0,warm,dispatch_direct,19,2707.5,633.8,1.7,100,,
1,1,0,warm,dispatch_volatile,0,2714.2,637.5,5.0,100,,
1,1,0,warm,dispatch_volatile,1,2754.6,645.0,1.2,100,,
1,1,0,warm,dispatch_volatile,2,2885.8,678.3,1.2,100,,
1,1,0,warm,dispatch_volatile,3,2761.2,647.9,1.2,100,,
1,1,0,warm,dispatch_volatile,4,2755.0,644.2,1.7,100,,
1,1,0,warm,dispatch_volatile,5,2821.7,654.6,2.5,100,,
1,1,0,warm,dispatch_volatile,6,2722.5,634.6,2.9,100,,
1,1,0,warm,dispatch_volatile,7,2721.2,637.9,3.3,100,,
1,1,0,warm,dispatch_volatile,8,2827.9,663.8,3.3,100,,
1,1,0,warm,dispatch_volatile,9,2876.7,676.2,2.5,100,,
1,1,0,warm,dispatch_volatile,10,2888.3,682.1,4.2,100,,
1,1,0,warm,dispatch_volatile,11,2834.6,663.3,3.7,100,,
