run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,dispatch_const_ptr,0,2766.7,659.2,1.7,100,,
1,1,0,warm,dispatch_const_ptr,1,2802.1,657.5,2.9,100,,
1,1,0,warm,dispatch_const_ptr,2,2803.3,655.4,0.8,100,,
1,1,0,warm,dispatch_const_ptr,3,2822.9,655.4,2.5,100,,
1,1,0,warm,dispatch_const_ptr,4,2794.2,647.9,5.0,100,,
1,1,0,warm,dispatch_const_ptr,5,2837.9,658.8,3.3,100,,
1,1,0,warm,dispatch_const_ptr,6,2820.0,658.8,2.5,100,,
1,1,0,warm,dispatch_const_ptr,7,3116.2,925.4,2.1,100,,
1,1,0,warm,dispatch_const_ptr,8,2901.7,733.3,1.7,100,,
1,1,0,warm,dispatch_const_ptr,9,2795.4,660.8,0.4,100,,
1,1,0,warm,dispatch_const_ptr,10,2807.9,661.7,1.7,100,,
1,1,0,warm,dispatch_const_ptr,11,2785.8,657.5,0.8,100,,
1,1,0,warm,dispatch_const_ptr,12,2712.5,642.5,3.3,100,,
1,1,0,warm,dispatch_const_ptr,13,2777.5,650.8,1.7,100,,
1,1,0,warm,dispatch_const_ptr,14,2972.9,682.1,0.8,100,,
1,1,0,warm,dispatch_const_ptr,15,2858.8,667.5,2.5,100,,
1,1,0,warm,dispatch_const_ptr,16,2798.3,649.6,1.2,100,,
1,1,0,warm,dispatch_const_ptr,17,2799.2,660.8,1.7,100,,
1,1,0,warm,dispatch_const_ptr,18,2801.7,651.7,3.3,100,,
1,1,0,warm,dispatch_const_ptr,19,2928.8,675.8,2.9,100,,
1,1,0,warm,dispatch_trait,0,2813.8,656.7,1.2,100,,
1,1,0,warm,dispatch_trait,1,2709.2,635.0,1.7,100,,
1,1,0,warm,dispatch_trait,2,2707.1,631.7,1.7,100,,
1,1,0,warm,dispatch_trait,3,2702.5,631.7,2.5,100,,
1,1,0,warm,dispatch_trait,4,2704.2,629.2,2.1,100,,
1,1,0,warm,dispatch_trait,5,2709.6,626.7,0.4,100,,
1,1,0,warm,dispatch_trait,6,2710.0,633.8,1.7,100,,
1,1,0,warm,dispatch_trait,7,2715.4,638.3,2.1,100,,
1,1,0,warm,dispatch_trait,8,2703.8,632.5,1.2,100,,
1,1,0,warm,dispatch_trait,9,2705.4,635.0,1.2,100,,
1,1,0,warm,dispatch_trait,10,2709.2,642.5,2.5,100,,
1,1,0,warm,dispatch_trait,11,2711.7,638.3,2.1,100,,
1,1,0,warm,dispatch_trait,12,2877.9,663.3,3.3,100,,
1,1,0,warm,dispatch_trait,13,2757.1,645.0,1.2,100,,
