run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ema_neon,0,2266.2,1.2,0.8,100,,
1,1,0,warm,ema_neon,1,2254.6,0.8,0.4,100,,
1,1,0,warm,ema_neon,2,2089.6,1.2,2.9,100,,
1,1,0,warm,ema_neon,3,2088.8,1.7,3.3,100,,
1,1,0,warm,ema_neon,4,2089.2,2.1,1.2,100,,
1,1,0,warm,ema_neon,5,2164.2,2.1,2.1,100,,
1,1,0,warm,ema_neon,6,2092.5,0.4,0.4,100,,
1,1,0,warm,ema_neon,7,2097.9,2.1,0.8,100,,
1,1,0,warm,ema_neon,8,2186.7,0.8,1.2,100,,
1,1,0,warm,ema_neon,9,2087.5,0.0,3.3,100,,
1,1,0,warm,ema_neon,10,2092.1,2.1,1.2,100,,
1,1,0,warm,ema_neon,11,2090.0,2.1,1.2,100,,
1,1,0,warm,ema_neon,12,2090.4,1.2,1.7,100,,
1,1,0,warm,ema_neon,13,2090.0,3.3,4.2,100,,
1,1,0,warm,ema_neon,14,2088.3,0.4,0.8,100,,
1,1,0,warm,ema_neon,15,2094.2,1.7,0.8,100,,
1,1,0,warm,ema_neon,16,2085.8,2.1,2.5,100,,
1,1,0,warm,ema_neon,17,2092.1,0.0,1.2,100,,
1,1,0,warm,ema_neon,18,2084.6,0.4,3.7,100,,
1,1,0,warm,ema_neon,19,2091.2,0.8,2.1,100,,
1,1,0,warm,ema_autovec,0,2163.3,75.0,3.3,100,,
1,1,0,warm,ema_autovec,1,2163.3,74.2,4.2,100,,
1,1,0,warm,ema_autovec,2,2165.4,75.4,0.4,100,,
1,1,0,warm,ema_autovec,3,2159.2,71.7,3.7,100,,
1,1,0,warm,ema_autovec,4,2160.4,71.7,1.2,100,,
1,1,0,warm,ema_autovec,5,2163.3,76.2,2.1,100,,
1,1,0,warm,ema_autovec,6,2296.2,78.7,1.2,100,,
1,1,0,warm,ema_autovec,7,2235.8,80.0,1.7,100,,
1,1,0,warm,ema_autovec,8,2234.2,77.5,3.7,100,,
1,1,0,warm,ema_autovec,9,2385.8,79.2,2.1,100,,
1,1,0,warm,ema_autovec,10,2295.4,75.0,4.2,100,,
1,1,0,warm,ema_autovec,11,2302.5,74.2,2.5,100,,
1,1,0,warm,ema_autovec,12,2235.4,75.8,2.1,100,,
1,1,0,warm,ema_autovec,13,2221.2,77.5,1.7,100,,
1,1,0,warm,ema_autovec,14,2152.5,86.7,3.3,100,,
1,1,0,warm,ema_autovec,15,2159.6,77.1,1.2,100,,
1,1,0,warm,ema_autovec,16,2157.5,75.8,0.8,100,,
1,1,0,warm,ema_autovec,17,2252.9,75.4,2.1,100,,
1,1,0,warm,ema_autovec,18,2210.4,77.9,2.1,100,,
1,1,0,warm,ema_autovec,19,2159.6,77.1,2.5,100,,
1,1,0,warm,ema_scalar,0,2105.4,25.4,2.1,100,,
1,1,0,warm,ema_scalar,1,2105.4,21.7,0.8,100,,
1,1,0,warm,ema_scalar,2,2104.2,27.9,0.8,100,,
1,1,0,warm,ema_scalar,3,2099.2,22.5,1.7,100,,
1,1,0,warm,ema_scalar,4,2094.6,18.8,2.1,100,,
1,1,0,warm,ema_scalar,5,2100.0,24.2,2.9,100,,
1,1,0,warm,ema_scalar,6,2100.4,21.2,2.1,100,,
1,1,0,warm,ema_scalar,7,2100.4,26.7,3.3,100,,
1,1,0,warm,ema_scalar,8,2095.8,22.1,2.1,100,,
1,1,0,warm,ema_scalar,9,2100.0,25.0,2.1,100,,
1,1,0,warm,ema_scalar,10,2097.9,22.9,1.7,100,,
1,1,0,warm,ema_scalar,11,2102.9,15.0,2.9,100,,
1,1,0,warm,ema_scalar,12,2096.2,20.0,2.5,100,,
1,1,0,warm,ema_scalar,13,2101.2,28.7,1.7,100,,
1,1,0,warm,ema_scalar,14,2096.7,30.0,3.3,100,,
1,1,0,warm,ema_scalar,15,2100.0,25.8,1.2,100,,
1,1,0,warm,ema_scalar,16,2095.8,23.7,2.1,100,,
1,1,0,warm,ema_scalar,17,2101.7,16.2,2.5,100,,
1,1,0,warm,ema_scalar,18,2096.2,23.7,1.2,100,,
1,1,0,warm,ema_scalar,19,2127.9,21.7,2.9,100,,
1,1,0,cold,ema_neon,0,2371.7,1.7,1.2,100,,
1,1,0,cold,ema_neon,1,2340.4,2.5,1.7,100,,
1,1,0,cold,ema_neon,2,2255.4,0.4,0.8,100,,
1,1,0,cold,ema_neon,3,2217.9,1.7,1.2,100,,
1,1,0,cold,ema_neon,4,2215.4,0.4,0.4,100,,
1,1,0,cold,ema_neon,5,2215.0,0.8,1.7,100,,
1,1,0,cold,ema_neon,6,2215.0,1.2,1.2,100,,
