run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,ema_form_float,0,4265.8,2086.7,2.5,100,,
1,1,0,warm,ema_form_float,1,4272.1,2084.2,2.5,100,,
1,1,0,warm,ema_form_float,2,4265.0,2088.3,2.1,100,,
1,1,0,warm,ema_form_float,3,4253.8,2090.0,2.9,100,,
1,1,0,warm,ema_form_float,4,4253.8,2088.8,2.5,100,,
1,1,0,warm,ema_form_float,5,4257.1,2087.9,1.7,100,,
1,1,0,warm,ema_form_float,6,4256.7,2090.8,1.7,100,,
1,1,0,warm,ema_form_float,7,4334.6,2120.8,4.2,100,,
1,1,0,warm,ema_form_float,8,4263.3,2087.1,1.2,100,,
1,1,0,warm,ema_form_float,9,4259.6,2090.4,0.8,100,,
1,1,0,warm,ema_form_float,10,4264.2,2088.8,2.5,100,,
1,1,0,warm,ema_form_float,11,4268.3,2086.2,2.1,100,,
1,1,0,warm,ema_form_float,12,4260.8,2091.2,1.2,100,,
1,1,0,warm,ema_form_float,13,4258.7,2087.5,2.5,100,,
1,1,0,warm,ema_form_float,14,4278.3,2099.6,4.2,100,,
1,1,0,warm,ema_form_float,15,4290.4,2086.2,1.2,100,,
1,1,0,warm,ema_form_float,16,4263.3,2089.6,0.8,100,,
1,1,0,warm,ema_form_float,17,4255.0,2087.5,2.5,100,,
1,1,0,warm,ema_form_float,18,4261.7,2090.0,1.7,100,,
1,1,0,warm,ema_form_float,19,4273.7,2090.4,0.8,100,,
1,1,0,warm,ema_form_intshift,0,3444.2,1256.2,1.2,100,,
1,1,0,warm,ema_form_intshift,1,3560.4,1296.2,1.7,100,,
1,1,0,warm,ema_form_intshift,2,3564.6,1306.2,0.8,100,,
1,1,0,warm,ema_form_intshift,3,3551.7,1306.7,2.5,100,,
1,1,0,warm,ema_form_intshift,4,3552.9,1309.6,2.9,100,,
1,1,0,warm,ema_form_intshift,5,3560.0,1309.2,2.9,100,,
1,1,0,warm,ema_form_intshift,6,3559.6,1312.9,1.2,100,,
1,1,0,warm,ema_form_intshift,7,3562.5,1306.2,2.1,100,,
1,1,0,warm,ema_form_intshift,8,3562.5,1307.1,0.8,100,,
1,1,0,warm,ema_form_intshift,9,3560.8,1309.2,0.8,100,,
1,1,0,warm,ema_form_intshift,10,3560.4,1307.1,4.2,100,,
1,1,0,warm,ema_form_intshift,11,3566.7,1304.6,1.2,100,,
1,1,0,warm,ema_form_intshift,12,3567.5,1312.1,1.2,100,,
1,1,0,warm,ema_form_intshift,13,3504.2,1280.4,0.4,100,,
1,1,0,warm,ema_form_intshift,14,3435.0,1264.6,1.7,100,,
1,1,0,warm,ema_form_intshift,15,3435.0,1258.8,0.4,100,,
1,1,0,warm,ema_form_intshift,16,3440.0,1260.0,2.9,100,,
1,1,0,warm,ema_form_intshift,17,3438.3,1261.7,2.5,100,,
1,1,0,warm,ema_form_intshift,18,3431.7,1260.0,2.5,100,,
1,1,0,warm,ema_form_intshift,19,3456.2,1275.0,2.9,100,,
1,1,0,warm,ema_form_q32,0,4588.3,2138.8,3.3,100,,
1,1,0,warm,ema_form_q32,1,4259.2,1990.0,2.9,100,,
1,1,0,warm,ema_form_q32,2,4127.1,1931.7,1.2,100,,
1,1,0,warm,ema_form_q32,3,4217.5,1988.3,1.7,100,,
1,1,0,warm,ema_form_q32,4,4100.4,1922.5,2.1,100,,
1,1,0,warm,ema_form_q32,5,4482.9,2098.8,1.7,100,,
1,1,0,warm,ema_form_q32,6,4570.4,2144.6,2.1,100,,
1,1,0,warm,ema_form_q32,7,4575.8,2140.0,1.2,100,,
1,1,0,warm,ema_form_q32,8,4593.3,2148.3,2.9,100,,
1,1,0,warm,ema_form_q32,9,4541.2,2132.5,1.2,100,,
1,1,0,warm,ema_form_q32,10,4244.2,1989.6,1.7,100,,
1,1,0,warm,ema_form_q32,11,4237.9,1984.6,2.1,100,,
1,1,0,warm,ema_form_q32,12,4246.7,1991.7,4.2,100,,
1,1,0,warm,ema_form_q32,13,4246.7,1985.8,3.7,100,,
1,1,0,warm,ema_form_q32,14,4258.7,2012.5,1.7,100,,
1,1,0,warm,ema_form_q32,15,4255.8,1988.7,2.9,100,,
1,1,0,warm,ema_form_q32,16,4255.0,1987.5,2.5,100,,
1,1,0,warm,ema_form_q32,17,4263.8,1990.8,2.5,100,,
1,1,0,warm,ema_form_q32,18,4237.9,1986.2,2.5,100,,
1,1,0,warm,ema_form_q32,19,4252.1,1985.4,2.1,100,,
1,1,0,cold,ema_form_float,0,4971.2,2236.7,2.1,100,,
1,1,0,cold,ema_form_float,1,4968.8,2239.2,0.4,100,,
1,1,0,cold,ema_form_float,2,4953.3,2242.5,2.1,100,,
1,1,0,cold,ema_form_float,3,4833.8,2186.7,1.7,100,,
1,1,0,cold,ema_form_float,4,4792.5,2161.2,2.9,100,,
1,1,0,cold,ema_form_float,5,4780.0,2160.0,2.5,100,,
1,1,0,cold,ema_form_float,6,4783.3,2158.8,1.2,100,,
1,1,0,cold,ema_form_float,7,4822.5,2174.2,0.8,100,,
1,1,0,cold,ema_form_float,8,4869.6,2198.3,2.5,100,,
1,1,0,cold,ema_form_float,9,4785.4,2158.3,1.2,100,,
1,1,0,cold,ema_form_float,10,4792.9,2164.6,2.1,100,,
1,1,0,cold,ema_form_float,11,4811.7,2182.9,1.2,100,,
1,1,0,cold,ema_form_float,12,4786.2,2160.0,2.5,100,,
