run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,float_f64,0,2389.2,309.6,4.2,100,,
1,1,0,warm,float_f64,1,2387.5,308.8,2.1,100,,
1,1,0,warm,float_f64,2,2382.9,310.0,2.5,100,,
1,1,0,warm,float_f64,3,2382.5,310.4,2.9,100,,
1,1,0,warm,float_f64,4,2385.4,309.6,2.1,100,,
1,1,0,warm,float_f64,5,2380.0,314.6,2.1,100,,
1,1,0,warm,float_f64,6,2382.5,313.3,2.1,100,,
1,1,0,warm,float_f64,7,2379.6,310.8,2.9,100,,
1,1,0,warm,float_f64,8,2387.1,310.8,0.4,100,,
1,1,0,warm,float_f64,9,2383.3,309.2,2.1,100,,
1,1,0,warm,float_f64,10,2388.3,306.7,3.3,100,,
1,1,0,warm,float_f64,11,2414.6,318.3,5.0,100,,
1,1,0,warm,float_f64,12,2439.6,318.8,0.8,100,,
1,1,0,warm,float_f64,13,2380.8,306.2,2.9,100,,
1,1,0,warm,float_f64,14,2383.8,306.7,0.8,100,,
1,1,0,warm,float_f64,15,2379.6,317.1,0.8,100,,
1,1,0,warm,float_f64,16,2384.2,314.6,1.7,100,,
1,1,0,warm,float_f64,17,2379.2,309.2,2.9,100,,
1,1,0,warm,float_f64,18,2382.5,310.0,2.5,100,,
1,1,0,warm,float_f64,19,2388.8,309.2,0.4,100,,
1,1,0,warm,float_i64_scaled,0,2891.2,491.2,0.8,100,,
1,1,0,warm,float_i64_scaled,1,2874.6,484.6,2.9,100,,
1,1,0,warm,float_i64_scaled,2,2881.7,487.5,1.7,100,,
1,1,0,warm,float_i64_scaled,3,2884.2,490.0,1.2,100,,
1,1,0,warm,float_i64_scaled,4,2877.5,484.6,2.9,100,,
1,1,0,warm,float_i64_scaled,5,2880.0,493.3,0.8,100,,
1,1,0,warm,float_i64_scaled,6,2878.3,490.4,2.9,100,,
1,1,0,warm,float_i64_scaled,7,2879.2,488.8,2.9,100,,
1,1,0,warm,float_i64_scaled,8,2883.3,487.9,4.2,100,,
1,1,0,warm,float_i64_scaled,9,2880.0,486.7,2.1,100,,
1,1,0,warm,float_i64_scaled,10,2883.3,486.2,1.2,100,,
1,1,0,warm,float_i64_scaled,11,2878.8,491.2,1.2,100,,
1,1,0,warm,float_i64_scaled,12,2775.8,468.8,1.7,100,,
1,1,0,warm,float_i64_scaled,13,2491.7,419.6,2.9,100,,
1,1,0,warm,float_i64_scaled,14,2491.7,417.9,0.8,100,,
1,1,0,warm,float_i64_scaled,15,2488.3,426.7,0.8,100,,
1,1,0,warm,float_i64_scaled,16,2494.6,426.7,0.8,100,,
1,1,0,warm,float_i64_scaled,17,2495.4,423.8,0.8,100,,
1,1,0,warm,float_i64_scaled,18,2491.2,425.0,1.7,100,,
1,1,0,warm,float_i64_scaled,19,2492.5,420.8,2.9,100,,
1,1,0,warm,float_f32,0,2390.0,312.5,2.5,100,,
1,1,0,warm,float_f32,1,2384.2,309.2,2.1,100,,
1,1,0,warm,float_f32,2,2381.2,308.8,2.5,100,,
1,1,0,warm,float_f32,3,2571.7,336.2,1.2,100,,
1,1,0,warm,float_f32,4,2754.6,359.2,0.8,100,,
1,1,0,warm,float_f32,5,2751.7,363.3,2.1,100,,
