run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,fpt_table_16,0,4809.6,59.6,6.7,100,,
1,1,0,warm,fpt_table_16,1,4804.6,54.2,6.7,100,,
1,1,0,warm,fpt_table_16,2,4797.5,60.8,7.5,100,,
1,1,0,warm,fpt_table_16,3,4801.2,62.1,6.2,100,,
1,1,0,warm,fpt_table_16,4,3431.7,57.1,4.6,100,,
1,1,0,warm,fpt_table_16,5,2229.6,43.8,2.1,100,,
1,1,0,warm,fpt_table_16,6,2191.2,33.8,1.7,100,,
1,1,0,warm,fpt_table_16,7,2620.8,53.8,2.1,100,,
1,1,0,warm,fpt_table_16,8,2152.5,39.6,2.5,100,,
1,1,0,warm,fpt_table_16,9,2153.3,46.7,2.9,100,,
1,1,0,warm,fpt_table_16,10,2199.6,42.9,0.8,100,,
1,1,0,warm,fpt_table_16,11,2395.4,44.6,2.1,100,,
1,1,0,warm,fpt_table_16,12,2162.9,37.5,1.7,100,,
1,1,0,warm,fpt_table_16,13,2109.2,40.8,2.1,100,,
1,1,0,warm,fpt_table_16,14,2110.0,40.4,1.2,100,,
1,1,0,warm,fpt_table_16,15,2118.3,42.5,2.1,100,,
1,1,0,warm,fpt_table_16,16,2270.4,45.0,3.3,100,,
1,1,0,warm,fpt_table_16,17,2108.3,40.0,1.2,100,,
1,1,0,warm,fpt_table_16,18,2107.9,41.7,0.8,100,,
1,1,0,warm,fpt_table_16,19,2165.8,43.3,2.5,100,,
1,1,0,warm,fpt_match_16,0,2141.2,62.1,1.7,100,,
1,1,0,warm,fpt_match_16,1,2125.0,64.2,2.1,100,,
1,1,0,warm,fpt_match_16,2,2127.5,61.2,1.7,100,,
1,1,0,warm,fpt_match_16,3,2126.7,60.4,2.1,100,,
1,1,0,warm,fpt_match_16,4,2153.8,69.2,3.3,100,,
1,1,0,warm,fpt_match_16,5,2130.4,66.2,1.2,100,,
1,1,0,warm,fpt_match_16,6,2131.2,58.3,2.1,100,,
1,1,0,warm,fpt_match_16,7,2127.5,66.2,2.5,100,,
1,1,0,warm,fpt_match_16,8,2125.8,63.3,0.8,100,,
1,1,0,warm,fpt_match_16,9,2126.2,65.8,1.2,100,,
1,1,0,warm,fpt_match_16,10,2133.8,63.8,3.3,100,,
1,1,0,warm,fpt_match_16,11,2160.0,64.6,2.1,100,,
1,1,0,warm,fpt_match_16,12,2122.5,59.2,2.5,100,,
1,1,0,warm,fpt_match_16,13,2166.7,66.2,0.4,100,,
1,1,0,warm,fpt_match_16,14,2163.3,64.2,2.5,100,,
1,1,0,warm,fpt_match_16,15,2135.8,62.5,1.2,100,,
1,1,0,warm,fpt_match_16,16,2340.0,69.6,1.2,100,,
1,1,0,warm,fpt_match_16,17,2154.2,62.9,3.7,100,,
1,1,0,warm,fpt_match_16,18,2141.7,62.5,2.9,100,,
1,1,0,warm,fpt_match_16,19,2219.2,67.5,2.5,100,,
1,1,0,cold,fpt_table_16,0,7524.6,672.1,4.2,100,,
1,1,0,cold,fpt_table_16,1,7268.3,657.1,2.5,100,,
