run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,fold_sequential,0,2710.8,600.8,1.2,100,,
1,1,0,warm,fold_sequential,1,2681.7,588.3,2.5,100,,
1,1,0,warm,fold_sequential,2,2711.2,595.8,1.7,100,,
1,1,0,warm,fold_sequential,3,2752.1,599.6,2.9,100,,
1,1,0,warm,fold_sequential,4,2726.2,602.1,2.1,100,,
1,1,0,warm,fold_sequential,5,2683.7,589.6,1.2,100,,
1,1,0,warm,fold_sequential,6,2680.8,589.6,2.1,100,,
1,1,0,warm,fold_sequential,7,2730.8,611.2,0.8,100,,
1,1,0,warm,fold_sequential,8,2679.6,594.6,2.1,100,,
1,1,0,warm,fold_sequential,9,2680.0,587.9,2.9,100,,
1,1,0,warm,fold_sequential,10,2702.1,592.9,2.5,100,,
1,1,0,warm,fold_sequential,11,2680.8,589.2,2.5,100,,
1,1,0,warm,fold_sequential,12,2676.7,588.8,2.1,100,,
1,1,0,warm,fold_sequential,13,2699.6,592.1,1.7,100,,
1,1,0,warm,fold_sequential,14,2680.4,588.8,1.7,100,,
1,1,0,warm,fold_sequential,15,2678.8,585.8,3.7,100,,
1,1,0,warm,fold_sequential,16,2680.4,587.5,2.5,100,,
1,1,0,warm,fold_sequential,17,2679.2,591.7,2.5,100,,
1,1,0,warm,fold_sequential,18,2677.5,589.2,3.7,100,,
1,1,0,warm,fold_sequential,19,2678.3,587.9,2.5,100,,
1,1,0,warm,fold_paired,0,2556.2,337.1,5.0,100,,
1,1,0,warm,fold_paired,1,2550.4,335.4,2.1,100,,
1,1,0,warm,fold_paired,2,2557.5,339.2,2.1,100,,
1,1,0,warm,fold_paired,3,2554.6,330.4,1.7,100,,
1,1,0,warm,fold_paired,4,2545.4,336.7,2.9,100,,
1,1,0,warm,fold_paired,5,2558.3,328.3,1.2,100,,
1,1,0,warm,fold_paired,6,2554.2,329.6,1.7,100,,
1,1,0,warm,fold_paired,7,2559.2,333.8,0.4,100,,
1,1,0,warm,fold_paired,8,2553.3,334.2,2.1,100,,
1,1,0,warm,fold_paired,9,2563.3,332.5,2.1,100,,
1,1,0,warm,fold_paired,10,2556.7,334.6,2.5,100,,
1,1,0,warm,fold_paired,11,2554.6,334.6,0.8,100,,
1,1,0,warm,fold_paired,12,2550.8,328.7,4.2,100,,
1,1,0,warm,fold_paired,13,2555.4,332.1,2.1,100,,
1,1,0,warm,fold_paired,14,2561.7,338.8,2.1,100,,
1,1,0,warm,fold_paired,15,2560.4,328.3,1.2,100,,
1,1,0,warm,fold_paired,16,2563.3,331.7,3.3,100,,
1,1,0,warm,fold_paired,17,2557.5,332.9,0.8,100,,
1,1,0,warm,fold_paired,18,2558.7,336.2,1.2,100,,
1,1,0,warm,fold_paired,19,2558.3,328.3,2.1,100,,
1,1,0,warm,fold_quad,0,2602.9,206.7,2.1,100,,
1,1,0,warm,fold_quad,1,2596.7,202.5,1.7,100,,
1,1,0,warm,fold_quad,2,2632.5,207.5,2.5,100,,
1,1,0,warm,fold_quad,3,2592.9,197.9,2.9,100,,
1,1,0,warm,fold_quad,4,2592.5,208.7,1.7,100,,
1,1,0,warm,fold_quad,5,2600.4,201.2,1.2,100,,
1,1,0,warm,fold_quad,6,2595.0,196.7,2.9,100,,
1,1,0,warm,fold_quad,7,2595.8,202.1,1.2,100,,
1,1,0,warm,fold_quad,8,2600.4,204.2,1.7,100,,
1,1,0,warm,fold_quad,9,2597.1,199.2,0.8,100,,
1,1,0,warm,fold_quad,10,2599.2,199.6,2.5,100,,
1,1,0,warm,fold_quad,11,2594.2,200.8,2.5,100,,
1,1,0,warm,fold_quad,12,2602.5,201.2,0.4,100,,
1,1,0,warm,fold_quad,13,2592.1,202.1,2.1,100,,
1,1,0,warm,fold_quad,14,2600.8,209.6,2.1,100,,
1,1,0,warm,fold_quad,15,2596.7,200.0,1.2,100,,
1,1,0,warm,fold_quad,16,2596.2,199.2,2.5,100,,
1,1,0,warm,fold_quad,17,2591.2,202.1,2.1,100,,
1,1,0,warm,fold_quad,18,2595.4,206.2,1.7,100,,
1,1,0,warm,fold_quad,19,2590.4,200.8,2.9,100,,
1,1,0,cold,fold_sequential,0,4628.8,683.3,2.9,100,,
1,1,0,cold,fold_sequential,1,4706.2,759.2,4.2,100,,
1,1,0,cold,fold_sequential,2,4602.9,682.5,2.9,100,,
1,1,0,cold,fold_sequential,3,4592.5,676.2,4.6,100,,
1,1,0,cold,fold_sequential,4,4595.0,684.2,1.7,100,,
1,1,0,cold,fold_sequential,5,4605.4,678.3,1.2,100,,
1,1,0,cold,fold_sequential,6,4597.9,676.7,2.1,100,,
1,1,0,cold,fold_sequential,7,4595.4,678.3,3.7,100,,
1,1,0,cold,fold_sequential,8,4597.5,685.4,1.7,100,,
1,1,0,cold,fold_sequential,9,4600.8,677.5,2.5,100,,
1,1,0,cold,fold_sequential,10,4591.2,680.0,1.2,100,,
1,1,0,cold,fold_sequential,11,4596.7,682.1,2.5,100,,
1,1,0,cold,fold_sequential,12,4382.5,669.6,0.8,100,,
1,1,0,cold,fold_sequential,13,4262.5,630.0,3.3,100,,
1,1,0,cold,fold_sequential,14,4262.1,635.8,1.7,100,,
1,1,0,cold,fold_sequential,15,4272.9,627.5,1.2,100,,
1,1,0,cold,fold_sequential,16,4267.9,627.1,3.3,100,,
1,1,0,cold,fold_sequential,17,4271.2,632.5,1.7,100,,
1,1,0,cold,fold_sequential,18,4271.2,632.9,1.7,100,,
1,1,0,cold,fold_sequential,19,4268.8,635.4,2.1,100,,
1,1,0,cold,fold_paired,0,4292.1,358.3,4.2,100,,
