run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,fxpmul_precise,0,5025.0,721.2,6.7,100,,
1,1,0,warm,fxpmul_precise,1,3726.2,676.7,4.6,100,,
1,1,0,warm,fxpmul_precise,2,3737.1,683.3,2.1,100,,
1,1,0,warm,fxpmul_precise,3,3727.5,682.9,5.0,100,,
1,1,0,warm,fxpmul_precise,4,4156.2,840.4,8.8,100,,
1,1,0,warm,fxpmul_precise,5,3789.6,695.4,1.7,100,,
1,1,0,warm,fxpmul_precise,6,3851.2,705.0,2.1,100,,
1,1,0,warm,fxpmul_precise,7,3734.2,674.2,2.5,100,,
1,1,0,warm,fxpmul_precise,8,3731.7,688.8,2.9,100,,
1,1,0,warm,fxpmul_precise,9,3735.4,682.1,1.7,100,,
1,1,0,warm,fxpmul_precise,10,3740.4,692.1,2.9,100,,
1,1,0,warm,fxpmul_precise,11,3758.7,690.8,2.1,100,,
1,1,0,warm,fxpmul_precise,12,3769.2,693.3,4.6,100,,
1,1,0,warm,fxpmul_precise,13,3770.0,703.3,2.9,100,,
1,1,0,warm,fxpmul_precise,14,3724.2,683.3,3.7,100,,
1,1,0,warm,fxpmul_precise,15,3723.8,676.2,1.7,100,,
1,1,0,warm,fxpmul_precise,16,3739.2,684.2,1.2,100,,
1,1,0,warm,fxpmul_precise,17,3730.0,681.2,3.3,100,,
1,1,0,warm,fxpmul_precise,18,3727.1,682.9,5.0,100,,
1,1,0,warm,fxpmul_precise,19,4017.5,684.2,6.2,100,,
1,1,0,warm,fxpmul_hot,0,3640.4,575.8,2.9,100,,
1,1,0,warm,fxpmul_hot,1,3616.2,561.2,3.7,100,,
1,1,0,warm,fxpmul_hot,2,3610.4,560.4,2.9,100,,
1,1,0,warm,fxpmul_hot,3,3618.7,565.8,2.1,100,,
1,1,0,warm,fxpmul_hot,4,3607.1,571.2,4.2,100,,
1,1,0,warm,fxpmul_hot,5,3603.7,566.2,4.6,100,,
1,1,0,warm,fxpmul_hot,6,3615.4,565.8,3.3,100,,
1,1,0,warm,fxpmul_hot,7,3606.2,551.7,5.4,100,,
1,1,0,warm,fxpmul_hot,8,3612.1,574.2,2.1,100,,
1,1,0,warm,fxpmul_hot,9,3612.9,559.6,4.6,100,,
1,1,0,warm,fxpmul_hot,10,3611.7,565.8,2.1,100,,
1,1,0,warm,fxpmul_hot,11,3606.2,569.2,2.9,100,,
1,1,0,warm,fxpmul_hot,12,3612.1,567.1,2.1,100,,
1,1,0,warm,fxpmul_hot,13,3629.2,575.4,3.7,100,,
1,1,0,warm,fxpmul_hot,14,3642.1,564.6,2.5,100,,
1,1,0,warm,fxpmul_hot,15,3612.1,560.0,2.1,100,,
1,1,0,warm,fxpmul_hot,16,3619.6,566.2,4.2,100,,
1,1,0,warm,fxpmul_hot,17,3625.8,563.3,3.7,100,,
1,1,0,warm,fxpmul_hot,18,3435.0,540.0,3.7,100,,
1,1,0,warm,fxpmul_hot,19,3705.0,632.9,9.2,100,,
1,1,0,cold,fxpmul_precise,0,5160.0,635.0,2.9,100,,
1,1,0,cold,fxpmul_precise,1,5158.8,619.6,2.9,100,,
1,1,0,cold,fxpmul_precise,2,5507.9,625.8,3.7,100,,
1,1,0,cold,fxpmul_precise,3,5174.2,625.0,2.9,100,,
1,1,0,cold,fxpmul_precise,4,5163.3,629.6,1.2,100,,
1,1,0,cold,fxpmul_precise,5,5143.3,625.4,1.7,100,,
1,1,0,cold,fxpmul_precise,6,5159.2,626.7,1.2,100,,
1,1,0,cold,fxpmul_precise,7,5178.3,617.1,2.5,100,,
1,1,0,cold,fxpmul_precise,8,5179.6,631.7,3.3,100,,
1,1,0,cold,fxpmul_precise,9,5165.4,624.6,2.1,100,,
1,1,0,cold,fxpmul_precise,10,5182.1,626.2,1.2,100,,
1,1,0,cold,fxpmul_precise,11,5157.5,632.1,1.7,100,,
1,1,0,cold,fxpmul_precise,12,5166.2,626.7,3.3,100,,
1,1,0,cold,fxpmul_precise,13,5164.2,634.6,2.1,100,,
1,1,0,cold,fxpmul_precise,14,5165.4,624.2,2.1,100,,
1,1,0,cold,fxpmul_precise,15,5155.4,617.1,5.8,100,,
1,1,0,cold,fxpmul_precise,16,5152.1,624.6,3.3,100,,
1,1,0,cold,fxpmul_precise,17,5156.2,626.7,2.9,100,,
1,1,0,cold,fxpmul_precise,18,5145.8,625.4,2.9,100,,
1,1,0,cold,fxpmul_precise,19,5159.6,629.6,0.4,100,,
1,1,0,cold,fxpmul_hot,0,5103.7,527.5,2.5,100,,
1,1,0,cold,fxpmul_hot,1,5095.8,512.5,5.8,100,,
1,1,0,cold,fxpmul_hot,2,6040.4,525.8,8.8,100,,
1,1,0,cold,fxpmul_hot,3,5057.5,515.8,2.5,100,,
1,1,0,cold,fxpmul_hot,4,5129.6,518.3,1.2,100,,
1,1,0,cold,fxpmul_hot,5,5043.3,518.3,1.2,100,,
1,1,0,cold,fxpmul_hot,6,5046.7,517.9,3.7,100,,
1,1,0,cold,fxpmul_hot,7,5046.7,507.1,2.5,100,,
1,1,0,cold,fxpmul_hot,8,5041.7,524.6,2.9,100,,
1,1,0,cold,fxpmul_hot,9,5071.7,509.6,3.7,100,,
1,1,0,cold,fxpmul_hot,10,5048.8,517.1,2.1,100,,
1,1,0,cold,fxpmul_hot,11,5034.2,520.0,2.5,100,,
1,1,0,cold,fxpmul_hot,12,5423.3,522.5,4.2,100,,
1,1,0,cold,fxpmul_hot,13,5046.7,525.8,3.3,100,,
1,1,0,cold,fxpmul_hot,14,5061.2,513.3,2.9,100,,
