run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,hash_sip,0,2812.9,12.5,10.4,100,,
1,1,0,warm,hash_sip,1,2806.7,12.5,8.3,100,,
1,1,0,warm,hash_sip,2,2805.8,12.5,10.4,100,,
1,1,0,warm,hash_sip,3,2802.1,15.8,6.7,100,,
1,1,0,warm,hash_sip,4,3785.0,20.8,12.5,100,,
1,1,0,warm,hash_sip,5,2803.3,16.7,7.5,100,,
1,1,0,warm,hash_sip,6,2799.6,11.7,11.2,100,,
1,1,0,warm,hash_sip,7,3820.4,18.3,7.9,100,,
1,1,0,warm,hash_sip,8,3945.8,21.2,4.6,100,,
1,1,0,warm,hash_sip,9,4597.5,16.7,8.3,100,,
1,1,0,warm,hash_sip,10,3659.6,16.7,7.5,100,,
1,1,0,warm,hash_sip,11,2810.4,20.8,12.1,100,,
1,1,0,warm,hash_sip,12,2805.4,17.5,7.9,100,,
1,1,0,warm,hash_sip,13,2801.7,11.2,10.4,100,,
1,1,0,warm,hash_sip,14,2790.8,13.3,7.5,100,,
1,1,0,warm,hash_sip,15,2810.0,11.7,11.7,100,,
1,1,0,warm,hash_sip,16,2800.8,15.0,9.2,100,,
1,1,0,warm,hash_sip,17,2801.7,11.7,8.3,100,,
1,1,0,warm,hash_sip,18,2807.1,15.0,10.0,100,,
1,1,0,warm,hash_sip,19,2805.4,15.4,10.0,100,,
1,1,0,warm,hash_fnv1a,0,2858.8,39.6,2.5,100,,
1,1,0,warm,hash_fnv1a,1,2845.8,46.7,2.9,100,,
1,1,0,warm,hash_fnv1a,2,2838.7,42.5,2.9,100,,
1,1,0,warm,hash_fnv1a,3,2840.8,53.8,1.7,100,,
1,1,0,warm,hash_fnv1a,4,2843.8,51.7,2.5,100,,
1,1,0,warm,hash_fnv1a,5,3272.9,60.8,4.6,100,,
1,1,0,warm,hash_fnv1a,6,2854.6,39.6,2.1,100,,
1,1,0,warm,hash_fnv1a,7,3404.2,53.3,4.2,100,,
1,1,0,warm,hash_fnv1a,8,3058.7,51.7,2.9,100,,
1,1,0,warm,hash_fnv1a,9,2847.5,47.5,3.3,100,,
1,1,0,warm,hash_fnv1a,10,2979.2,55.0,4.6,100,,
1,1,0,warm,hash_fnv1a,11,3239.6,71.7,5.4,100,,
1,1,0,warm,hash_fnv1a,12,3387.5,52.9,1.7,100,,
1,1,0,warm,hash_fnv1a,13,3682.5,40.0,2.9,100,,
1,1,0,warm,hash_fnv1a,14,2836.7,46.2,2.1,100,,
1,1,0,warm,hash_fnv1a,15,2851.2,36.7,2.5,100,,
1,1,0,warm,hash_fnv1a,16,2852.1,42.1,2.5,100,,
