run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,iter_seq,0,3414.2,732.9,4.6,100,,
1,1,0,warm,iter_seq,1,3330.0,731.7,2.1,100,,
1,1,0,warm,iter_seq,2,3320.0,732.9,4.2,100,,
1,1,0,warm,iter_seq,3,3340.0,735.8,1.7,100,,
1,1,0,warm,iter_seq,4,3339.2,744.2,0.8,100,,
1,1,0,warm,iter_seq,5,3358.3,735.0,2.1,100,,
1,1,0,warm,iter_seq,6,3368.3,735.4,2.5,100,,
1,1,0,warm,iter_seq,7,3347.9,731.2,1.2,100,,
1,1,0,warm,iter_seq,8,3342.1,730.4,1.7,100,,
1,1,0,warm,iter_seq,9,3352.9,735.0,1.2,100,,
1,1,0,warm,iter_seq,10,3446.2,724.2,1.7,100,,
1,1,0,warm,iter_seq,11,3344.2,729.2,2.1,100,,
1,1,0,warm,iter_seq,12,3331.7,733.7,2.1,100,,
1,1,0,warm,iter_seq,13,3445.8,757.1,4.6,100,,
1,1,0,warm,iter_seq,14,3132.5,687.1,2.5,100,,
1,1,0,warm,iter_seq,15,3133.7,687.5,1.7,100,,
1,1,0,warm,iter_seq,16,3142.5,684.2,1.7,100,,
1,1,0,warm,iter_seq,17,3129.2,689.6,1.7,100,,
1,1,0,warm,iter_seq,18,3126.7,689.2,1.7,100,,
1,1,0,warm,iter_seq,19,3127.5,688.8,2.5,100,,
1,1,0,warm,iter_gather,0,3742.1,1303.3,0.4,100,,
1,1,0,warm,iter_gather,1,3740.8,1304.2,0.8,100,,
1,1,0,warm,iter_gather,2,3750.0,1306.7,1.7,100,,
1,1,0,warm,iter_gather,3,3742.1,1297.5,1.7,100,,
1,1,0,warm,iter_gather,4,3732.9,1305.8,2.1,100,,
1,1,0,warm,iter_gather,5,3750.8,1301.7,3.3,100,,
1,1,0,warm,iter_gather,6,3735.0,1297.9,2.5,100,,
1,1,0,warm,iter_gather,7,3732.9,1299.2,1.2,100,,
1,1,0,warm,iter_gather,8,3744.6,1302.9,1.7,100,,
1,1,0,warm,iter_gather,9,3724.6,1307.1,2.9,100,,
1,1,0,warm,iter_gather,10,3731.7,1300.0,1.2,100,,
1,1,0,warm,iter_gather,11,3727.5,1301.7,2.9,100,,
1,1,0,warm,iter_gather,12,3732.5,1309.2,2.1,100,,
1,1,0,warm,iter_gather,13,3725.8,1302.5,0.8,100,,
1,1,0,warm,iter_gather,14,3734.2,1305.4,0.8,100,,
1,1,0,warm,iter_gather,15,3755.0,1328.3,2.1,100,,
1,1,0,warm,iter_gather,16,3727.1,1295.4,3.3,100,,
1,1,0,warm,iter_gather,17,3721.2,1307.5,0.8,100,,
1,1,0,warm,iter_gather,18,3733.3,1307.1,2.1,100,,
1,1,0,warm,iter_gather,19,3705.4,1290.8,1.7,100,,
1,1,0,warm,iter_strided,0,2463.3,63.8,1.7,100,,
1,1,0,warm,iter_strided,1,2465.4,58.3,2.1,100,,
1,1,0,warm,iter_strided,2,2457.5,63.3,3.3,100,,
1,1,0,warm,iter_strided,3,2491.2,57.5,2.5,100,,
1,1,0,warm,iter_strided,4,2464.6,70.0,1.2,100,,
1,1,0,warm,iter_strided,5,2465.0,64.2,2.1,100,,
1,1,0,warm,iter_strided,6,2459.6,55.4,2.9,100,,
1,1,0,warm,iter_strided,7,2462.9,55.8,3.3,100,,
1,1,0,warm,iter_strided,8,2462.5,56.7,2.5,100,,
1,1,0,warm,iter_strided,9,2467.1,60.4,3.3,100,,
1,1,0,warm,iter_strided,10,2461.2,52.9,2.1,100,,
1,1,0,warm,iter_strided,11,2455.8,54.6,3.3,100,,
1,1,0,warm,iter_strided,12,2463.8,60.4,1.2,100,,
1,1,0,warm,iter_strided,13,2455.8,57.1,2.1,100,,
1,1,0,warm,iter_strided,14,2460.4,59.2,2.9,100,,
1,1,0,warm,iter_strided,15,2462.5,57.1,4.6,100,,
1,1,0,warm,iter_strided,16,2458.3,50.4,3.7,100,,
1,1,0,warm,iter_strided,17,2461.2,64.6,1.7,100,,
1,1,0,warm,iter_strided,18,2467.5,60.4,0.8,100,,
1,1,0,warm,iter_strided,19,2457.9,57.9,2.9,100,,
1,1,0,cold,iter_seq,0,4950.4,731.7,1.7,100,,
1,1,0,cold,iter_seq,1,4952.5,728.7,0.8,100,,
1,1,0,cold,iter_seq,2,4947.1,734.6,4.6,100,,
1,1,0,cold,iter_seq,3,4963.7,730.0,0.8,100,,
1,1,0,cold,iter_seq,4,4966.2,738.8,2.1,100,,
1,1,0,cold,iter_seq,5,4832.1,717.9,3.3,100,,
1,1,0,cold,iter_seq,6,4616.2,684.6,1.2,100,,
1,1,0,cold,iter_seq,7,4617.9,683.3,1.7,100,,
1,1,0,cold,iter_seq,8,4603.7,682.1,4.6,100,,
1,1,0,cold,iter_seq,9,4597.5,680.8,3.7,100,,
1,1,0,cold,iter_seq,10,4601.7,676.2,1.2,100,,
1,1,0,cold,iter_seq,11,4608.3,679.6,2.9,100,,
1,1,0,cold,iter_seq,12,4614.6,682.9,0.8,100,,
1,1,0,cold,iter_seq,13,4603.7,680.8,1.7,100,,
1,1,0,cold,iter_seq,14,4618.3,687.5,0.8,100,,
1,1,0,cold,iter_seq,15,4697.1,682.9,3.7,100,,
1,1,0,cold,iter_seq,16,4602.5,680.8,2.9,100,,
1,1,0,cold,iter_seq,17,4602.5,681.7,3.7,100,,
1,1,0,cold,iter_seq,18,4606.7,683.3,2.9,100,,
1,1,0,cold,iter_seq,19,4603.7,681.2,2.5,100,,
1,1,0,cold,iter_gather,0,5584.2,1373.3,3.3,100,,
1,1,0,cold,iter_gather,1,5589.6,1376.2,1.2,100,,
1,1,0,cold,iter_gather,2,5330.4,1314.2,2.9,100,,
1,1,0,cold,iter_gather,3,4504.2,1109.6,1.2,100,,
1,1,0,cold,iter_gather,4,4498.3,1117.5,2.1,100,,
1,1,0,cold,iter_gather,5,4488.3,1105.4,3.3,100,,
1,1,0,cold,iter_gather,6,4492.9,1109.2,2.1,100,,
1,1,0,cold,iter_gather,7,4494.6,1105.4,1.2,100,,
1,1,0,cold,iter_gather,8,4500.4,1110.4,2.5,100,,
1,1,0,cold,iter_gather,9,4493.3,1110.8,2.1,100,,
1,1,0,cold,iter_gather,10,4489.2,1104.6,1.2,100,,
1,1,0,cold,iter_gather,11,5074.2,1243.8,2.9,100,,
1,1,0,cold,iter_gather,12,5192.9,1283.3,1.7,100,,
1,1,0,cold,iter_gather,13,5199.2,1281.7,0.8,100,,
1,1,0,cold,iter_gather,14,5196.2,1288.3,2.5,100,,
