run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,match_2_arms,0,3478.3,1366.7,1.7,100,,
1,1,0,warm,match_2_arms,1,3628.8,1400.8,2.5,100,,
1,1,0,warm,match_2_arms,2,3514.2,1359.6,2.9,100,,
1,1,0,warm,match_2_arms,3,3426.2,1354.2,0.8,100,,
1,1,0,warm,match_2_arms,4,3427.9,1350.4,0.8,100,,
1,1,0,warm,match_2_arms,5,3528.3,1422.1,2.5,100,,
1,1,0,warm,match_2_arms,6,3484.2,1377.9,3.7,100,,
1,1,0,warm,match_2_arms,7,3422.1,1344.6,2.5,100,,
1,1,0,warm,match_2_arms,8,3502.5,1349.2,2.5,100,,
1,1,0,warm,match_2_arms,9,3422.9,1356.7,2.1,100,,
1,1,0,warm,match_2_arms,10,3460.8,1345.8,1.7,100,,
1,1,0,warm,match_2_arms,11,3518.8,1377.9,2.5,100,,
1,1,0,warm,match_2_arms,12,3475.8,1352.9,2.1,100,,
1,1,0,warm,match_2_arms,13,3452.9,1372.5,1.2,100,,
1,1,0,warm,match_2_arms,14,3452.9,1358.3,3.3,100,,
1,1,0,warm,match_2_arms,15,3480.4,1360.4,2.9,100,,
1,1,0,warm,match_2_arms,16,3495.8,1408.3,2.1,100,,
1,1,0,warm,match_2_arms,17,3470.0,1384.2,3.3,100,,
1,1,0,warm,match_2_arms,18,3476.2,1392.9,2.5,100,,
1,1,0,warm,match_2_arms,19,3425.8,1350.0,2.1,100,,
1,1,0,warm,match_64_arms,0,16226.2,14011.7,3.3,100,,
1,1,0,warm,match_64_arms,1,16405.0,14178.3,2.9,100,,
1,1,0,warm,match_64_arms,2,16334.6,14107.5,3.3,100,,
1,1,0,warm,match_64_arms,3,15813.3,13660.8,0.8,100,,
1,1,0,warm,match_64_arms,4,15269.2,13175.4,0.8,100,,
1,1,0,warm,match_64_arms,5,15465.8,13358.3,2.9,100,,
1,1,0,warm,match_64_arms,6,15943.3,13753.7,1.2,100,,
1,1,0,warm,match_64_arms,7,15821.7,13662.5,2.1,100,,
1,1,0,warm,match_64_arms,8,15243.3,13132.5,2.9,100,,
1,1,0,warm,match_64_arms,9,15021.2,12947.5,1.7,100,,
1,1,0,warm,match_64_arms,10,15025.0,12941.7,2.9,100,,
1,1,0,warm,match_64_arms,11,15075.8,13004.6,1.7,100,,
1,1,0,warm,match_64_arms,12,15041.7,12955.0,0.8,100,,
1,1,0,warm,match_64_arms,13,14968.3,12905.4,0.8,100,,
1,1,0,warm,match_64_arms,14,15010.0,12928.3,1.2,100,,
1,1,0,warm,match_64_arms,15,15000.8,12918.8,2.5,100,,
1,1,0,warm,match_64_arms,16,14993.3,12914.2,2.9,100,,
1,1,0,warm,match_64_arms,17,14934.6,12860.8,2.5,100,,
1,1,0,warm,match_64_arms,18,14943.3,12861.2,1.7,100,,
1,1,0,warm,match_64_arms,19,14963.7,12878.7,0.4,100,,
1,1,0,warm,match_8_arms,0,4800.8,2696.7,2.9,100,,
1,1,0,warm,match_8_arms,1,4976.7,2692.5,2.9,100,,
1,1,0,warm,match_8_arms,2,4696.7,2519.6,1.7,100,,
1,1,0,warm,match_8_arms,3,4596.2,2526.7,2.5,100,,
1,1,0,warm,match_8_arms,4,4601.7,2525.0,0.4,100,,
1,1,0,warm,match_8_arms,5,4597.1,2526.7,1.7,100,,
1,1,0,warm,match_8_arms,6,4663.3,2525.0,2.9,100,,
1,1,0,warm,match_8_arms,7,4595.8,2520.8,2.9,100,,
1,1,0,warm,match_8_arms,8,4594.6,2523.8,1.7,100,,
1,1,0,warm,match_8_arms,9,4600.0,2532.5,1.2,100,,
1,1,0,warm,match_8_arms,10,4590.8,2521.2,1.7,100,,
1,1,0,warm,match_8_arms,11,4596.7,2528.7,1.2,100,,
1,1,0,warm,match_8_arms,12,4648.7,2522.1,1.2,100,,
1,1,0,warm,match_8_arms,13,4594.6,2536.7,2.9,100,,
1,1,0,warm,match_8_arms,14,4600.8,2526.2,2.5,100,,
1,1,0,warm,match_8_arms,15,4607.1,2528.3,2.1,100,,
1,1,0,warm,match_8_arms,16,4599.6,2526.2,2.1,100,,
1,1,0,warm,match_8_arms,17,4607.5,2527.9,1.2,100,,
1,1,0,warm,match_8_arms,18,4641.2,2542.9,1.7,100,,
1,1,0,warm,match_8_arms,19,4697.9,2572.9,2.1,100,,
1,1,0,cold,match_2_arms,0,8692.5,1387.9,2.1,100,,
1,1,0,cold,match_2_arms,1,8698.3,1399.6,3.3,100,,
1,1,0,cold,match_2_arms,2,8922.9,1419.2,2.1,100,,
1,1,0,cold,match_2_arms,3,8649.2,1362.5,0.8,100,,
1,1,0,cold,match_2_arms,4,8451.2,1355.4,1.7,100,,
1,1,0,cold,match_2_arms,5,8472.9,1361.2,1.2,100,,
1,1,0,cold,match_2_arms,6,8374.6,1355.4,3.3,100,,
1,1,0,cold,match_2_arms,7,8437.9,1343.3,2.1,100,,
1,1,0,cold,match_2_arms,8,8379.6,1348.7,0.4,100,,
1,1,0,cold,match_2_arms,9,8435.8,1355.4,0.8,100,,
1,1,0,cold,match_2_arms,10,8446.2,1347.1,2.5,100,,
1,1,0,cold,match_2_arms,11,8422.9,1368.8,0.0,100,,
1,1,0,cold,match_2_arms,12,8429.6,1345.0,1.7,100,,
1,1,0,cold,match_2_arms,13,8432.1,1357.1,2.1,100,,
1,1,0,cold,match_2_arms,14,8432.1,1347.1,2.5,100,,
1,1,0,cold,match_2_arms,15,8376.7,1353.8,1.7,100,,
1,1,0,cold,match_2_arms,16,8370.8,1350.4,2.1,100,,
1,1,0,cold,match_2_arms,17,8436.2,1355.0,1.7,100,,
1,1,0,cold,match_2_arms,18,8413.8,1354.6,1.7,100,,
1,1,0,cold,match_2_arms,19,8695.0,1382.1,2.5,100,,
1,1,0,cold,match_64_arms,0,24399.6,16804.6,2.5,100,,
1,1,0,cold,match_64_arms,1,24359.2,16800.4,3.3,100,,
1,1,0,cold,match_64_arms,2,24365.8,16816.2,1.2,100,,
1,1,0,cold,match_64_arms,3,23089.6,15937.1,2.9,100,,
1,1,0,cold,match_64_arms,4,22708.8,15667.5,2.5,100,,
1,1,0,cold,match_64_arms,5,22721.2,15674.6,0.8,100,,
1,1,0,cold,match_64_arms,6,22966.7,15849.6,3.7,100,,
1,1,0,cold,match_64_arms,7,23483.3,16202.9,1.2,100,,
1,1,0,cold,match_64_arms,8,22880.0,15722.5,1.7,100,,
1,1,0,cold,match_64_arms,9,22688.7,15665.0,1.7,100,,
1,1,0,cold,match_64_arms,10,22700.8,15670.8,0.8,100,,
1,1,0,cold,match_64_arms,11,22691.2,15675.4,0.8,100,,
1,1,0,cold,match_64_arms,12,22745.0,15673.8,2.9,100,,
1,1,0,cold,match_64_arms,13,22875.4,15802.1,2.9,100,,
1,1,0,cold,match_64_arms,14,23777.5,16412.1,0.8,100,,
1,1,0,cold,match_64_arms,15,23013.3,15807.1,1.7,100,,
1,1,0,cold,match_64_arms,16,24167.5,16549.6,4.6,100,,
1,1,0,cold,match_64_arms,17,23096.2,15970.8,2.1,100,,
1,1,0,cold,match_64_arms,18,22782.1,15737.5,1.7,100,,
1,1,0,cold,match_64_arms,19,23300.0,16131.2,3.7,100,,
1,1,0,cold,match_8_arms,0,18826.7,11625.0,2.9,100,,
1,1,0,cold,match_8_arms,1,18465.0,11378.3,2.5,100,,
1,1,0,cold,match_8_arms,2,18872.5,11718.8,1.7,100,,
1,1,0,cold,match_8_arms,3,19142.5,11844.2,3.3,100,,
1,1,0,cold,match_8_arms,4,18763.8,11588.8,0.8,100,,
1,1,0,cold,match_8_arms,5,18719.6,11549.6,1.2,100,,
1,1,0,cold,match_8_arms,6,18945.0,11768.3,1.7,100,,
1,1,0,cold,match_8_arms,7,18790.0,11644.2,0.8,100,,
1,1,0,cold,match_8_arms,8,20281.2,12759.6,5.4,100,,
1,1,0,cold,match_8_arms,9,19162.1,11815.8,2.1,100,,
1,1,0,cold,match_8_arms,10,18440.0,11388.3,2.5,100,,
1,1,0,cold,match_8_arms,11,19337.1,12021.2,3.3,100,,
1,1,0,cold,match_8_arms,12,19267.1,11877.9,1.2,100,,
1,1,0,cold,match_8_arms,13,18839.6,11721.2,2.1,100,,
1,1,0,cold,match_8_arms,14,18776.7,11555.0,3.7,100,,
1,1,0,cold,match_8_arms,15,18387.1,11345.0,2.5,100,,
1,1,0,cold,match_8_arms,16,19277.9,11930.4,5.0,100,,
1,1,0,cold,match_8_arms,17,19102.1,11967.5,0.8,100,,
1,1,0,cold,match_8_arms,18,18375.0,11344.6,0.8,100,,
1,1,0,cold,match_8_arms,19,18378.3,11349.2,0.8,100,,
1,2,0,warm,match_2_arms,0,3428.3,1343.8,2.9,100,,
1,2,0,warm,match_2_arms,1,3429.6,1350.4,2.9,100,,
1,2,0,warm,match_2_arms,2,3428.3,1343.8,2.9,100,,
1,2,0,warm,match_2_arms,3,3428.3,1355.0,1.7,100,,
1,2,0,warm,match_2_arms,4,3426.7,1352.5,3.3,100,,
1,2,0,warm,match_2_arms,5,3506.7,1432.9,1.7,100,,
1,2,0,warm,match_2_arms,6,3432.5,1352.9,0.8,100,,
1,2,0,warm,match_2_arms,7,3429.2,1342.5,2.9,100,,
1,2,0,warm,match_2_arms,8,3502.9,1375.0,1.2,100,,
1,2,0,warm,match_2_arms,9,3430.8,1355.0,1.7,100,,
1,2,0,warm,match_2_arms,10,3421.2,1345.4,2.9,100,,
1,2,0,warm,match_2_arms,11,3427.1,1356.2,2.5,100,,
1,2,0,warm,match_2_arms,12,3425.8,1350.0,0.4,100,,
1,2,0,warm,match_2_arms,13,3422.1,1361.7,2.1,100,,
1,2,0,warm,match_2_arms,14,3428.8,1345.4,2.1,100,,
1,2,0,warm,match_2_arms,15,3431.7,1358.3,3.3,100,,
1,2,0,warm,match_2_arms,16,3425.0,1348.7,2.5,100,,
1,2,0,warm,match_2_arms,17,3435.4,1352.5,2.1,100,,
1,2,0,warm,match_2_arms,18,3457.5,1372.5,1.7,100,,
1,2,0,warm,match_2_arms,19,3433.3,1351.2,0.8,100,,
1,2,0,warm,match_8_arms,0,4588.8,2498.3,0.8,100,,
1,2,0,warm,match_8_arms,1,5095.4,2735.4,2.5,100,,
1,2,0,warm,match_8_arms,2,5200.8,2802.1,2.5,100,,
1,2,0,warm,match_8_arms,3,5202.1,2812.5,4.2,100,,
1,2,0,warm,match_8_arms,4,5199.2,2802.9,4.2,100,,
1,2,0,warm,match_8_arms,5,5198.7,2810.0,4.2,100,,
1,2,0,warm,match_8_arms,6,5206.7,2804.6,3.3,100,,
1,2,0,warm,match_8_arms,7,5202.5,2793.7,5.8,100,,
1,2,0,warm,match_8_arms,8,5530.0,2986.2,2.9,100,,
1,2,0,warm,match_8_arms,9,4592.5,2482.5,2.9,100,,
1,2,0,warm,match_8_arms,10,4652.1,2507.1,2.5,100,,
1,2,0,warm,match_8_arms,11,4704.6,2545.8,3.7,100,,
1,2,0,warm,match_8_arms,12,4695.4,2536.7,1.2,100,,
1,2,0,warm,match_8_arms,13,4719.2,2552.5,1.2,100,,
1,2,0,warm,match_8_arms,14,4660.8,2512.1,1.2,100,,
1,2,0,warm,match_8_arms,15,4665.8,2518.3,1.2,100,,
1,2,0,warm,match_8_arms,16,4658.8,2510.8,1.2,100,,
1,2,0,warm,match_8_arms,17,4534.6,2445.4,2.9,100,,
1,2,0,warm,match_8_arms,18,4520.8,2429.2,1.2,100,,
1,2,0,warm,match_8_arms,19,4522.9,2433.7,2.9,100,,
1,2,0,warm,match_64_arms,0,12045.0,9937.9,0.4,100,,
1,2,0,warm,match_64_arms,1,12011.7,9915.8,2.1,100,,
1,2,0,warm,match_64_arms,2,12071.2,9986.2,2.9,100,,
1,2,0,warm,match_64_arms,3,11842.1,9767.9,2.9,100,,
1,2,0,warm,match_64_arms,4,11835.4,9758.3,2.5,100,,
1,2,0,warm,match_64_arms,5,11833.3,9766.2,0.4,100,,
1,2,0,warm,match_64_arms,6,12009.2,9898.3,2.9,100,,
1,2,0,warm,match_64_arms,7,12250.8,10098.8,2.1,100,,
1,2,0,warm,match_64_arms,8,12169.2,10024.2,2.9,100,,
1,2,0,warm,match_64_arms,9,11848.3,9779.2,1.2,100,,
1,2,0,warm,match_64_arms,10,12044.6,9925.4,2.1,100,,
1,2,0,warm,match_64_arms,11,12102.9,9962.9,3.3,100,,
1,2,0,warm,match_64_arms,12,11850.4,9728.3,0.8,100,,
1,2,0,warm,match_64_arms,13,11602.5,9503.8,2.1,100,,
1,2,0,warm,match_64_arms,14,11569.6,9448.8,2.9,100,,
1,2,0,warm,match_64_arms,15,11370.8,9244.2,0.8,100,,
1,2,0,warm,match_64_arms,16,11099.2,9007.5,1.7,100,,
1,2,0,warm,match_64_arms,17,10986.7,8907.1,1.7,100,,
1,2,0,warm,match_64_arms,18,11112.1,8983.8,2.1,100,,
1,2,0,warm,match_64_arms,19,11052.9,8929.6,3.3,100,,
1,2,0,cold,match_2_arms,0,8835.0,1415.0,3.7,100,,
1,2,0,cold,match_2_arms,1,8796.7,1415.8,2.5,100,,
1,2,0,cold,match_2_arms,2,8653.8,1380.8,3.3,100,,
1,2,0,cold,match_2_arms,3,8600.0,1370.0,1.7,100,,
1,2,0,cold,match_2_arms,4,8507.1,1364.6,2.9,100,,
1,2,0,cold,match_2_arms,5,8371.7,1354.6,2.5,100,,
1,2,0,cold,match_2_arms,6,8379.2,1351.2,1.2,100,,
1,2,0,cold,match_2_arms,7,8373.8,1345.0,1.7,100,,
1,2,0,cold,match_2_arms,8,8376.7,1348.3,1.2,100,,
1,2,0,cold,match_2_arms,9,9134.2,1467.1,0.8,100,,
1,2,0,cold,match_2_arms,10,8711.2,1391.2,2.9,100,,
1,2,0,cold,match_2_arms,11,8738.3,1413.8,1.2,100,,
1,2,0,cold,match_2_arms,12,8675.0,1398.3,0.8,100,,
1,2,0,cold,match_2_arms,13,8591.7,1395.4,2.1,100,,
1,2,0,cold,match_2_arms,14,8569.6,1404.6,2.9,100,,
