run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,memcpy_naive,0,7682.5,5492.5,4.2,100,,
1,1,0,warm,memcpy_naive,1,7640.0,5465.4,5.4,100,,
1,1,0,warm,memcpy_naive,2,7632.5,5459.6,4.6,100,,
1,1,0,warm,memcpy_naive,3,7527.5,5385.0,0.4,100,,
1,1,0,warm,memcpy_naive,4,7515.0,5381.7,2.9,100,,
1,1,0,warm,memcpy_naive,5,7549.6,5409.6,4.2,100,,
1,1,0,warm,memcpy_naive,6,7515.8,5377.1,3.7,100,,
1,1,0,warm,memcpy_naive,7,7547.5,5397.1,3.3,100,,
1,1,0,warm,memcpy_naive,8,7512.1,5375.0,2.9,100,,
1,1,0,warm,memcpy_naive,9,7527.9,5388.3,2.1,100,,
1,1,0,warm,memcpy_naive,10,7513.8,5377.5,2.9,100,,
1,1,0,warm,memcpy_naive,11,7567.1,5415.4,3.3,100,,
1,1,0,warm,memcpy_naive,12,7920.0,5748.8,2.9,100,,
1,1,0,warm,memcpy_naive,13,7586.2,5423.7,3.3,100,,
1,1,0,warm,memcpy_naive,14,7545.8,5396.7,2.1,100,,
1,1,0,warm,memcpy_naive,15,7573.3,5412.9,4.2,100,,
1,1,0,warm,memcpy_naive,16,7509.2,5360.8,1.7,100,,
1,1,0,warm,memcpy_naive,17,7502.9,5368.7,2.9,100,,
1,1,0,warm,memcpy_naive,18,7497.9,5358.3,3.3,100,,
1,1,0,warm,memcpy_naive,19,7495.0,5365.0,3.7,100,,
1,1,0,warm,memcpy_unrolled,0,7497.9,5360.8,2.9,100,,
1,1,0,warm,memcpy_unrolled,1,7641.2,5465.0,2.1,100,,
1,1,0,warm,memcpy_unrolled,2,7722.5,5520.4,2.1,100,,
1,1,0,warm,memcpy_unrolled,3,7748.7,5530.8,1.2,100,,
1,1,0,warm,memcpy_unrolled,4,7682.1,5500.0,3.7,100,,
1,1,0,warm,memcpy_unrolled,5,7685.8,5500.0,10.0,100,,
1,1,0,warm,memcpy_unrolled,6,7535.8,5388.8,2.5,100,,
1,1,0,warm,memcpy_unrolled,7,7488.7,5357.1,5.0,100,,
1,1,0,warm,memcpy_unrolled,8,7523.7,5377.5,5.4,100,,
1,1,0,warm,memcpy_unrolled,9,7611.2,5448.3,2.9,100,,
1,1,0,warm,memcpy_unrolled,10,7535.0,5395.4,2.9,100,,
1,1,0,warm,memcpy_unrolled,11,7499.6,5373.3,2.5,100,,
1,1,0,warm,memcpy_unrolled,12,7491.7,5360.8,3.3,100,,
1,1,0,warm,memcpy_unrolled,13,7512.1,5375.0,4.6,100,,
1,1,0,warm,memcpy_unrolled,14,7863.7,5626.2,2.1,100,,
1,1,0,warm,memcpy_unrolled,15,7609.2,5447.1,2.5,100,,
1,1,0,warm,memcpy_unrolled,16,7540.8,5383.3,3.3,100,,
1,1,0,warm,memcpy_unrolled,17,7502.9,5370.0,3.3,100,,
1,1,0,warm,memcpy_unrolled,18,7523.3,5385.0,3.7,100,,
1,1,0,warm,memcpy_unrolled,19,7499.2,5365.4,4.2,100,,
1,1,0,warm,memcpy_intrinsic,0,7500.4,5368.3,3.3,100,,
1,1,0,warm,memcpy_intrinsic,1,7510.4,5370.0,2.9,100,,
1,1,0,warm,memcpy_intrinsic,2,7524.2,5385.4,1.2,100,,
1,1,0,warm,memcpy_intrinsic,3,7517.5,5376.2,2.9,100,,
1,1,0,warm,memcpy_intrinsic,4,7816.7,5632.1,3.3,100,,
1,1,0,warm,memcpy_intrinsic,5,7588.7,5428.7,2.5,100,,
1,1,0,warm,memcpy_intrinsic,6,7527.1,5388.3,1.7,100,,
1,1,0,warm,memcpy_intrinsic,7,7592.1,5427.9,2.5,100,,
1,1,0,warm,memcpy_intrinsic,8,7505.0,5372.1,3.3,100,,
1,1,0,warm,memcpy_intrinsic,9,7502.9,5370.8,5.0,100,,
1,1,0,warm,memcpy_intrinsic,10,7860.8,5639.6,3.3,100,,
1,1,0,warm,memcpy_intrinsic,11,7654.6,5484.6,3.7,100,,
1,1,0,warm,memcpy_intrinsic,12,7560.8,5389.2,2.9,100,,
1,1,0,warm,memcpy_intrinsic,13,7493.3,5360.0,2.9,100,,
1,1,0,warm,memcpy_intrinsic,14,7488.3,5360.0,3.3,100,,
1,1,0,warm,memcpy_intrinsic,15,7501.7,5362.5,1.2,100,,
1,1,0,warm,memcpy_intrinsic,16,7614.2,5437.9,2.1,100,,
1,1,0,warm,memcpy_intrinsic,17,7578.3,5413.3,3.3,100,,
1,1,0,warm,memcpy_intrinsic,18,7508.8,5365.0,2.1,100,,
1,1,0,warm,memcpy_intrinsic,19,7504.6,5367.1,3.3,100,,
1,1,0,cold,memcpy_naive,0,8989.2,5430.8,2.5,100,,
1,1,0,cold,memcpy_naive,1,8924.6,5420.8,3.3,100,,
1,1,0,cold,memcpy_naive,2,8818.3,5365.0,3.3,100,,
1,1,0,cold,memcpy_naive,3,8822.5,5357.1,4.6,100,,
1,1,0,cold,memcpy_naive,4,8891.2,5420.8,5.0,100,,
1,1,0,cold,memcpy_naive,5,9037.5,5505.8,3.3,100,,
1,1,0,cold,memcpy_naive,6,9097.1,5532.5,2.1,100,,
1,1,0,cold,memcpy_naive,7,9036.2,5491.2,2.1,100,,
1,1,0,cold,memcpy_naive,8,9090.0,5543.8,3.3,100,,
1,1,0,cold,memcpy_naive,9,8980.4,5460.8,3.3,100,,
1,1,0,cold,memcpy_naive,10,8838.8,5380.4,2.5,100,,
1,1,0,cold,memcpy_naive,11,8946.7,5447.1,4.2,100,,
1,1,0,cold,memcpy_naive,12,9003.8,5467.5,3.7,100,,
1,1,0,cold,memcpy_naive,13,9039.2,5484.2,3.3,100,,
1,1,0,cold,memcpy_naive,14,8976.7,5450.8,3.3,100,,
1,1,0,cold,memcpy_naive,15,8845.8,5375.4,1.7,100,,
1,1,0,cold,memcpy_naive,16,8880.8,5372.5,2.9,100,,
1,1,0,cold,memcpy_naive,17,8867.1,5388.3,2.5,100,,
1,1,0,cold,memcpy_naive,18,8822.5,5358.8,2.9,100,,
1,1,0,cold,memcpy_naive,19,9172.5,5622.5,4.6,100,,
1,1,0,cold,memcpy_unrolled,0,8976.7,5436.7,3.3,100,,
1,1,0,cold,memcpy_unrolled,1,9062.1,5492.5,3.3,100,,
1,1,0,cold,memcpy_unrolled,2,8865.0,5382.1,2.9,100,,
1,1,0,cold,memcpy_unrolled,3,8815.0,5354.2,5.4,100,,
1,1,0,cold,memcpy_unrolled,4,8853.3,5375.8,3.3,100,,
1,1,0,cold,memcpy_unrolled,5,8879.2,5394.6,4.6,100,,
1,1,0,cold,memcpy_unrolled,6,8823.8,5357.9,3.7,100,,
1,1,0,cold,memcpy_unrolled,7,8814.6,5356.7,2.9,100,,
1,1,0,cold,memcpy_unrolled,8,8834.2,5374.6,1.7,100,,
1,1,0,cold,memcpy_unrolled,9,8819.2,5362.9,3.3,100,,
1,1,0,cold,memcpy_unrolled,10,9081.2,5521.7,5.0,100,,
1,1,0,cold,memcpy_unrolled,11,8848.8,5375.8,3.7,100,,
1,1,0,cold,memcpy_unrolled,12,8829.2,5364.2,4.2,100,,
1,1,0,cold,memcpy_unrolled,13,8829.6,5367.9,3.7,100,,
1,1,0,cold,memcpy_unrolled,14,8825.4,5367.9,1.7,100,,
1,1,0,cold,memcpy_unrolled,15,8815.8,5354.2,2.5,100,,
1,1,0,cold,memcpy_unrolled,16,8831.7,5350.0,2.9,100,,
