run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,minmax_intrinsic,0,2230.4,104.6,1.2,100,,
1,1,0,warm,minmax_intrinsic,1,2247.5,111.2,2.9,100,,
1,1,0,warm,minmax_intrinsic,2,2233.3,107.1,1.2,100,,
1,1,0,warm,minmax_intrinsic,3,2172.5,109.2,2.1,100,,
1,1,0,warm,minmax_intrinsic,4,2175.8,113.3,0.4,100,,
1,1,0,warm,minmax_intrinsic,5,2170.8,111.2,2.9,100,,
1,1,0,warm,minmax_intrinsic,6,2177.1,107.5,0.8,100,,
1,1,0,warm,minmax_intrinsic,7,2253.8,117.1,2.1,100,,
1,1,0,warm,minmax_intrinsic,8,2247.9,109.6,1.7,100,,
1,1,0,warm,minmax_intrinsic,9,2210.0,106.7,0.8,100,,
1,1,0,warm,minmax_intrinsic,10,2174.6,117.1,1.7,100,,
1,1,0,warm,minmax_intrinsic,11,2242.1,111.7,2.5,100,,
1,1,0,warm,minmax_intrinsic,12,2294.6,112.9,1.7,100,,
1,1,0,warm,minmax_intrinsic,13,2251.7,119.6,1.2,100,,
1,1,0,warm,minmax_intrinsic,14,2249.2,118.8,2.5,100,,
1,1,0,warm,minmax_intrinsic,15,2387.1,114.6,2.1,100,,
1,1,0,warm,minmax_intrinsic,16,2214.2,108.3,1.7,100,,
1,1,0,warm,minmax_intrinsic,17,2221.7,111.7,2.5,100,,
1,1,0,warm,minmax_intrinsic,18,2327.5,114.6,1.7,100,,
1,1,0,warm,minmax_intrinsic,19,2270.8,116.7,0.4,100,,
1,1,0,warm,minmax_branch,0,2522.9,120.4,0.8,100,,
1,1,0,warm,minmax_branch,1,2513.8,125.0,2.5,100,,
1,1,0,warm,minmax_branch,2,2512.5,121.7,1.7,100,,
1,1,0,warm,minmax_branch,3,2514.2,127.1,2.5,100,,
1,1,0,warm,minmax_branch,4,2591.7,132.9,2.5,100,,
1,1,0,warm,minmax_branch,5,2511.2,125.8,1.7,100,,
1,1,0,warm,minmax_branch,6,2517.9,127.1,0.4,100,,
1,1,0,warm,minmax_branch,7,2515.0,132.9,0.0,100,,
1,1,0,warm,minmax_branch,8,2532.9,121.7,0.8,100,,
1,1,0,warm,minmax_branch,9,2512.5,122.5,0.8,100,,
1,1,0,warm,minmax_branch,10,2514.2,132.9,2.9,100,,
1,1,0,warm,minmax_branch,11,2513.3,126.7,1.7,100,,
1,1,0,warm,minmax_branch,12,2514.2,126.7,1.7,100,,
1,1,0,warm,minmax_branch,13,2517.5,132.1,0.8,100,,
1,1,0,warm,minmax_branch,14,2516.2,129.6,1.2,100,,
1,1,0,warm,minmax_branch,15,2519.2,125.8,2.1,100,,
1,1,0,warm,minmax_branch,16,2516.2,125.0,1.2,100,,
1,1,0,warm,minmax_branch,17,2445.4,121.2,1.7,100,,
1,1,0,warm,minmax_branch,18,2334.6,113.3,2.9,100,,
1,1,0,warm,minmax_branch,19,2334.6,118.8,2.9,100,,
1,1,0,warm,minmax_branchless,0,2714.6,125.4,3.3,100,,
1,1,0,warm,minmax_branchless,1,2675.8,132.9,1.7,100,,
1,1,0,warm,minmax_branchless,2,2677.9,127.1,2.5,100,,
1,1,0,warm,minmax_branchless,3,2679.2,139.6,0.8,100,,
1,1,0,warm,minmax_branchless,4,2686.2,142.5,1.7,100,,
1,1,0,warm,minmax_branchless,5,2684.6,136.2,2.1,100,,
1,1,0,warm,minmax_branchless,6,2688.8,135.8,2.9,100,,
1,1,0,warm,minmax_branchless,7,2682.5,141.7,2.9,100,,
1,1,0,warm,minmax_branchless,8,2633.3,127.1,3.3,100,,
1,1,0,warm,minmax_branchless,9,2507.9,118.8,1.2,100,,
1,1,0,warm,minmax_branchless,10,2509.6,140.4,1.2,100,,
1,1,0,warm,minmax_branchless,11,2513.3,127.1,1.2,100,,
1,1,0,warm,minmax_branchless,12,2507.9,125.8,2.5,100,,
1,1,0,warm,minmax_branchless,13,2512.1,135.4,0.8,100,,
1,1,0,warm,minmax_branchless,14,2510.0,130.0,2.5,100,,
1,1,0,warm,minmax_branchless,15,2510.0,125.8,2.9,100,,
