run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,mod_pow2_const,0,8763.8,6586.2,2.9,100,,
1,1,0,warm,mod_pow2_const,1,8782.9,6602.9,1.7,100,,
1,1,0,warm,mod_pow2_const,2,9506.7,7075.8,7.9,100,,
1,1,0,warm,mod_pow2_const,3,8776.2,6601.7,3.3,100,,
1,1,0,warm,mod_pow2_const,4,8847.1,6659.2,1.2,100,,
1,1,0,warm,mod_pow2_const,5,8755.0,6591.2,1.2,100,,
1,1,0,warm,mod_pow2_const,6,8690.8,6547.9,2.1,100,,
1,1,0,warm,mod_pow2_const,7,8794.6,6609.2,2.5,100,,
1,1,0,warm,mod_pow2_const,8,9313.3,6997.9,10.0,100,,
1,1,0,warm,mod_pow2_const,9,8776.7,6600.0,2.1,100,,
1,1,0,warm,mod_pow2_const,10,8440.8,6351.2,1.2,100,,
1,1,0,warm,mod_pow2_const,11,8466.7,6368.3,0.8,100,,
1,1,0,warm,mod_pow2_const,12,8453.3,6359.2,2.9,100,,
1,1,0,warm,mod_pow2_const,13,8854.6,6695.4,5.0,100,,
1,1,0,warm,mod_pow2_const,14,8642.5,6501.7,2.5,100,,
1,1,0,warm,mod_pow2_const,15,8472.1,6367.5,2.9,100,,
1,1,0,warm,mod_pow2_const,16,8554.6,6443.3,2.5,100,,
1,1,0,warm,mod_pow2_const,17,8786.2,6605.4,1.2,100,,
1,1,0,warm,mod_pow2_const,18,9141.7,6909.6,3.7,100,,
1,1,0,warm,mod_pow2_const,19,9102.9,6769.2,6.7,100,,
1,1,0,warm,mod_var,0,20299.6,18147.1,2.1,100,,
1,1,0,warm,mod_var,1,20715.8,18513.3,1.7,100,,
1,1,0,warm,mod_var,2,21150.0,18890.4,4.2,100,,
1,1,0,warm,mod_var,3,20038.3,17911.2,2.1,100,,
1,1,0,warm,mod_var,4,20343.8,18188.3,0.8,100,,
1,1,0,warm,mod_var,5,20065.0,17936.7,1.2,100,,
1,1,0,warm,mod_var,6,19936.7,17831.2,0.4,100,,
