run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,rcm_scr,0,2316737.5,2309279.2,45383433.3,10,,
1,1,0,warm,rcm_scr,1,2426933.3,2420166.7,46448704.2,10,,
1,1,0,warm,rcm_scr,2,2306366.7,2299179.2,45670900.0,10,,
1,1,0,warm,rcm_half,0,2231225.0,2223304.2,45929250.0,10,,
1,1,0,warm,rcm_half,1,2226383.3,2217425.0,45611408.3,10,,
1,1,0,warm,rcm_half,2,2385383.3,2378504.2,45793945.8,10,,
1,1,0,warm,rcm_adj,0,2259416.7,2252466.7,45967091.7,10,,
1,1,0,warm,rcm_adj,1,2152995.8,2145120.8,45293766.7,10,,
1,1,0,warm,rcm_adj,2,2670066.7,2663841.7,50889066.7,10,,
1,1,0,warm,rcm_rev,0,2277529.2,2270454.2,47841262.5,10,,
1,1,0,warm,rcm_rev,1,2266712.5,2260512.5,47727520.8,10,,
1,1,0,warm,rcm_rev,2,2159787.5,2153933.3,47849316.7,10,,
1,1,0,cold,rcm_scr,0,3651750.0,3641550.0,51104175.0,10,,
1,1,0,cold,rcm_scr,1,2747645.8,2739783.3,46686245.8,10,,
1,1,0,cold,rcm_scr,2,2307058.3,2299975.0,46235070.8,10,,
1,1,0,cold,rcm_half,0,2284954.2,2275675.0,45999720.8,10,,
1,1,0,cold,rcm_half,1,1948879.2,1940804.2,45735100.0,10,,
1,1,0,cold,rcm_half,2,2117983.3,2110025.0,45613029.2,10,,
1,1,0,cold,rcm_adj,0,2263458.3,2252108.3,45800933.3,10,,
1,1,0,cold,rcm_adj,1,2232745.8,2223308.3,46251341.7,10,,
1,1,0,cold,rcm_adj,2,2837854.2,2830645.8,64524029.2,10,,
1,1,0,cold,rcm_rev,0,2807162.5,2798275.0,49169479.2,10,,
1,1,0,cold,rcm_rev,1,2050041.7,2043008.3,46872004.2,10,,
1,1,0,cold,rcm_rev,2,2317750.0,2309200.0,46538629.2,10,,
1,2,0,warm,rcm_scr,0,2499487.5,2492600.0,46006887.5,10,,
1,2,0,warm,rcm_scr,1,2784575.0,2777225.0,46646575.0,10,,
1,2,0,warm,rcm_scr,2,2345200.0,2338695.8,45726512.5,10,,
1,2,0,warm,rcm_half,0,2459650.0,2451320.8,45861329.2,10,,
1,2,0,warm,rcm_half,1,2364095.8,2356870.8,46055887.5,10,,
1,2,0,warm,rcm_half,2,2293258.3,2287416.7,46305516.7,10,,
1,2,0,warm,rcm_rev,0,2153666.7,2146829.2,46262108.3,10,,
1,2,0,warm,rcm_rev,1,2047091.7,2040454.2,45985587.5,10,,
1,2,0,warm,rcm_rev,2,2134345.8,2128425.0,46185850.0,10,,
1,2,0,warm,rcm_adj,0,2095729.2,2089133.3,46215516.7,10,,
1,2,0,warm,rcm_adj,1,2074179.2,2066308.3,45565075.0,10,,
1,2,0,warm,rcm_adj,2,2957429.2,2951083.3,52399950.0,10,,
1,2,0,cold,rcm_scr,0,2195554.2,2186954.2,46211979.2,10,,
1,2,0,cold,rcm_scr,1,2446150.0,2434929.2,46045804.2,10,,
1,2,0,cold,rcm_scr,2,2102762.5,2094329.2,45829958.3,10,,
1,2,0,cold,rcm_half,0,2173262.5,2163662.5,45837495.8,10,,
1,2,0,cold,rcm_half,1,2605041.7,2596525.0,49513545.8,10,,
1,2,0,cold,rcm_half,2,2256625.0,2249487.5,45937095.8,10,,
1,2,0,cold,rcm_rev,0,2092262.5,2083779.2,45815745.8,10,,
1,2,0,cold,rcm_rev,1,2263475.0,2254216.7,45943637.5,10,,
1,2,0,cold,rcm_rev,2,2063254.2,2056904.2,45597883.3,10,,
1,2,0,cold,rcm_adj,0,2193829.2,2183916.7,46065083.3,10,,
1,2,0,cold,rcm_adj,1,2486691.7,2477129.2,47089979.2,10,,
1,2,0,cold,rcm_adj,2,2288862.5,2280912.5,46165404.2,10,,
1,3,0,warm,rcm_scr,0,2225979.2,2219316.7,45692470.8,10,,
1,3,0,warm,rcm_scr,1,2674562.5,2668758.3,45838966.7,10,,
1,3,0,warm,rcm_scr,2,2352495.8,2346220.8,45752925.0,10,,
1,3,0,warm,rcm_rev,0,2127020.8,2119470.8,45930875.0,10,,
1,3,0,warm,rcm_rev,1,2230470.8,2221675.0,49861170.8,10,,
1,3,0,warm,rcm_rev,2,2262995.8,2256520.8,46804295.8,10,,
1,3,0,warm,rcm_half,0,2152762.5,2145608.3,46215225.0,10,,
1,3,0,warm,rcm_half,1,2357183.3,2350258.3,45792625.0,10,,
1,3,0,warm,rcm_half,2,1989937.5,1984108.3,46155245.8,10,,
1,3,0,warm,rcm_adj,0,2124229.2,2116725.0,45950904.2,10,,
1,3,0,warm,rcm_adj,1,2002079.2,1993862.5,45830033.3,10,,
1,3,0,warm,rcm_adj,2,2247429.2,2241183.3,46082250.0,10,,
1,3,0,cold,rcm_scr,0,2266308.3,2256187.5,45879304.2,10,,
1,3,0,cold,rcm_scr,1,2241383.3,2234291.7,46225537.5,10,,
1,3,0,cold,rcm_scr,2,2328337.5,2320825.0,45782187.5,10,,
1,3,0,cold,rcm_rev,0,2054145.8,2045237.5,45717716.7,10,,
1,3,0,cold,rcm_rev,1,2152604.2,2145187.5,46506662.5,10,,
1,3,0,cold,rcm_rev,2,2024237.5,2016104.2,45886270.8,10,,
1,3,0,cold,rcm_half,0,2305400.0,2296375.0,46116875.0,10,,
1,3,0,cold,rcm_half,1,2115229.2,2106391.7,45907741.7,10,,
1,3,0,cold,rcm_half,2,2481766.7,2474908.3,45863858.3,10,,
