run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,riv_scr,0,934900.0,928362.5,16953833.3,10,,
1,1,0,warm,riv_scr,1,915554.2,910191.7,17301312.5,10,,
1,1,0,warm,riv_scr,2,949616.7,944395.8,17080991.7,10,,
1,1,0,warm,riv_rcm,0,934966.7,928491.7,17100150.0,10,,
1,1,0,warm,riv_rcm,1,822129.2,816220.8,16909708.3,10,,
1,1,0,warm,riv_rcm,2,922341.7,917341.7,17214325.0,10,,
1,1,0,warm,riv_snake,0,831879.2,824091.7,16971058.3,10,,
1,1,0,warm,riv_snake,1,842458.3,837029.2,17003325.0,10,,
1,1,0,warm,riv_snake,2,884095.8,878825.0,16977133.3,10,,
1,1,0,warm,riv_rowm,0,926154.2,920383.3,17237887.5,10,,
1,1,0,warm,riv_rowm,1,870729.2,864904.2,17087529.2,10,,
1,1,0,warm,riv_rowm,2,901462.5,896775.0,16796562.5,10,,
1,1,0,warm,riv_spec,0,920804.2,913775.0,17249158.3,10,,
1,1,0,warm,riv_spec,1,960958.3,955145.8,17321762.5,10,,
1,1,0,warm,riv_spec,2,897816.7,893695.8,17223670.8,10,,
1,1,0,cold,riv_scr,0,933862.5,927620.8,17085795.8,10,,
1,1,0,cold,riv_scr,1,915812.5,908595.8,17037479.2,10,,
1,1,0,cold,riv_scr,2,897383.3,891966.7,16841216.7,10,,
1,1,0,cold,riv_rcm,0,894254.2,889054.2,17281966.7,10,,
1,1,0,cold,riv_rcm,1,916179.2,910666.7,16878970.8,10,,
1,1,0,cold,riv_rcm,2,832854.2,827475.0,16882804.2,10,,
1,1,0,cold,riv_snake,0,868575.0,861829.2,16959129.2,10,,
1,1,0,cold,riv_snake,1,864175.0,859458.3,17109662.5,10,,
1,1,0,cold,riv_snake,2,848304.2,842916.7,17136625.0,10,,
1,1,0,cold,riv_rowm,0,890791.7,883466.7,16976662.5,10,,
1,1,0,cold,riv_rowm,1,927412.5,922312.5,17007933.3,10,,
1,1,0,cold,riv_rowm,2,841187.5,834945.8,16870900.0,10,,
1,1,0,cold,riv_spec,0,855741.7,850308.3,17176091.7,10,,
1,1,0,cold,riv_spec,1,843637.5,837016.7,16907520.8,10,,
1,1,0,cold,riv_spec,2,854004.2,847854.2,17000345.8,10,,
1,2,0,warm,riv_snake,0,849350.0,844133.3,17014654.2,10,,
1,2,0,warm,riv_snake,1,978320.8,973241.7,17315162.5,10,,
1,2,0,warm,riv_snake,2,842533.3,837783.3,16982029.2,10,,
1,2,0,warm,riv_rowm,0,839504.2,833325.0,16993137.5,10,,
1,2,0,warm,riv_rowm,1,970295.8,964354.2,16909975.0,10,,
1,2,0,warm,riv_rowm,2,941925.0,936037.5,17077058.3,10,,
1,2,0,warm,riv_rcm,0,850166.7,843479.2,16840295.8,10,,
1,2,0,warm,riv_rcm,1,863516.7,856487.5,16956237.5,10,,
1,2,0,warm,riv_rcm,2,844658.3,839062.5,16972791.7,10,,
1,2,0,warm,riv_scr,0,937366.7,931441.7,17015166.7,10,,
1,2,0,warm,riv_scr,1,1039658.3,1034595.8,17509275.0,10,,
1,2,0,warm,riv_scr,2,845337.5,840008.3,16949458.3,10,,
1,2,0,warm,riv_spec,0,902945.8,897683.3,16917566.7,10,,
1,2,0,warm,riv_spec,1,880116.7,875083.3,16878112.5,10,,
1,2,0,warm,riv_spec,2,897745.8,892750.0,17220491.7,10,,
1,2,0,cold,riv_snake,0,847750.0,841995.8,16779379.2,10,,
1,2,0,cold,riv_snake,1,865058.3,859095.8,16822904.2,10,,
1,2,0,cold,riv_snake,2,894908.3,889291.7,16953758.3,10,,
1,2,0,cold,riv_rowm,0,1004637.5,997812.5,17150600.0,10,,
1,2,0,cold,riv_rowm,1,908600.0,903145.8,17246579.2,10,,
1,2,0,cold,riv_rowm,2,867916.7,862208.3,16987591.7,10,,
1,2,0,cold,riv_rcm,0,867587.5,861479.2,16869066.7,10,,
1,2,0,cold,riv_rcm,1,825395.8,819883.3,16812995.8,10,,
1,2,0,cold,riv_rcm,2,1000333.3,995012.5,17336754.2,10,,
1,2,0,cold,riv_scr,0,837829.2,830862.5,16949558.3,10,,
1,2,0,cold,riv_scr,1,859216.7,851662.5,16872858.3,10,,
1,2,0,cold,riv_scr,2,836120.8,831300.0,16856916.7,10,,
1,2,0,cold,riv_spec,0,865804.2,860404.2,17136620.8,10,,
1,2,0,cold,riv_spec,1,946604.2,940216.7,17058216.7,10,,
1,2,0,cold,riv_spec,2,887058.3,882041.7,17316212.5,10,,
1,3,0,warm,riv_rowm,0,917320.8,911787.5,17008037.5,10,,
1,3,0,warm,riv_rowm,1,916504.2,911000.0,16935620.8,10,,
1,3,0,warm,riv_rowm,2,871816.7,866525.0,17196766.7,10,,
1,3,0,warm,riv_spec,0,847679.2,842512.5,16788683.3,10,,
1,3,0,warm,riv_spec,1,803287.5,798216.7,16794645.8,10,,
1,3,0,warm,riv_spec,2,828137.5,823091.7,16866262.5,10,,
1,3,0,warm,riv_rcm,0,1029708.3,1023979.2,17297470.8,10,,
1,3,0,warm,riv_rcm,1,851716.7,845154.2,16959020.8,10,,
1,3,0,warm,riv_rcm,2,860266.7,855533.3,17171929.2,10,,
1,3,0,warm,riv_snake,0,1024933.3,1018033.3,17004154.2,10,,
1,3,0,warm,riv_snake,1,869833.3,865091.7,17143512.5,10,,
1,3,0,warm,riv_snake,2,860791.7,854658.3,17178591.7,10,,
1,3,0,warm,riv_scr,0,884700.0,879745.8,16802862.5,10,,
1,3,0,warm,riv_scr,1,971395.8,966608.3,16922437.5,10,,
1,3,0,warm,riv_scr,2,931237.5,924504.2,16946483.3,10,,
1,3,0,cold,riv_rowm,0,879350.0,873420.8,17212787.5,10,,
1,3,0,cold,riv_rowm,1,852504.2,846750.0,16924600.0,10,,
1,3,0,cold,riv_rowm,2,913591.7,908537.5,17123108.3,10,,
1,3,0,cold,riv_spec,0,838112.5,832137.5,16911412.5,10,,
1,3,0,cold,riv_spec,1,899929.2,893716.7,17010412.5,10,,
1,3,0,cold,riv_spec,2,894616.7,889075.0,17122958.3,10,,
1,3,0,cold,riv_rcm,0,843770.8,837625.0,16858904.2,10,,
1,3,0,cold,riv_rcm,1,872487.5,867325.0,16960133.3,10,,
1,3,0,cold,riv_rcm,2,911908.3,906450.0,16951195.8,10,,
1,3,0,cold,riv_snake,0,985533.3,977254.2,17544320.8,10,,
1,3,0,cold,riv_snake,1,954770.8,949166.7,17099562.5,10,,
1,3,0,cold,riv_snake,2,847825.0,842320.8,16917375.0,10,,
1,3,0,cold,riv_scr,0,868512.5,861195.8,17001783.3,10,,
1,3,0,cold,riv_scr,1,960600.0,954791.7,17227654.2,10,,
1,3,0,cold,riv_scr,2,891170.8,885179.2,16934833.3,10,,
2,1,0,warm,riv_rowm,0,869054.2,863145.8,16928262.5,10,,
2,1,0,warm,riv_rowm,1,845545.8,839091.7,16922254.2,10,,
2,1,0,warm,riv_rowm,2,953341.7,948641.7,16986400.0,10,,
2,1,0,warm,riv_scr,0,897879.2,892600.0,16980683.3,10,,
2,1,0,warm,riv_scr,1,889675.0,885283.3,16882266.7,10,,
2,1,0,warm,riv_scr,2,846854.2,841362.5,16904979.2,10,,
2,1,0,warm,riv_snake,0,967358.3,963187.5,16935629.2,10,,
2,1,0,warm,riv_snake,1,933562.5,928779.2,17552245.8,10,,
