run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,wp_park,0,37733.3,35104.2,11016.7,10,,
1,1,0,warm,wp_park,1,32195.8,29816.7,11116.7,10,,
1,1,0,warm,wp_park,2,30600.0,28358.3,11208.3,10,,
1,1,0,warm,wp_nh128,0,32545.8,30004.2,11108.3,10,,
1,1,0,warm,wp_nh128,1,31658.3,29229.2,11041.7,10,,
1,1,0,warm,wp_nh128,2,32133.3,29750.0,11016.7,10,,
1,1,0,warm,wp_lp0,0,37995.8,35466.7,10929.2,10,,
1,1,0,warm,wp_lp0,1,36487.5,34204.2,10966.7,10,,
1,1,0,warm,wp_lp0,2,34170.8,31916.7,11000.0,10,,
1,1,0,warm,wp_nh2k,0,44008.3,40729.2,11845.8,10,,
1,1,0,warm,wp_nh2k,1,40629.2,37683.3,11795.8,10,,
1,1,0,warm,wp_nh2k,2,36383.3,33637.5,11816.7,10,,
1,1,0,warm,wp_isb8,0,30604.2,28187.5,11779.2,10,,
1,1,0,warm,wp_isb8,1,30495.8,28108.3,11770.8,10,,
1,1,0,warm,wp_isb8,2,30466.7,28079.2,11766.7,10,,
1,1,0,warm,wp_spin,0,38429.2,35233.3,11812.5,10,,
1,1,0,warm,wp_spin,1,36704.2,33108.3,14079.2,10,,
1,1,0,warm,wp_spin,2,37733.3,34916.7,11841.7,10,,
1,1,0,warm,wp_nh8k,0,38445.8,35520.8,11975.0,10,,
1,1,0,warm,wp_nh8k,1,39095.8,36266.7,11845.8,10,,
1,1,0,warm,wp_nh8k,2,40250.0,37441.7,11820.8,10,,
1,1,0,cold,wp_park,0,30870.8,24583.3,12654.2,10,,
1,1,0,cold,wp_park,1,31120.8,24925.0,12645.8,10,,
1,1,0,cold,wp_park,2,30658.3,24541.7,12641.7,10,,
1,1,0,cold,wp_nh128,0,31829.2,24870.8,12658.3,10,,
1,1,0,cold,wp_nh128,1,32633.3,26416.7,12654.2,10,,
1,1,0,cold,wp_nh128,2,31616.7,25400.0,12637.5,10,,
1,1,0,cold,wp_lp0,0,31662.5,25237.5,12662.5,10,,
1,1,0,cold,wp_lp0,1,31091.7,24570.8,12654.2,10,,
1,1,0,cold,wp_lp0,2,30737.5,24566.7,12616.7,10,,
1,1,0,cold,wp_nh2k,0,31029.2,24641.7,12658.3,10,,
1,1,0,cold,wp_nh2k,1,30850.0,24612.5,12650.0,10,,
1,1,0,cold,wp_nh2k,2,31041.7,24795.8,12641.7,10,,
1,1,0,cold,wp_isb8,0,30991.7,24691.7,12650.0,10,,
1,1,0,cold,wp_isb8,1,30750.0,24562.5,12637.5,10,,
1,1,0,cold,wp_isb8,2,31112.5,24954.2,12629.2,10,,
1,1,0,cold,wp_spin,0,31229.2,24870.8,12645.8,10,,
1,1,0,cold,wp_spin,1,31491.7,25183.3,12654.2,10,,
1,1,0,cold,wp_spin,2,30987.5,24787.5,12650.0,10,,
1,1,0,cold,wp_nh8k,0,47770.8,41120.8,12645.8,10,,
1,1,0,cold,wp_nh8k,1,37158.3,30779.2,12587.5,10,,
1,1,0,cold,wp_nh8k,2,32650.0,27112.5,12583.3,10,,
1,2,0,warm,wp_lp0,0,35616.7,32708.3,12654.2,10,,
1,2,0,warm,wp_lp0,1,29420.8,26333.3,12641.7,10,,
1,2,0,warm,wp_lp0,2,32191.7,29233.3,12633.3,10,,
1,2,0,warm,wp_nh2k,0,27750.0,24620.8,12666.7,10,,
1,2,0,warm,wp_nh2k,1,28183.3,25104.2,12662.5,10,,
1,2,0,warm,wp_nh2k,2,28079.2,25070.8,12641.7,10,,
1,2,0,warm,wp_nh8k,0,41945.8,37725.0,11829.2,10,,
1,2,0,warm,wp_nh8k,1,40637.5,37720.8,11820.8,10,,
1,2,0,warm,wp_nh8k,2,40120.8,37216.7,11812.5,10,,
1,2,0,warm,wp_spin,0,40387.5,37120.8,11829.2,10,,
1,2,0,warm,wp_spin,1,39887.5,37062.5,11820.8,10,,
1,2,0,warm,wp_spin,2,41366.7,38495.8,11800.0,10,,
1,2,0,warm,wp_nh128,0,31050.0,28166.7,11770.8,10,,
1,2,0,warm,wp_nh128,1,30545.8,28129.2,11779.2,10,,
1,2,0,warm,wp_nh128,2,29795.8,27291.7,11783.3,10,,
1,2,0,warm,wp_park,0,28754.2,25537.5,12658.3,10,,
1,2,0,warm,wp_park,1,27708.3,24583.3,12650.0,10,,
1,2,0,warm,wp_park,2,27866.7,24770.8,12641.7,10,,
1,2,0,warm,wp_isb8,0,29500.0,26337.5,12658.3,10,,
1,2,0,warm,wp_isb8,1,27758.3,24612.5,12670.8,10,,
1,2,0,warm,wp_isb8,2,27770.8,24687.5,12637.5,10,,
1,2,0,cold,wp_lp0,0,31587.5,24687.5,12662.5,10,,
1,2,0,cold,wp_lp0,1,30862.5,24575.0,12645.8,10,,
1,2,0,cold,wp_lp0,2,30654.2,24454.2,12633.3,10,,
1,2,0,cold,wp_nh2k,0,39058.3,32629.2,11837.5,10,,
1,2,0,cold,wp_nh2k,1,38512.5,32725.0,11820.8,10,,
1,2,0,cold,wp_nh2k,2,38600.0,32866.7,11808.3,10,,
1,2,0,cold,wp_nh8k,0,43104.2,37095.8,11845.8,10,,
1,2,0,cold,wp_nh8k,1,42245.8,36370.8,11808.3,10,,
1,2,0,cold,wp_nh8k,2,42083.3,36241.7,11804.2,10,,
1,2,0,cold,wp_spin,0,42375.0,36491.7,11812.5,10,,
1,2,0,cold,wp_spin,1,39358.3,33516.7,11825.0,10,,
1,2,0,cold,wp_spin,2,38700.0,32887.5,11812.5,10,,
1,2,0,cold,wp_nh128,0,32375.0,25904.2,12658.3,10,,
1,2,0,cold,wp_nh128,1,32550.0,26295.8,12637.5,10,,
1,2,0,cold,wp_nh128,2,33616.7,27500.0,12629.2,10,,
1,2,0,cold,wp_park,0,31812.5,25400.0,12666.7,10,,
1,2,0,cold,wp_park,1,34595.8,28216.7,13720.8,10,,
1,2,0,cold,wp_park,2,31941.7,25633.3,13466.7,10,,
1,2,0,cold,wp_isb8,0,31491.7,24616.7,12654.2,10,,
1,2,0,cold,wp_isb8,1,33220.8,26937.5,12645.8,10,,
1,2,0,cold,wp_isb8,2,37316.7,31150.0,11787.5,10,,
1,3,0,warm,wp_lp0,0,28075.0,24633.3,12650.0,10,,
1,3,0,warm,wp_lp0,1,27679.2,24595.8,12650.0,10,,
1,3,0,warm,wp_lp0,2,27675.0,24666.7,12654.2,10,,
1,3,0,warm,wp_nh8k,0,29929.2,27345.8,12608.3,10,,
1,3,0,warm,wp_nh8k,1,32312.5,29575.0,12600.0,10,,
1,3,0,warm,wp_nh8k,2,29154.2,26604.2,12587.5,10,,
1,3,0,warm,wp_park,0,28050.0,24625.0,12658.3,10,,
1,3,0,warm,wp_park,1,27704.2,24629.2,12645.8,10,,
1,3,0,warm,wp_park,2,27670.8,24691.7,12641.7,10,,
1,3,0,warm,wp_nh128,0,28091.7,25000.0,12683.3,10,,
1,3,0,warm,wp_nh128,1,27866.7,24816.7,12675.0,10,,
1,3,0,warm,wp_nh128,2,28079.2,25079.2,14016.7,10,,
1,3,0,warm,wp_nh2k,0,28195.8,25100.0,12645.8,10,,
1,3,0,warm,wp_nh2k,1,32083.3,29079.2,12645.8,10,,
1,3,0,warm,wp_nh2k,2,29987.5,26970.8,12658.3,10,,
1,3,0,warm,wp_spin,0,31033.3,27175.0,12645.8,10,,
1,3,0,warm,wp_spin,1,32704.2,29541.7,12637.5,10,,
1,3,0,warm,wp_spin,2,28816.7,25641.7,12637.5,10,,
1,3,0,warm,wp_isb8,0,30920.8,28166.7,11770.8,10,,
1,3,0,warm,wp_isb8,1,31345.8,28933.3,11762.5,10,,
1,3,0,warm,wp_isb8,2,32712.5,30208.3,11770.8,10,,
1,3,0,cold,wp_lp0,0,37575.0,31287.5,12666.7,10,,
1,3,0,cold,wp_lp0,1,32050.0,25908.3,12654.2,10,,
1,3,0,cold,wp_lp0,2,37137.5,31370.8,12004.2,10,,
1,3,0,cold,wp_nh8k,0,32970.8,27404.2,12608.3,10,,
1,3,0,cold,wp_nh8k,1,32870.8,27133.3,12591.7,10,,
1,3,0,cold,wp_nh8k,2,32545.8,27004.2,12604.2,10,,
1,3,0,cold,wp_park,0,30937.5,24600.0,12658.3,10,,
1,3,0,cold,wp_park,1,32170.8,26154.2,12475.0,10,,
1,3,0,cold,wp_park,2,34779.2,29470.8,11791.7,10,,
