run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,wide_blob,0,4227.0,4173.2,137.5,250,,
1,1,0,warm,wide_blob,1,4217.0,4163.0,137.3,250,,
1,1,0,warm,wide_blob,2,4239.3,4182.0,139.0,250,,
1,1,0,warm,wide_blob,3,4251.2,4195.2,139.3,250,,
1,1,0,warm,wide_blob,4,4491.7,4427.7,774.0,250,,
1,1,0,warm,wide_blob,5,4398.0,4341.8,142.2,250,,
1,1,0,warm,wide_blob,6,4218.0,4166.0,137.3,250,,
1,1,0,warm,wide_blob,7,4214.8,4163.2,137.3,250,,
1,1,0,warm,wide_decomposed,0,8021.5,7964.8,320.0,250,,
1,1,0,warm,wide_decomposed,1,7997.2,7947.0,330.8,250,,
1,1,0,warm,wide_decomposed,2,8051.7,8000.5,331.0,250,,
1,1,0,warm,wide_decomposed,3,8018.3,7965.5,326.8,250,,
1,1,0,warm,wide_decomposed,4,8030.2,7978.8,320.2,250,,
1,1,0,warm,wide_decomposed,5,8041.0,7992.2,327.5,250,,
1,1,0,warm,wide_decomposed,6,8383.8,8325.8,336.7,250,,
1,1,0,warm,wide_decomposed,7,8208.2,8156.8,323.2,250,,
1,1,0,cold,wide_blob,0,10594.5,4816.5,428.8,250,,
1,1,0,cold,wide_blob,1,9643.8,4356.2,208.5,250,,
1,1,0,cold,wide_blob,2,9526.8,4293.7,208.8,250,,
1,1,0,cold,wide_blob,3,9559.0,4314.3,203.2,250,,
1,1,0,cold,wide_blob,4,9694.8,4376.7,187.2,250,,
1,1,0,cold,wide_blob,5,9547.2,4323.5,204.3,250,,
1,1,0,cold,wide_blob,6,9375.8,4231.8,195.5,250,,
1,1,0,cold,wide_blob,7,10081.3,4577.3,249.5,250,,
1,1,0,cold,wide_decomposed,0,13963.5,8519.5,463.2,250,,
1,1,0,cold,wide_decomposed,1,19279.8,12984.3,795.5,250,,
1,1,0,cold,wide_decomposed,2,26050.3,18529.3,908.2,250,,
1,1,0,cold,wide_decomposed,3,13915.2,8457.8,425.5,250,,
1,1,0,cold,wide_decomposed,4,13822.3,8442.3,418.5,250,,
1,1,0,cold,wide_decomposed,5,25167.7,14218.5,1912.3,250,,
1,1,0,cold,wide_decomposed,6,17612.0,11608.3,595.8,250,,
1,1,0,cold,wide_decomposed,7,13504.7,8287.2,391.7,250,,
1,2,0,warm,wide_blob,0,4431.8,4367.5,141.3,250,,
1,2,0,warm,wide_blob,1,4442.2,4386.2,150.3,250,,
1,2,0,warm,wide_blob,2,4382.0,4321.3,139.5,250,,
1,2,0,warm,wide_blob,3,4404.0,4347.3,144.7,250,,
1,2,0,warm,wide_blob,4,4306.8,4255.2,143.5,250,,
1,2,0,warm,wide_blob,5,4312.7,4261.3,144.8,250,,
1,2,0,warm,wide_blob,6,4339.5,4282.7,141.5,250,,
1,2,0,warm,wide_blob,7,4335.5,4277.5,134.2,250,,
1,2,0,warm,wide_decomposed,0,8081.7,8029.2,316.3,250,,
1,2,0,warm,wide_decomposed,1,8210.8,8159.7,324.3,250,,
1,2,0,warm,wide_decomposed,2,8410.7,8353.8,339.5,250,,
1,2,0,warm,wide_decomposed,3,8119.2,8068.7,330.0,250,,
1,2,0,warm,wide_decomposed,4,8013.5,7963.5,321.5,250,,
1,2,0,warm,wide_decomposed,5,8082.3,8031.5,325.5,250,,
1,2,0,warm,wide_decomposed,6,8002.0,7953.0,332.3,250,,
1,2,0,warm,wide_decomposed,7,8105.7,8053.5,323.5,250,,
1,2,0,cold,wide_blob,0,9956.5,4569.5,238.3,250,,
1,2,0,cold,wide_blob,1,9401.3,4230.2,221.8,250,,
1,2,0,cold,wide_blob,2,9557.3,4297.0,222.2,250,,
1,2,0,cold,wide_blob,3,9396.3,4235.5,214.8,250,,
1,2,0,cold,wide_blob,4,9383.2,4228.0,199.0,250,,
1,2,0,cold,wide_blob,5,9312.5,4193.7,198.8,250,,
1,2,0,cold,wide_blob,6,9778.7,4390.8,244.8,250,,
1,2,0,cold,wide_blob,7,10032.2,4404.3,250.5,250,,
1,2,0,cold,wide_decomposed,0,13869.5,8440.3,429.2,250,,
1,2,0,cold,wide_decomposed,1,13850.2,8466.2,436.3,250,,
1,2,0,cold,wide_decomposed,2,14125.5,8659.5,469.0,250,,
1,2,0,cold,wide_decomposed,3,13840.8,8446.0,518.3,250,,
1,2,0,cold,wide_decomposed,4,13506.5,8240.0,428.8,250,,
1,2,0,cold,wide_decomposed,5,13300.8,8162.2,431.8,250,,
1,2,0,cold,wide_decomposed,6,13071.8,7978.3,424.3,250,,
1,2,0,cold,wide_decomposed,7,13394.5,8196.0,414.2,250,,
1,3,0,warm,wide_blob,0,4367.8,4307.2,139.7,250,,
1,3,0,warm,wide_blob,1,4277.7,4220.7,139.7,250,,
1,3,0,warm,wide_blob,2,4223.0,4169.0,141.2,250,,
1,3,0,warm,wide_blob,3,4254.0,4200.7,137.3,250,,
1,3,0,warm,wide_blob,4,4306.8,4249.8,143.2,250,,
1,3,0,warm,wide_blob,5,4284.8,4232.7,139.2,250,,
1,3,0,warm,wide_blob,6,4215.8,4163.0,137.7,250,,
1,3,0,warm,wide_blob,7,4260.7,4208.5,138.7,250,,
1,3,0,warm,wide_decomposed,0,7989.2,7935.2,312.8,250,,
1,3,0,warm,wide_decomposed,1,8005.8,7953.5,314.7,250,,
1,3,0,warm,wide_decomposed,2,8140.2,8083.3,320.3,250,,
1,3,0,warm,wide_decomposed,3,8444.0,8385.7,331.0,250,,
1,3,0,warm,wide_decomposed,4,8125.0,8073.2,320.0,250,,
1,3,0,warm,wide_decomposed,5,8192.8,8140.7,331.8,250,,
1,3,0,warm,wide_decomposed,6,8638.7,8572.7,521.8,250,,
1,3,0,warm,wide_decomposed,7,8171.0,8119.7,317.5,250,,
1,3,0,cold,wide_blob,0,9377.2,4228.5,177.2,250,,
1,3,0,cold,wide_blob,1,9798.3,4370.5,280.0,250,,
1,3,0,cold,wide_blob,2,11705.5,5173.7,287.0,250,,
1,3,0,cold,wide_blob,3,9474.8,4271.8,186.7,250,,
1,3,0,cold,wide_blob,4,9450.7,4263.7,193.5,250,,
1,3,0,cold,wide_blob,5,9590.8,4331.8,181.8,250,,
1,3,0,cold,wide_blob,6,9428.2,4244.5,186.0,250,,
1,3,0,cold,wide_blob,7,9440.7,4255.5,186.7,250,,
1,3,0,cold,wide_decomposed,0,13399.2,8179.0,402.7,250,,
1,3,0,cold,wide_decomposed,1,13318.5,8140.0,386.2,250,,
1,3,0,cold,wide_decomposed,2,13723.5,8381.2,393.0,250,,
1,3,0,cold,wide_decomposed,3,13550.0,8270.5,594.5,250,,
1,3,0,cold,wide_decomposed,4,13724.5,8355.7,442.3,250,,
1,3,0,cold,wide_decomposed,5,13471.7,8227.2,425.5,250,,
1,3,0,cold,wide_decomposed,6,13316.3,8140.5,394.2,250,,
1,3,0,cold,wide_decomposed,7,13424.0,8146.7,398.3,250,,
1,4,0,warm,wide_decomposed,0,8468.7,8414.5,334.8,250,,
