run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,v2_decomposed,0,4927.8,30.0,2081.0,250,,
1,1,0,warm,v2_decomposed,1,4931.7,29.0,2071.5,250,,
1,1,0,warm,v2_decomposed,2,4877.2,31.0,2057.0,250,,
1,1,0,warm,v2_decomposed,3,4922.5,30.7,2076.7,250,,
1,1,0,warm,v2_decomposed,4,5042.2,29.8,2219.3,250,,
1,1,0,warm,v2_decomposed,5,5055.2,30.7,2137.0,250,,
1,1,0,warm,v2_decomposed,6,4919.7,31.7,2072.3,250,,
1,1,0,warm,v2_decomposed,7,4869.2,30.5,2057.0,250,,
1,1,0,warm,v5_handletable,0,4793.2,33.0,2104.0,250,,
1,1,0,warm,v5_handletable,1,4794.2,32.2,2098.7,250,,
1,1,0,warm,v5_handletable,2,4854.7,31.8,2134.3,250,,
1,1,0,warm,v5_handletable,3,4819.3,30.8,2121.8,250,,
1,1,0,warm,v5_handletable,4,4818.3,32.2,2101.5,250,,
1,1,0,warm,v5_handletable,5,4787.0,32.0,2109.3,250,,
1,1,0,warm,v5_handletable,6,4917.3,33.5,2157.2,250,,
1,1,0,warm,v5_handletable,7,5061.3,35.0,2219.3,250,,
1,1,0,warm,v4_erased,0,4874.2,27.2,2091.2,250,,
1,1,0,warm,v4_erased,1,4826.7,28.5,2018.3,250,,
1,1,0,warm,v4_erased,2,4896.7,27.7,2063.5,250,,
1,1,0,warm,v4_erased,3,5139.3,31.2,2261.8,250,,
1,1,0,warm,v4_erased,4,5153.3,30.0,2130.3,250,,
1,1,0,warm,v4_erased,5,5050.8,30.3,2176.8,250,,
1,1,0,warm,v4_erased,6,4837.5,28.3,2040.2,250,,
1,1,0,warm,v4_erased,7,4885.7,27.3,2070.3,250,,
1,1,0,warm,v3_shapebound,0,4918.2,27.0,2084.5,250,,
1,1,0,warm,v3_shapebound,1,4853.8,31.3,2040.0,250,,
1,1,0,warm,v3_shapebound,2,4935.8,29.7,2085.7,250,,
1,1,0,warm,v3_shapebound,3,4872.2,29.2,2056.5,250,,
1,1,0,warm,v3_shapebound,4,4833.8,28.8,2028.2,250,,
1,1,0,warm,v3_shapebound,5,4790.2,29.5,2026.7,250,,
1,1,0,warm,v3_shapebound,6,4797.7,26.8,2032.7,250,,
1,1,0,warm,v3_shapebound,7,4798.8,27.7,2025.7,250,,
1,1,0,warm,v0_blob,0,4810.5,28.2,2029.0,250,,
1,1,0,warm,v0_blob,1,4798.5,29.0,2016.2,250,,
1,1,0,warm,v0_blob,2,4805.2,28.2,2023.0,250,,
1,1,0,warm,v0_blob,3,4785.5,27.7,2021.3,250,,
1,1,0,warm,v0_blob,4,4797.5,29.2,2027.3,250,,
1,1,0,warm,v0_blob,5,4784.7,25.7,2031.0,250,,
1,1,0,warm,v0_blob,6,4811.3,28.8,2026.5,250,,
1,1,0,warm,v0_blob,7,4792.2,27.8,2025.0,250,,
1,1,0,warm,v1_snapshot,0,4872.2,29.5,2058.0,250,,
1,1,0,warm,v1_snapshot,1,4908.0,27.8,2064.3,250,,
1,1,0,warm,v1_snapshot,2,4900.7,26.8,2092.5,250,,
1,1,0,warm,v1_snapshot,3,4793.7,28.7,2049.0,250,,
1,1,0,warm,v1_snapshot,4,4823.5,30.8,2015.8,250,,
1,1,0,warm,v1_snapshot,5,4800.5,27.7,2031.0,250,,
1,1,0,warm,v1_snapshot,6,4877.7,26.8,2038.7,250,,
1,1,0,warm,v1_snapshot,7,4793.0,27.7,2028.3,250,,
1,1,0,cold,v2_decomposed,0,5188.2,28.7,2025.3,250,,
1,1,0,cold,v2_decomposed,1,5275.5,29.8,2060.0,250,,
1,1,0,cold,v2_decomposed,2,5243.8,30.7,2054.5,250,,
1,1,0,cold,v2_decomposed,3,5271.2,30.3,2059.5,250,,
1,1,0,cold,v2_decomposed,4,5282.7,30.8,2093.5,250,,
1,1,0,cold,v2_decomposed,5,5169.8,28.5,2031.5,250,,
1,1,0,cold,v2_decomposed,6,5293.7,26.5,2100.0,250,,
1,1,0,cold,v2_decomposed,7,5328.7,30.2,2075.2,250,,
1,1,0,cold,v5_handletable,0,5186.7,33.0,2112.8,250,,
1,1,0,cold,v5_handletable,1,5197.5,32.2,2108.8,250,,
1,1,0,cold,v5_handletable,2,5200.5,32.0,2111.7,250,,
1,1,0,cold,v5_handletable,3,5224.2,33.0,2121.5,250,,
1,1,0,cold,v5_handletable,4,5174.3,30.0,2096.2,250,,
1,1,0,cold,v5_handletable,5,5191.2,31.7,2114.0,250,,
1,1,0,cold,v5_handletable,6,5187.0,31.8,2105.3,250,,
1,1,0,cold,v5_handletable,7,5170.5,31.3,2100.3,250,,
1,1,0,cold,v4_erased,0,5276.5,30.5,2022.7,250,,
1,1,0,cold,v4_erased,1,5316.8,26.8,2078.5,250,,
1,1,0,cold,v4_erased,2,5216.2,29.0,2037.5,250,,
1,1,0,cold,v4_erased,3,5182.2,28.8,2027.0,250,,
1,1,0,cold,v4_erased,4,5184.3,28.5,2017.0,250,,
1,1,0,cold,v4_erased,5,5196.2,29.0,2037.7,250,,
1,1,0,cold,v4_erased,6,5202.2,28.0,2035.7,250,,
1,1,0,cold,v4_erased,7,5179.7,27.0,2029.8,250,,
1,1,0,cold,v3_shapebound,0,5199.3,29.8,2030.0,250,,
1,1,0,cold,v3_shapebound,1,5268.8,28.8,2043.2,250,,
1,1,0,cold,v3_shapebound,2,5298.3,29.2,2077.3,250,,
1,1,0,cold,v3_shapebound,3,5416.2,31.5,2099.7,250,,
1,1,0,cold,v3_shapebound,4,5191.5,29.7,2041.3,250,,
1,1,0,cold,v3_shapebound,5,5350.0,29.2,2091.5,250,,
1,1,0,cold,v3_shapebound,6,5323.2,29.2,2081.5,250,,
1,1,0,cold,v3_shapebound,7,5260.5,28.7,2064.0,250,,
1,1,0,cold,v0_blob,0,5543.3,30.2,2135.7,250,,
1,1,0,cold,v0_blob,1,5432.8,30.0,2122.7,250,,
1,1,0,cold,v0_blob,2,5367.7,28.8,2105.5,250,,
1,1,0,cold,v0_blob,3,5255.2,29.8,2055.7,250,,
1,1,0,cold,v0_blob,4,5311.5,29.2,2052.5,250,,
1,1,0,cold,v0_blob,5,5348.0,28.8,2103.8,250,,
1,1,0,cold,v0_blob,6,5476.8,29.3,2144.5,250,,
1,1,0,cold,v0_blob,7,5544.5,29.0,2347.5,250,,
1,1,0,cold,v1_snapshot,0,5319.8,28.2,2067.8,250,,
1,1,0,cold,v1_snapshot,1,5211.5,29.5,2031.7,250,,
1,1,0,cold,v1_snapshot,2,5184.2,29.5,2059.2,250,,
1,1,0,cold,v1_snapshot,3,5203.7,27.3,2039.5,250,,
1,1,0,cold,v1_snapshot,4,5199.8,28.2,2016.7,250,,
1,1,0,cold,v1_snapshot,5,5322.8,29.3,2082.5,250,,
1,1,0,cold,v1_snapshot,6,5216.8,26.7,2048.8,250,,
1,1,0,cold,v1_snapshot,7,5316.2,31.0,2025.5,250,,
1,2,0,warm,v3_shapebound,0,4822.2,27.8,2027.0,250,,
1,2,0,warm,v3_shapebound,1,4802.0,29.0,2042.5,250,,
1,2,0,warm,v3_shapebound,2,4859.7,28.2,2044.2,250,,
1,2,0,warm,v3_shapebound,3,4801.5,28.7,2049.7,250,,
1,2,0,warm,v3_shapebound,4,4800.7,30.0,2026.2,250,,
1,2,0,warm,v3_shapebound,5,4782.7,28.5,2025.5,250,,
1,2,0,warm,v3_shapebound,6,4812.7,29.7,2025.7,250,,
1,2,0,warm,v3_shapebound,7,4793.0,27.3,2021.0,250,,
1,2,0,warm,v1_snapshot,0,4875.2,28.2,2051.8,250,,
1,2,0,warm,v1_snapshot,1,4940.0,28.7,2093.3,250,,
1,2,0,warm,v1_snapshot,2,4901.8,30.5,2069.0,250,,
1,2,0,warm,v1_snapshot,3,4896.2,29.5,2063.2,250,,
1,2,0,warm,v1_snapshot,4,4868.0,25.8,2055.2,250,,
1,2,0,warm,v1_snapshot,5,4804.3,30.0,2034.0,250,,
1,2,0,warm,v1_snapshot,6,4820.2,27.0,2043.8,250,,
1,2,0,warm,v1_snapshot,7,4821.0,27.2,2036.0,250,,
1,2,0,warm,v0_blob,0,4799.7,27.2,2028.7,250,,
1,2,0,warm,v0_blob,1,4847.5,27.2,2041.5,250,,
1,2,0,warm,v0_blob,2,4906.7,28.5,2067.0,250,,
1,2,0,warm,v0_blob,3,4807.0,29.3,2026.3,250,,
1,2,0,warm,v0_blob,4,4835.8,29.5,2024.0,250,,
1,2,0,warm,v0_blob,5,4783.5,29.7,2024.7,250,,
1,2,0,warm,v0_blob,6,4881.7,28.0,2054.0,250,,
1,2,0,warm,v0_blob,7,4889.8,30.2,2060.8,250,,
1,2,0,warm,v4_erased,0,5164.0,28.0,2401.8,250,,
1,2,0,warm,v4_erased,1,5010.7,62.7,2078.3,250,,
1,2,0,warm,v4_erased,2,4832.5,26.2,2071.3,250,,
1,2,0,warm,v4_erased,3,4912.8,30.3,2046.8,250,,
1,2,0,warm,v4_erased,4,4834.5,30.0,2032.3,250,,
1,2,0,warm,v4_erased,5,4786.7,27.7,2026.8,250,,
1,2,0,warm,v4_erased,6,4826.7,29.2,2040.0,250,,
1,2,0,warm,v4_erased,7,4816.5,28.0,2031.0,250,,
1,2,0,warm,v2_decomposed,0,4825.2,28.8,2037.3,250,,
1,2,0,warm,v2_decomposed,1,4826.5,30.2,2034.5,250,,
1,2,0,warm,v2_decomposed,2,4792.7,29.7,2024.3,250,,
1,2,0,warm,v2_decomposed,3,4840.5,40.2,2046.0,250,,
1,2,0,warm,v2_decomposed,4,4836.3,31.2,2034.8,250,,
1,2,0,warm,v2_decomposed,5,5072.3,31.3,2161.2,250,,
1,2,0,warm,v2_decomposed,6,5410.3,32.2,2295.2,250,,
1,2,0,warm,v2_decomposed,7,7189.7,32.0,2651.8,250,,
1,2,0,warm,v5_handletable,0,5105.8,33.2,2236.5,250,,
1,2,0,warm,v5_handletable,1,5360.7,35.2,2477.7,250,,
1,2,0,warm,v5_handletable,2,5306.8,32.0,2248.7,250,,
1,2,0,warm,v5_handletable,3,5532.8,33.3,2472.2,250,,
1,2,0,warm,v5_handletable,4,5220.3,35.5,2363.3,250,,
1,2,0,warm,v5_handletable,5,5189.3,31.8,2212.7,250,,
1,2,0,warm,v5_handletable,6,5056.5,32.5,2288.8,250,,
1,2,0,warm,v5_handletable,7,5713.3,35.5,2620.2,250,,
1,2,0,cold,v3_shapebound,0,7046.8,31.8,3182.3,250,,
1,2,0,cold,v3_shapebound,1,7823.5,30.7,2561.8,250,,
1,2,0,cold,v3_shapebound,2,5671.8,29.2,2150.3,250,,
1,2,0,cold,v3_shapebound,3,5368.3,30.0,2071.3,250,,
