run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,seq_live,0,1644864.8,1642630.8,28225942.7,250,,
1,1,0,warm,seq_live,1,1595426.7,1593389.7,28105599.2,250,,
1,1,0,warm,seq_live,2,1587858.5,1585759.3,28069970.7,250,,
1,1,0,warm,seq_live,3,1541577.3,1539564.2,28010113.3,250,,
1,1,0,warm,seq_live,4,1571426.8,1569328.3,28066882.2,250,,
1,1,0,warm,seq_live,5,1564422.2,1562512.3,28463746.5,250,,
1,1,0,warm,seq_live,6,1572448.3,1570515.5,27991225.8,250,,
1,1,0,warm,seq_live,7,1586941.8,1584988.3,27998515.8,250,,
1,1,0,warm,seq_snapshot,0,3942791.5,3941184.3,27960294.0,250,,
1,1,0,warm,seq_snapshot,1,3909575.8,3908175.0,28069810.8,250,,
1,1,0,warm,seq_snapshot,2,3816989.8,3815784.8,27894440.7,250,,
1,1,0,warm,seq_snapshot,3,3972227.0,3970862.3,28032363.0,250,,
1,1,0,warm,seq_snapshot,4,3886224.3,3884949.0,27964455.3,250,,
1,1,0,warm,seq_snapshot,5,4206292.5,4204452.0,28963411.8,250,,
1,1,0,warm,seq_snapshot,6,3863680.0,3861915.2,27973450.7,250,,
1,1,0,warm,seq_snapshot,7,4121565.3,4119540.0,28932563.7,250,,
1,1,0,cold,seq_live,0,1573112.5,1571123.0,28108886.3,250,,
1,1,0,cold,seq_live,1,1610349.0,1608428.8,28308199.0,250,,
1,1,0,cold,seq_live,2,1577302.0,1575474.0,28197138.2,250,,
1,1,0,cold,seq_live,3,1890211.0,1887868.8,29599052.2,250,,
1,1,0,cold,seq_live,4,1848060.8,1846084.8,29206437.2,250,,
1,1,0,cold,seq_live,5,1664004.7,1662084.7,28603905.8,250,,
1,1,0,cold,seq_live,6,1543415.2,1541722.5,28157581.3,250,,
1,1,0,cold,seq_live,7,1619226.7,1617274.8,28358794.8,250,,
1,1,0,cold,seq_snapshot,0,5572542.0,5569774.7,31658243.5,250,,
1,1,0,cold,seq_snapshot,1,4311175.8,4308975.2,28821359.8,250,,
1,1,0,cold,seq_snapshot,2,4154080.5,4152082.8,28269545.7,250,,
1,1,0,cold,seq_snapshot,3,4146334.2,4144305.8,28279893.0,250,,
1,1,0,cold,seq_snapshot,4,4147194.3,4145124.2,28249919.3,250,,
1,1,0,cold,seq_snapshot,5,4235490.8,4233459.8,28386771.0,250,,
1,1,0,cold,seq_snapshot,6,4512293.5,4510082.0,29017944.8,250,,
1,1,0,cold,seq_snapshot,7,3927564.7,3926035.0,28000158.0,250,,
1,2,0,warm,seq_live,0,1698939.3,1696766.0,28821622.7,250,,
1,2,0,warm,seq_live,1,1619267.5,1617156.7,28329876.8,250,,
1,2,0,warm,seq_live,2,1602001.8,1599852.7,28240205.8,250,,
1,2,0,warm,seq_live,3,1642066.7,1639825.8,28295861.2,250,,
1,2,0,warm,seq_live,4,1603788.5,1601689.5,28292433.7,250,,
1,2,0,warm,seq_live,5,1617669.5,1615687.0,28284110.8,250,,
1,2,0,warm,seq_live,6,1577408.0,1575375.5,28267039.2,250,,
1,2,0,warm,seq_live,7,1581945.3,1580043.8,28189943.0,250,,
1,2,0,warm,seq_snapshot,0,4005130.5,4003301.5,28208290.8,250,,
1,2,0,warm,seq_snapshot,1,4029044.2,4027452.7,28214741.8,250,,
1,2,0,warm,seq_snapshot,2,4011192.2,4009523.5,28199740.8,250,,
1,2,0,warm,seq_snapshot,3,4041318.8,4039676.3,28190430.8,250,,
1,2,0,warm,seq_snapshot,4,4051425.0,4049704.3,28239461.3,250,,
1,2,0,warm,seq_snapshot,5,3994475.3,3992703.7,28187902.0,250,,
1,2,0,warm,seq_snapshot,6,4047342.8,4045512.5,28238320.5,250,,
1,2,0,warm,seq_snapshot,7,3907726.5,3906177.7,28085247.0,250,,
1,2,0,cold,seq_live,0,1529845.5,1528218.0,27865504.3,250,,
1,2,0,cold,seq_live,1,1569113.2,1567310.2,28138520.8,250,,
1,2,0,cold,seq_live,2,1557008.2,1555335.3,28068682.2,250,,
1,2,0,cold,seq_live,3,1536933.5,1535422.2,28025247.0,250,,
1,2,0,cold,seq_live,4,1534879.5,1533328.2,27966778.5,250,,
1,2,0,cold,seq_live,5,1530945.3,1529325.5,27910441.5,250,,
1,2,0,cold,seq_live,6,1514135.2,1512597.5,27872446.5,250,,
1,2,0,cold,seq_live,7,1522269.3,1520623.0,27923153.7,250,,
1,2,0,cold,seq_snapshot,0,3816595.3,3815345.7,27922711.2,250,,
1,2,0,cold,seq_snapshot,1,3770727.5,3769490.7,27907172.3,250,,
1,2,0,cold,seq_snapshot,2,3815872.2,3814599.0,27906153.0,250,,
1,2,0,cold,seq_snapshot,3,3772155.5,3770811.5,27942466.5,250,,
1,2,0,cold,seq_snapshot,4,3803155.2,3801854.5,27892637.8,250,,
1,2,0,cold,seq_snapshot,5,3783957.7,3782733.3,27894102.0,250,,
1,2,0,cold,seq_snapshot,6,3824798.0,3823439.5,27909717.0,250,,
1,2,0,cold,seq_snapshot,7,3818064.8,3816856.7,27885953.5,250,,
1,3,0,warm,seq_live,0,1523699.5,1522209.3,27856405.2,250,,
1,3,0,warm,seq_live,1,1542459.8,1540858.0,27902422.3,250,,
1,3,0,warm,seq_live,2,1526715.7,1525157.7,27968520.7,250,,
1,3,0,warm,seq_live,3,1556885.2,1555309.5,28021710.5,250,,
1,3,0,warm,seq_live,4,1524949.5,1523352.0,27833948.5,250,,
1,3,0,warm,seq_live,5,1515183.5,1513525.3,27870985.2,250,,
1,3,0,warm,seq_live,6,1518473.8,1516823.7,27885154.8,250,,
1,3,0,warm,seq_live,7,1523212.8,1521557.8,27842259.5,250,,
1,3,0,warm,seq_snapshot,0,3772353.8,3771144.7,27868194.3,250,,
1,3,0,warm,seq_snapshot,1,3799592.0,3798320.7,27879370.8,250,,
1,3,0,warm,seq_snapshot,2,3847702.0,3846413.5,27984928.7,250,,
1,3,0,warm,seq_snapshot,3,3784533.8,3783260.7,27860803.2,250,,
1,3,0,warm,seq_snapshot,4,3778894.7,3777664.7,27876766.3,250,,
1,3,0,warm,seq_snapshot,5,3786858.3,3785655.5,27822935.8,250,,
1,3,0,warm,seq_snapshot,6,3796711.0,3795437.2,27867366.7,250,,
1,3,0,warm,seq_snapshot,7,3770407.5,3769217.2,27863816.5,250,,
1,3,0,cold,seq_live,0,1521826.2,1520143.8,27837684.3,250,,
1,3,0,cold,seq_live,1,1530916.2,1529277.3,27894130.0,250,,
1,3,0,cold,seq_live,2,1578721.7,1577150.2,29020857.8,250,,
1,3,0,cold,seq_live,3,1631892.5,1630264.5,28233432.5,250,,
1,3,0,cold,seq_live,4,1644153.8,1642037.7,28485373.7,250,,
1,3,0,cold,seq_live,5,2252974.2,2250390.8,35460097.8,250,,
1,3,0,cold,seq_live,6,2908634.7,2905135.3,41550879.7,250,,
1,3,0,cold,seq_live,7,1947015.3,1944298.8,30298343.7,250,,
1,3,0,cold,seq_snapshot,0,4181072.5,4179302.2,28715961.0,250,,
1,3,0,cold,seq_snapshot,1,3819768.5,3818501.7,27930255.0,250,,
1,3,0,cold,seq_snapshot,2,3829519.5,3828247.5,27965711.2,250,,
1,3,0,cold,seq_snapshot,3,3796492.2,3795228.7,27924328.3,250,,
1,3,0,cold,seq_snapshot,4,3830025.8,3828738.5,27924859.2,250,,
1,3,0,cold,seq_snapshot,5,3915043.2,3913689.5,28075191.2,250,,
1,3,0,cold,seq_snapshot,6,3808607.3,3807384.7,27885486.3,250,,
1,3,0,cold,seq_snapshot,7,3800869.0,3799494.0,27909015.2,250,,
1,4,0,warm,seq_snapshot,0,3852278.5,3850983.7,27941766.5,250,,
1,4,0,warm,seq_snapshot,1,3831468.7,3830273.3,27887393.7,250,,
1,4,0,warm,seq_snapshot,2,3855150.2,3853823.8,27926681.0,250,,
1,4,0,warm,seq_snapshot,3,3822631.3,3821363.2,27881743.3,250,,
1,4,0,warm,seq_snapshot,4,3883997.0,3882695.7,27941038.5,250,,
1,4,0,warm,seq_snapshot,5,3821171.0,3819929.8,27904409.0,250,,
1,4,0,warm,seq_snapshot,6,3795323.8,3794154.2,27885426.5,250,,
1,4,0,warm,seq_snapshot,7,3831118.0,3829869.0,27912404.0,250,,
1,4,0,warm,seq_live,0,1527394.8,1525666.7,27862711.8,250,,
1,4,0,warm,seq_live,1,1543411.3,1541604.5,27938102.5,250,,
1,4,0,warm,seq_live,2,1524691.8,1522967.0,27875743.7,250,,
1,4,0,warm,seq_live,3,1544247.8,1542470.3,27910812.0,250,,
1,4,0,warm,seq_live,4,1522694.7,1520965.0,27862329.0,250,,
1,4,0,warm,seq_live,5,1524201.7,1522493.8,27883529.2,250,,
1,4,0,warm,seq_live,6,1524091.8,1522408.0,27880174.7,250,,
1,4,0,warm,seq_live,7,1526177.7,1524507.0,27864740.0,250,,
1,4,0,cold,seq_snapshot,0,3817966.0,3816677.2,27901788.3,250,,
1,4,0,cold,seq_snapshot,1,4113686.7,4111805.2,28281051.7,250,,
1,4,0,cold,seq_snapshot,2,4073990.8,4072169.2,28209297.7,250,,
1,4,0,cold,seq_snapshot,3,3815765.0,3814433.0,27905857.2,250,,
1,4,0,cold,seq_snapshot,4,3850161.0,3848828.8,27917910.0,250,,
1,4,0,cold,seq_snapshot,5,3806775.7,3805533.2,27877834.0,250,,
1,4,0,cold,seq_snapshot,6,3817850.0,3816511.0,27925804.0,250,,
1,4,0,cold,seq_snapshot,7,3856096.5,3854818.5,27905345.5,250,,
1,4,0,cold,seq_live,0,1622403.5,1620346.0,28254774.2,250,,
1,4,0,cold,seq_live,1,1651186.3,1649135.7,28273967.5,250,,
1,4,0,cold,seq_live,2,1623157.7,1621232.5,28198382.3,250,,
1,4,0,cold,seq_live,3,1619949.5,1618108.2,28223291.3,250,,
1,4,0,cold,seq_live,4,1628777.5,1626802.0,28276830.8,250,,
1,4,0,cold,seq_live,5,1661472.2,1659592.7,28489009.7,250,,
1,4,0,cold,seq_live,6,1556245.7,1554677.7,28199331.2,250,,
1,4,0,cold,seq_live,7,1655129.0,1653137.5,28368661.8,250,,
1,5,0,warm,seq_live,0,1687683.8,1685580.5,28353104.5,250,,
1,5,0,warm,seq_live,1,1639482.2,1637538.2,28217144.7,250,,
1,5,0,warm,seq_live,2,1630970.8,1629019.8,28215581.7,250,,
1,5,0,warm,seq_live,3,1638543.2,1636578.2,28281340.0,250,,
1,5,0,warm,seq_live,4,1604515.5,1602606.8,28491830.8,250,,
1,5,0,warm,seq_live,5,1684571.3,1682422.7,28376112.7,250,,
1,5,0,warm,seq_live,6,1632454.7,1630323.7,28283906.0,250,,
1,5,0,warm,seq_live,7,1638785.8,1636826.7,28263464.3,250,,
1,5,0,warm,seq_snapshot,0,4087528.7,4085765.0,28217120.5,250,,
1,5,0,warm,seq_snapshot,1,4141896.7,4140100.7,28234400.5,250,,
1,5,0,warm,seq_snapshot,2,4291261.5,4289256.0,28445667.3,250,,
1,5,0,warm,seq_snapshot,3,4133345.8,4131428.2,28356800.8,250,,
1,5,0,warm,seq_snapshot,4,4309142.3,4307165.5,28448137.8,250,,
1,5,0,warm,seq_snapshot,5,4304869.5,4302772.7,28325014.0,250,,
1,5,0,warm,seq_snapshot,6,4219451.8,4217401.5,28329282.0,250,,
1,5,0,warm,seq_snapshot,7,4078822.2,4076938.0,28225760.5,250,,
1,5,0,cold,seq_live,0,1596473.2,1594667.5,28194782.8,250,,
1,5,0,cold,seq_live,1,1570596.2,1568881.3,28165866.7,250,,
1,5,0,cold,seq_live,2,1565998.0,1564335.7,28158171.5,250,,
1,5,0,cold,seq_live,3,1548387.8,1546723.2,28166403.5,250,,
1,5,0,cold,seq_live,4,1598805.8,1597091.8,28219158.5,250,,
1,5,0,cold,seq_live,5,1555962.2,1554297.0,28147126.8,250,,
1,5,0,cold,seq_live,6,1562652.8,1560976.7,28221932.5,250,,
1,5,0,cold,seq_live,7,1577687.8,1576025.5,28187508.0,250,,
1,5,0,cold,seq_snapshot,0,3912727.5,3911133.7,28149744.2,250,,
1,5,0,cold,seq_snapshot,1,3946711.0,3945076.8,28224098.0,250,,
1,5,0,cold,seq_snapshot,2,3977279.5,3975813.2,28183753.0,250,,
1,5,0,cold,seq_snapshot,3,3991401.2,3989706.8,28134341.0,250,,
1,5,0,cold,seq_snapshot,4,4227571.3,4225815.5,28438765.2,250,,
1,5,0,cold,seq_snapshot,5,4164541.5,4162628.3,28235627.0,250,,
1,5,0,cold,seq_snapshot,6,4176332.2,4174519.0,28282920.7,250,,
1,5,0,cold,seq_snapshot,7,4141906.5,4140041.7,28214092.7,250,,
2,1,0,warm,seq_snapshot,0,4219410.8,4217522.3,28402040.2,250,,
2,1,0,warm,seq_snapshot,1,4061504.5,4059771.8,28177234.3,250,,
2,1,0,warm,seq_snapshot,2,4167968.2,4165889.7,28289129.7,250,,
2,1,0,warm,seq_snapshot,3,4124110.2,4122373.8,28485056.2,250,,
2,1,0,warm,seq_snapshot,4,4148722.7,4147012.5,28200589.2,250,,
2,1,0,warm,seq_snapshot,5,4191332.0,4189350.5,28280279.8,250,,
2,1,0,warm,seq_snapshot,6,4075051.8,4073279.8,28459699.0,250,,
2,1,0,warm,seq_snapshot,7,4246250.7,4244325.2,28601893.2,250,,
2,1,0,warm,seq_live,0,1616985.0,1615033.8,28512368.7,250,,
2,1,0,warm,seq_live,1,1611957.5,1610017.8,28384046.7,250,,
2,1,0,warm,seq_live,2,1653179.7,1651045.7,28266144.8,250,,
2,1,0,warm,seq_live,3,1626960.5,1624825.5,28248916.8,250,,
2,1,0,warm,seq_live,4,1709356.5,1707236.7,28605633.5,250,,
2,1,0,warm,seq_live,5,1661917.7,1659923.7,28624363.7,250,,
2,1,0,warm,seq_live,6,1675301.8,1673137.2,28438333.0,250,,
2,1,0,warm,seq_live,7,1660244.8,1658221.7,28441409.0,250,,
2,1,0,cold,seq_snapshot,0,4129687.5,4127879.7,28213227.2,250,,
2,1,0,cold,seq_snapshot,1,4342166.7,4340064.2,28495778.3,250,,
2,1,0,cold,seq_snapshot,2,4270819.0,4268953.0,28348095.3,250,,
2,1,0,cold,seq_snapshot,3,4284569.2,4282480.2,28314009.0,250,,
2,1,0,cold,seq_snapshot,4,4832965.7,4830629.2,29795678.0,250,,
2,1,0,cold,seq_snapshot,5,4237834.8,4235785.7,28350893.8,250,,
2,1,0,cold,seq_snapshot,6,4137618.7,4135716.0,28260052.5,250,,
2,1,0,cold,seq_snapshot,7,4168587.7,4166725.8,28265198.3,250,,
2,1,0,cold,seq_live,0,1683193.0,1681060.5,28625547.5,250,,
2,1,0,cold,seq_live,1,1639363.8,1637229.7,28277390.0,250,,
2,1,0,cold,seq_live,2,1621179.3,1619203.3,28252830.8,250,,
2,1,0,cold,seq_live,3,1638141.8,1636141.5,28305529.2,250,,
2,1,0,cold,seq_live,4,1675142.3,1672937.0,28470415.7,250,,
2,1,0,cold,seq_live,5,1613221.3,1611144.0,28252867.3,250,,
2,1,0,cold,seq_live,6,1603890.8,1601899.7,28217931.5,250,,
2,1,0,cold,seq_live,7,1619814.2,1617806.8,28249752.8,250,,
2,2,0,warm,seq_snapshot,0,3984317.3,3982730.7,28149013.2,250,,
2,2,0,warm,seq_snapshot,1,3986895.8,3985342.7,28182826.8,250,,
2,2,0,warm,seq_snapshot,2,3955100.2,3953615.2,28138456.2,250,,
2,2,0,warm,seq_snapshot,3,4001124.3,3999562.3,28156641.5,250,,
2,2,0,warm,seq_snapshot,4,3960603.8,3959110.2,28129188.2,250,,
2,2,0,warm,seq_snapshot,5,4026579.7,4025070.0,28183129.3,250,,
2,2,0,warm,seq_snapshot,6,4003154.8,4001672.0,28168479.2,250,,
2,2,0,warm,seq_snapshot,7,4002862.5,4001374.7,28169912.7,250,,
2,2,0,warm,seq_live,0,1571650.5,1569911.7,28167329.5,250,,
2,2,0,warm,seq_live,1,1568462.8,1566841.5,28155255.7,250,,
2,2,0,warm,seq_live,2,1628541.0,1626601.2,28417161.7,250,,
2,2,0,warm,seq_live,3,1664690.5,1662677.5,28228185.3,250,,
2,2,0,warm,seq_live,4,1661049.2,1659052.0,28524818.0,250,,
2,2,0,warm,seq_live,5,1766950.8,1764741.0,29144394.3,250,,
2,2,0,warm,seq_live,6,1652252.0,1650240.5,28300279.0,250,,
2,2,0,warm,seq_live,7,1648817.2,1646651.0,28317936.0,250,,
2,2,0,cold,seq_snapshot,0,4173503.7,4171616.5,28253395.7,250,,
2,2,0,cold,seq_snapshot,1,4113613.2,4111895.8,28242076.7,250,,
2,2,0,cold,seq_snapshot,2,4073789.0,4071927.7,28207655.0,250,,
2,2,0,cold,seq_snapshot,3,4161069.7,4159122.7,28294922.0,250,,
2,2,0,cold,seq_snapshot,4,4087912.7,4086135.3,28228770.8,250,,
2,2,0,cold,seq_snapshot,5,4218925.3,4216858.2,28354761.5,250,,
2,2,0,cold,seq_snapshot,6,4549411.5,4547314.8,28403407.5,250,,
2,2,0,cold,seq_snapshot,7,4212834.7,4210779.0,28300599.8,250,,
2,2,0,cold,seq_live,0,1610794.8,1608883.3,28207007.7,250,,
2,2,0,cold,seq_live,1,1585266.0,1583394.8,28184698.7,250,,
2,2,0,cold,seq_live,2,1576366.8,1574518.0,28204942.2,250,,
2,2,0,cold,seq_live,3,1622399.2,1620612.8,28236569.5,250,,
2,2,0,cold,seq_live,4,1571285.0,1569452.0,28181278.3,250,,
2,2,0,cold,seq_live,5,1600363.0,1598644.2,28230542.8,250,,
2,2,0,cold,seq_live,6,1566819.2,1565185.3,28178336.3,250,,
2,2,0,cold,seq_live,7,1561572.8,1559723.7,28206027.8,250,,
2,3,0,warm,seq_snapshot,0,3940750.8,3939353.2,28188202.0,250,,
2,3,0,warm,seq_snapshot,1,4148541.3,4146876.0,28235744.0,250,,
2,3,0,warm,seq_snapshot,2,4167060.7,4165067.0,28267241.3,250,,
2,3,0,warm,seq_snapshot,3,4183744.8,4181900.5,28320839.7,250,,
2,3,0,warm,seq_snapshot,4,4102906.2,4101060.2,28221845.0,250,,
2,3,0,warm,seq_snapshot,5,4110132.2,4108304.5,28265242.3,250,,
2,3,0,warm,seq_snapshot,6,4078912.2,4077296.7,28202734.5,250,,
2,3,0,warm,seq_snapshot,7,4173025.5,4171194.5,28227658.5,250,,
2,3,0,warm,seq_live,0,1601147.5,1599114.2,28243768.3,250,,
2,3,0,warm,seq_live,1,1634334.7,1632427.8,28231597.7,250,,
2,3,0,warm,seq_live,2,1660551.2,1658678.8,29079170.5,250,,
2,3,0,warm,seq_live,3,1761675.2,1759529.5,29187239.2,250,,
2,3,0,warm,seq_live,4,1629615.2,1627602.8,28294671.7,250,,
2,3,0,warm,seq_live,5,1612871.5,1610905.3,28242225.7,250,,
2,3,0,warm,seq_live,6,1655853.0,1653823.5,28385792.7,250,,
2,3,0,warm,seq_live,7,1571295.2,1569516.0,28177511.2,250,,
2,3,0,cold,seq_snapshot,0,4131876.7,4130151.8,28227055.2,250,,
2,3,0,cold,seq_snapshot,1,4058408.3,4056632.8,28264328.3,250,,
