run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,wide_blob,0,24003.5,23924.0,1031.3,250,,
1,1,0,warm,wide_blob,1,23961.0,23878.8,1460.5,250,,
1,1,0,warm,wide_blob,2,39179.7,39040.8,1421.0,250,,
1,1,0,warm,wide_blob,3,21375.8,21283.8,1000.3,250,,
1,1,0,warm,wide_blob,4,45214.3,45105.5,1168.0,250,,
1,1,0,warm,wide_blob,5,77918.7,77723.5,1489.2,250,,
1,1,0,warm,wide_blob,6,103410.2,103174.8,2922.5,250,,
1,1,0,warm,wide_blob,7,29638.5,29513.5,2002.3,250,,
1,1,0,warm,wide_decomposed,0,40434.5,40324.2,1290.8,250,,
1,1,0,warm,wide_decomposed,1,43983.7,43901.2,1194.2,250,,
1,1,0,warm,wide_decomposed,2,34755.8,34701.0,1002.5,250,,
1,1,0,warm,wide_decomposed,3,33592.7,33548.3,975.0,250,,
1,1,0,warm,wide_decomposed,4,33603.0,33560.3,970.3,250,,
1,1,0,warm,wide_decomposed,5,33529.2,33488.3,1024.2,250,,
1,1,0,warm,wide_decomposed,6,33659.5,33612.5,1013.2,250,,
1,1,0,warm,wide_decomposed,7,33114.5,33074.3,1025.7,250,,
1,1,0,cold,wide_blob,0,17772.2,17607.3,782.7,250,,
1,1,0,cold,wide_blob,1,17547.7,17389.3,773.0,250,,
1,1,0,cold,wide_blob,2,17330.0,17173.5,764.0,250,,
1,1,0,cold,wide_blob,3,17337.3,17180.5,759.5,250,,
1,1,0,cold,wide_blob,4,17347.8,17190.0,767.3,250,,
1,1,0,cold,wide_blob,5,17349.2,17193.2,761.2,250,,
1,1,0,cold,wide_blob,6,17633.5,17468.8,792.2,250,,
1,1,0,cold,wide_blob,7,17519.8,17361.8,770.3,250,,
1,1,0,cold,wide_decomposed,0,32931.0,32759.5,980.3,250,,
1,1,0,cold,wide_decomposed,1,33696.0,33516.7,1078.5,250,,
1,1,0,cold,wide_decomposed,2,33086.0,32922.0,1006.8,250,,
1,1,0,cold,wide_decomposed,3,32991.3,32825.7,986.2,250,,
1,1,0,cold,wide_decomposed,4,33252.5,33057.0,1012.3,250,,
1,1,0,cold,wide_decomposed,5,33654.7,33481.7,986.0,250,,
1,1,0,cold,wide_decomposed,6,33317.2,33148.7,1105.0,250,,
1,1,0,cold,wide_decomposed,7,33436.5,33263.7,1020.3,250,,
1,2,0,warm,wide_blob,0,17363.3,17314.0,765.7,250,,
1,2,0,warm,wide_blob,1,17716.8,17676.5,790.5,250,,
1,2,0,warm,wide_blob,2,17594.8,17559.2,773.3,250,,
1,2,0,warm,wide_blob,3,17487.7,17452.5,772.2,250,,
1,2,0,warm,wide_blob,4,17279.7,17243.3,764.8,250,,
1,2,0,warm,wide_blob,5,17260.7,17223.5,765.2,250,,
1,2,0,warm,wide_blob,6,17336.5,17302.3,765.8,250,,
1,2,0,warm,wide_blob,7,17199.7,17163.5,765.3,250,,
1,2,0,warm,wide_decomposed,0,34089.0,34033.7,1148.5,250,,
1,2,0,warm,wide_decomposed,1,32770.5,32734.8,972.5,250,,
1,2,0,warm,wide_decomposed,2,33844.7,33797.2,1020.3,250,,
1,2,0,warm,wide_decomposed,3,33072.3,33034.5,985.7,250,,
1,2,0,warm,wide_decomposed,4,33349.2,33307.5,962.0,250,,
1,2,0,warm,wide_decomposed,5,32897.0,32857.5,978.0,250,,
1,2,0,warm,wide_decomposed,6,33699.8,33654.8,1026.0,250,,
1,2,0,warm,wide_decomposed,7,33016.2,32975.0,1002.3,250,,
1,2,0,cold,wide_blob,0,17931.3,17755.0,806.8,250,,
1,2,0,cold,wide_blob,1,17891.3,17713.5,816.0,250,,
