run,pass,cooldown_ms,mode,variant,batch_idx,e2e_ns,algo_ns,bridge_ns,batch_count,score,input_tag
1,1,0,warm,sat_checked,0,12474.6,10365.8,3.7,100,,
1,1,0,warm,sat_checked,1,12548.8,10432.9,0.8,100,,
1,1,0,warm,sat_checked,2,12416.7,10327.5,2.5,100,,
1,1,0,warm,sat_checked,3,12325.8,10249.2,2.9,100,,
1,1,0,warm,sat_checked,4,12317.1,10242.1,2.5,100,,
1,1,0,warm,sat_checked,5,13095.4,10909.6,2.1,100,,
1,1,0,warm,sat_checked,6,12530.8,10418.8,2.5,100,,
1,1,0,warm,sat_checked,7,12327.9,10252.1,2.5,100,,
1,1,0,warm,sat_checked,8,12341.2,10264.6,1.7,100,,
1,1,0,warm,sat_checked,9,12369.6,10287.5,1.2,100,,
1,1,0,warm,sat_checked,10,12401.7,10320.0,1.2,100,,
1,1,0,warm,sat_checked,11,12913.3,10747.1,3.7,100,,
1,1,0,warm,sat_checked,12,12840.4,10670.8,3.7,100,,
1,1,0,warm,sat_checked,13,13218.3,11030.8,1.7,100,,
1,1,0,warm,sat_checked,14,12899.2,10715.0,2.5,100,,
1,1,0,warm,sat_checked,15,12460.8,10359.6,3.7,100,,
1,1,0,warm,sat_checked,16,12956.7,10767.5,2.5,100,,
1,1,0,warm,sat_checked,17,12962.5,10783.3,1.7,100,,
1,1,0,warm,sat_checked,18,12551.7,10430.4,1.2,100,,
1,1,0,warm,sat_checked,19,12443.7,10332.5,2.1,100,,
1,1,0,warm,sat_wrap,0,7228.8,5144.2,2.1,100,,
1,1,0,warm,sat_wrap,1,7243.7,5160.0,2.1,100,,
1,1,0,warm,sat_wrap,2,7285.8,5190.4,1.7,100,,
1,1,0,warm,sat_wrap,3,7223.3,5144.6,1.7,100,,
1,1,0,warm,sat_wrap,4,7219.2,5135.4,1.2,100,,
1,1,0,warm,sat_wrap,5,7223.3,5140.4,1.2,100,,
1,1,0,warm,sat_wrap,6,7249.6,5174.6,0.8,100,,
1,1,0,warm,sat_wrap,7,7222.9,5143.3,1.7,100,,
1,1,0,warm,sat_wrap,8,7228.8,5147.1,0.0,100,,
1,1,0,warm,sat_wrap,9,7220.8,5144.6,0.8,100,,
1,1,0,warm,sat_wrap,10,7525.4,5362.9,4.2,100,,
1,1,0,warm,sat_wrap,11,8361.2,5956.7,1.7,100,,
1,1,0,warm,sat_wrap,12,8336.7,5927.9,2.9,100,,
1,1,0,warm,sat_wrap,13,7272.9,5177.5,1.7,100,,
1,1,0,warm,sat_wrap,14,7222.5,5138.8,2.5,100,,
1,1,0,warm,sat_wrap,15,7230.4,5151.2,3.7,100,,
1,1,0,warm,sat_wrap,16,7742.1,5512.5,2.1,100,,
1,1,0,warm,sat_wrap,17,7756.7,5523.3,2.1,100,,
1,1,0,warm,sat_wrap,18,7750.8,5520.8,1.7,100,,
1,1,0,warm,sat_wrap,19,7766.2,5525.4,2.5,100,,
1,1,0,warm,sat_saturate,0,12331.7,10245.0,2.9,100,,
1,1,0,warm,sat_saturate,1,12415.0,10315.8,1.7,100,,
1,1,0,warm,sat_saturate,2,13185.0,10968.3,3.3,100,,
1,1,0,warm,sat_saturate,3,13065.4,10847.5,2.5,100,,
1,1,0,warm,sat_saturate,4,13230.4,10984.6,4.6,100,,
1,1,0,warm,sat_saturate,5,12905.4,10724.2,1.2,100,,
1,1,0,warm,sat_saturate,6,12398.3,10312.5,1.7,100,,
1,1,0,warm,sat_saturate,7,12798.8,10639.6,2.5,100,,
1,1,0,warm,sat_saturate,8,13022.9,10818.7,5.4,100,,
1,1,0,warm,sat_saturate,9,12958.3,10789.6,2.9,100,,
1,1,0,warm,sat_saturate,10,12832.9,10736.2,2.1,100,,
1,1,0,warm,sat_saturate,11,12424.2,10323.3,0.8,100,,
1,1,0,warm,sat_saturate,12,12407.5,10320.8,2.1,100,,
1,1,0,warm,sat_saturate,13,12832.1,10693.7,4.2,100,,
1,1,0,warm,sat_saturate,14,12418.3,10327.9,1.2,100,,
1,1,0,warm,sat_saturate,15,12772.9,10622.1,2.1,100,,
1,1,0,warm,sat_saturate,16,12820.0,10656.2,2.9,100,,
1,1,0,warm,sat_saturate,17,12684.2,10548.7,2.1,100,,
1,1,0,warm,sat_saturate,18,12378.3,10295.4,2.1,100,,
1,1,0,warm,sat_saturate,19,12390.8,10299.2,3.3,100,,
1,1,0,cold,sat_checked,0,17690.8,10462.9,1.7,100,,
1,1,0,cold,sat_checked,1,17410.0,10320.4,1.7,100,,
1,1,0,cold,sat_checked,2,17276.2,10249.2,1.7,100,,
1,1,0,cold,sat_checked,3,18422.9,10928.3,1.7,100,,
1,1,0,cold,sat_checked,4,18068.7,10712.1,2.1,100,,
1,1,0,cold,sat_checked,5,18309.6,10812.5,4.6,100,,
1,1,0,cold,sat_checked,6,18318.3,10866.2,2.1,100,,
1,1,0,cold,sat_checked,7,18001.2,10675.0,2.1,100,,
1,1,0,cold,sat_checked,8,17370.8,10305.8,0.8,100,,
1,1,0,cold,sat_checked,9,17333.8,10286.7,1.2,100,,
1,1,0,cold,sat_checked,10,17672.9,10497.1,6.7,100,,
1,1,0,cold,sat_checked,11,17893.8,10687.5,2.5,100,,
1,1,0,cold,sat_checked,12,17412.9,10317.1,3.3,100,,
1,1,0,cold,sat_checked,13,17311.7,10263.8,1.7,100,,
1,1,0,cold,sat_checked,14,17904.2,10612.5,2.5,100,,
1,1,0,cold,sat_checked,15,17846.2,10584.2,2.1,100,,
1,1,0,cold,sat_checked,16,17423.3,10323.3,1.7,100,,
1,1,0,cold,sat_checked,17,17315.0,10270.8,0.4,100,,
1,1,0,cold,sat_checked,18,17829.2,10583.3,3.7,100,,
1,1,0,cold,sat_checked,19,18585.0,11102.9,5.0,100,,
1,1,0,cold,sat_wrap,0,12347.1,5193.8,4.2,100,,
1,1,0,cold,sat_wrap,1,12214.6,5145.4,1.7,100,,
1,1,0,cold,sat_wrap,2,12170.8,5141.2,2.9,100,,
1,1,0,cold,sat_wrap,3,12845.0,5430.8,2.1,100,,
1,1,0,cold,sat_wrap,4,14075.4,5937.9,1.7,100,,
1,1,0,cold,sat_wrap,5,14072.5,5942.1,2.5,100,,
1,1,0,cold,sat_wrap,6,13462.1,5695.8,2.1,100,,
1,1,0,cold,sat_wrap,7,14066.2,5943.3,2.9,100,,
1,1,0,cold,sat_wrap,8,13550.4,5830.0,7.5,100,,
1,1,0,cold,sat_wrap,9,12212.5,5164.6,1.7,100,,
1,1,0,cold,sat_wrap,10,13020.0,5509.6,2.5,100,,
