run,pass,cooldown_ms,variant,e2e_ns,rcm_ns
2,1,0,ref+ref,31047.4,16964.7
2,1,0,ref+owned,31053.1,16986.3
2,1,0,MaybeUninit,30569.0,16539.7
2,1,0,inline-always,31054.2,16962.4
2,1,0,asm-opt,30638.8,16560.4
2,2,0,ref+ref,31047.3,16958.3
2,2,0,ref+owned,30964.3,16949.4
2,2,0,MaybeUninit,30733.3,16642.2
2,2,0,inline-always,30828.3,16837.8
2,2,0,asm-opt,30444.5,16449.6
2,3,0,ref+ref,30802.8,16821.2
2,3,0,ref+owned,30832.8,16867.2
2,3,0,MaybeUninit,30308.6,16389.4
2,3,0,inline-always,30571.6,16699.6
2,3,0,asm-opt,30349.0,16393.7
2,4,0,ref+ref,30791.5,16821.2
2,4,0,ref+owned,30787.3,16834.7
2,4,0,MaybeUninit,30272.3,16381.1
2,4,0,inline-always,30725.5,16780.2
2,4,0,asm-opt,30507.8,16484.2
2,5,0,ref+ref,30536.0,16681.6
2,5,0,ref+owned,30638.8,16758.6
2,5,0,MaybeUninit,30344.8,16422.3
2,5,0,inline-always,30601.6,16707.0
2,5,0,asm-opt,30289.8,16351.9
2,6,0,ref+ref,30613.6,16722.6
2,6,0,ref+owned,30790.0,16846.0
2,6,0,MaybeUninit,30399.0,16450.8
2,6,0,inline-always,30579.0,16699.1
2,6,0,asm-opt,30233.1,16333.0
2,7,0,ref+ref,30418.3,16605.6
2,7,0,ref+owned,30488.0,16669.6
2,7,0,MaybeUninit,30212.2,16339.7
2,7,0,inline-always,30378.1,16582.8
2,7,0,asm-opt,30101.5,16258.6
2,8,0,ref+ref,30447.2,16624.7
2,8,0,ref+owned,30691.0,16786.4
2,8,0,MaybeUninit,30281.5,16379.2
2,8,0,inline-always,30634.5,16730.6
2,8,0,asm-opt,30312.2,16374.4
2,9,0,ref+ref,30648.9,16742.1
2,9,0,ref+owned,30604.3,16737.7
2,9,0,MaybeUninit,30209.1,16343.0
2,9,0,inline-always,30489.5,16643.7
2,9,0,asm-opt,30189.7,16307.3
2,10,0,ref+ref,30459.6,16631.6
2,10,0,ref+owned,30624.5,16748.5
2,10,0,MaybeUninit,30279.9,16383.0
2,10,0,inline-always,30554.7,16688.6
2,10,0,asm-opt,30169.8,16297.6
2,1,100,ref+ref,34452.4,18801.5
2,1,100,ref+owned,34008.7,18597.4
2,1,100,MaybeUninit,34027.4,18403.3
2,1,100,inline-always,34446.2,18797.2
2,1,100,asm-opt,33187.1,17924.0
2,2,100,ref+ref,33667.8,18380.5
2,2,100,ref+owned,33393.2,18259.3
2,2,100,MaybeUninit,33550.1,18145.2
2,2,100,inline-always,34394.1,18775.5
2,2,100,asm-opt,33788.7,18247.7
2,3,100,ref+ref,34457.6,18813.3
2,3,100,ref+owned,33483.9,18319.6
2,3,100,MaybeUninit,33588.7,18166.8
2,3,100,inline-always,34161.2,18647.3
2,3,100,asm-opt,33311.5,17987.8
2,4,100,ref+ref,32340.9,17662.1
2,4,100,ref+owned,33866.0,18516.7
2,4,100,MaybeUninit,33256.2,17990.6
2,4,100,inline-always,32574.1,17795.4
2,4,100,asm-opt,33056.8,17860.8
2,5,100,ref+ref,32508.6,17750.9
2,5,100,ref+owned,33446.8,18287.6
2,5,100,MaybeUninit,31483.5,17033.1
2,5,100,inline-always,31295.4,17100.0
2,5,100,asm-opt,31664.9,17111.5
2,6,100,ref+ref,31745.7,17345.9
2,6,100,ref+owned,32393.2,17723.9
2,6,100,MaybeUninit,32485.8,17582.2
2,6,100,inline-always,33367.1,18215.4
2,6,100,asm-opt,32331.3,17466.8
2,7,100,ref+ref,32299.8,17648.8
2,7,100,ref+owned,32767.9,17914.4
2,7,100,MaybeUninit,32702.4,17684.5
2,7,100,inline-always,34065.9,18589.8
2,7,100,asm-opt,32198.0,17397.8
2,8,100,ref+ref,32009.9,17483.9
2,8,100,ref+owned,31872.0,17428.8
2,8,100,MaybeUninit,32899.5,17810.7
2,8,100,inline-always,31599.2,17265.8
2,8,100,asm-opt,31282.4,16896.5
2,9,100,ref+ref,32175.4,17572.5
2,9,100,ref+owned,33024.5,18065.7
2,9,100,MaybeUninit,32811.2,17753.3
2,9,100,inline-always,32270.0,17620.0
2,9,100,asm-opt,31774.8,17172.5
2,10,100,ref+ref,31702.4,17315.5
2,10,100,ref+owned,32017.0,17525.1
2,10,100,MaybeUninit,31361.5,16973.1
2,10,100,inline-always,31994.0,17476.0
2,10,100,asm-opt,31494.0,17018.5
2,1,600,ref+ref,33177.0,18127.2
2,1,600,ref+owned,35151.4,19216.7
2,1,600,MaybeUninit,35309.3,19089.1
2,1,600,inline-always,35260.9,19241.4
2,1,600,asm-opt,35137.3,18942.6
2,2,600,ref+ref,35199.2,19225.3
2,2,600,ref+owned,36047.6,19708.7
2,2,600,MaybeUninit,36555.8,19760.3
2,2,600,inline-always,37071.9,20226.6
2,2,600,asm-opt,34818.6,18769.3
2,3,600,ref+ref,36105.5,19710.5
2,3,600,ref+owned,36193.5,19783.7
2,3,600,MaybeUninit,37365.9,20185.7
2,3,600,inline-always,37754.9,20609.8
2,3,600,asm-opt,37348.7,20144.7
2,4,600,ref+ref,37078.8,20229.2
2,4,600,ref+owned,37869.9,20693.7
2,4,600,MaybeUninit,37540.0,20288.6
2,4,600,inline-always,37592.0,20517.7
2,4,600,asm-opt,36978.1,19929.5
2,5,600,ref+ref,36152.8,19734.7
2,5,600,ref+owned,37486.4,20480.8
2,5,600,MaybeUninit,36997.4,19999.1
2,5,600,inline-always,35856.4,19581.1
2,5,600,asm-opt,36730.3,19780.1
2,6,600,ref+ref,37372.1,20389.0
2,6,600,ref+owned,36443.8,19925.5
2,6,600,MaybeUninit,35582.0,19224.1
2,6,600,inline-always,38018.9,20740.9
2,6,600,asm-opt,35820.9,19326.5
2,7,600,ref+ref,36539.7,19937.3
2,7,600,ref+owned,35686.9,19506.8
2,7,600,MaybeUninit,36935.2,19950.0
2,7,600,inline-always,37108.3,20254.0
2,7,600,asm-opt,35950.8,19371.1
2,8,600,ref+ref,36840.7,20108.6
2,8,600,ref+owned,37175.4,20314.8
2,8,600,MaybeUninit,35576.7,19236.9
2,8,600,inline-always,34661.1,18930.1
2,8,600,asm-opt,35385.3,19073.5
2,9,600,ref+ref,37592.7,20503.5
2,9,600,ref+owned,37693.2,20592.9
2,9,600,MaybeUninit,36077.8,19485.5
2,9,600,inline-always,37832.1,20640.7
2,9,600,asm-opt,36711.5,19776.3
2,10,600,ref+ref,36415.5,19866.6
2,10,600,ref+owned,36593.8,19996.3
2,10,600,MaybeUninit,35212.6,19023.4
2,10,600,inline-always,36675.9,20008.8
2,10,600,asm-opt,35030.1,18884.0
3,1,0,ref+ref,30476.3,16630.7
3,1,0,ref+owned,30561.6,16694.6
3,1,0,MaybeUninit,30211.0,16324.0
3,1,0,inline-always,30523.4,16645.0
3,1,0,asm-opt,30264.2,16324.4
3,2,0,ref+ref,30586.2,16674.1
3,2,0,ref+owned,30683.3,16751.2
3,2,0,MaybeUninit,30382.5,16422.4
3,2,0,inline-always,30585.0,16684.8
3,2,0,asm-opt,30117.8,16250.7
3,3,0,ref+ref,30468.2,16617.0
3,3,0,ref+owned,30547.8,16686.2
3,3,0,MaybeUninit,30233.1,16339.7
3,3,0,inline-always,30587.2,16693.6
3,3,0,asm-opt,30346.2,16375.5
3,4,0,ref+ref,30613.2,16700.8
3,4,0,ref+owned,30656.0,16741.1
3,4,0,MaybeUninit,30191.4,16312.5
3,4,0,inline-always,30493.5,16625.9
3,4,0,asm-opt,30169.2,16281.4
3,5,0,ref+ref,30698.5,16749.7
3,5,0,ref+owned,30661.2,16751.7
3,5,0,MaybeUninit,30343.5,16399.8
3,5,0,inline-always,30586.8,16682.4
